split,feature_0,feature_1,feature_2,feature_3,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8
train,1.4558374881744385,-4.25523042678833,4.722902297973633,-1.8337962627410889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-5.226563930511475,2.2048113346099854,1.852010726928711,3.787440538406372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.265190839767456,0.6710222959518433,-2.1320254802703857,0.4198322594165802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.5669285655021667,-0.08369751274585724,-0.17277278006076813,-0.6826215386390686,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.07709098607301712,-1.445361614227295,-2.689887762069702,1.3472496271133423,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,4.140609264373779,2.05647611618042,-3.0668320655822754,1.920717477798462,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.39343923330307007,0.4196464419364929,-6.269923686981201,-0.6815077066421509,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.040293190628290176,1.2641935348510742,-1.105425238609314,-5.850904941558838,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-2.9332075119018555,1.1467349529266357,-5.819863319396973,-3.4135184288024902,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,1.4124693870544434,7.45221471786499,-3.822838306427002,-2.7491044998168945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,2.0329689979553223,-8.432613372802734,-1.5113178491592407,2.4378132820129395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,2.0303897857666016,-0.5749517679214478,-2.1511592864990234,-0.6564135551452637,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,2.605924606323242,0.34391698241233826,-0.25493454933166504,-1.1566221714019775,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.5475372672080994,1.4512135982513428,-4.053907871246338,0.6307083368301392,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.1426478624343872,2.1767148971557617,-4.648090362548828,0.2142060250043869,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,5.629713535308838,0.8584986925125122,0.2541252374649048,1.9869517087936401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-3.0187129974365234,2.0390336513519287,-4.748414993286133,0.9491230845451355,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,0.7614721059799194,-1.8676621913909912,-8.029156684875488,1.9336358308792114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-1.205094337463379,4.9224748611450195,-6.874820709228516,-2.809548854827881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,2.134204864501953,4.847021102905273,-1.3526462316513062,-7.880191802978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.8598984479904175,0.17919118702411652,-0.8958661556243896,-0.7095434665679932,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,2.944098949432373,-1.298211932182312,-1.9125769138336182,0.29490140080451965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.8570555448532104,2.8368022441864014,-2.6901731491088867,0.26838788390159607,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,2.7426950931549072,3.6031572818756104,-0.036775048822164536,-0.032318562269210815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,5.219236850738525,3.5311686992645264,-2.3180601596832275,0.6449277997016907,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-3.528020143508911,0.04449854791164398,0.5740559101104736,-2.080554485321045,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,1.1466050148010254,0.21805299818515778,2.6524579524993896,5.190093517303467,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,3.948228120803833,5.9504804611206055,-0.9646234512329102,-5.188492774963379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-3.3132481575012207,-7.2859392166137695,-0.9131287336349487,-0.230086550116539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.6833279132843018,0.359370619058609,-1.2246488332748413,-1.0491862297058105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.22029203176498413,0.7185378670692444,-1.9076584577560425,-0.4288005530834198,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.21774356067180634,2.5741286277770996,-0.9647309184074402,0.3946872055530548,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.3342076539993286,-0.4650030732154846,-0.2348780333995819,3.408358097076416,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,0.6682949066162109,2.1435985565185547,2.6112475395202637,0.7672579288482666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-0.7293020486831665,5.228309631347656,-3.8396975994110107,-0.5097737908363342,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-2.658106803894043,-1.897089958190918,-5.839407920837402,2.817457675933838,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,6.60117244720459,6.259029388427734,-2.818812608718872,-1.4003385305404663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-3.2755966186523438,-4.550101280212402,-6.984644412994385,2.40537166595459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.8440316915512085,0.529530942440033,-1.8064056634902954,-1.1350911855697632,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.25847327709198,0.3565531075000763,-1.3192790746688843,-0.12221739441156387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,3.1626906394958496,0.2386176586151123,-2.6714954376220703,2.21514892578125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,4.718927383422852,1.0974845886230469,-2.5977418422698975,2.0483591556549072,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,5.479681015014648,2.747675657272339,-3.041240930557251,-1.7009023427963257,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-2.1575989723205566,-0.4121434688568115,-4.721363067626953,3.257528305053711,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,1.5696258544921875,-4.186706066131592,-5.674674034118652,-4.065326690673828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,8.459299087524414,-3.2453815937042236,-2.399775743484497,2.241194009780884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-5.655645370483398,-3.883600950241089,-1.2744839191436768,-3.486579179763794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.4744374752044678,0.22676274180412292,-2.620816469192505,-0.6672525405883789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.7656716108322144,-1.0799920558929443,-1.8086074590682983,-1.7948896884918213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.4084365367889404,-0.12790372967720032,1.2058985233306885,-0.5412390828132629,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,3.5906200408935547,-1.7638671398162842,-2.5730645656585693,-3.052764415740967,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,0.9275191426277161,1.667124629020691,-3.5070431232452393,-4.5901947021484375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,6.181305408477783,-2.3907883167266846,-3.5478386878967285,-2.682873249053955,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,1.7682567834854126,2.3951187133789062,4.03786039352417,-3.4576728343963623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,0.432601660490036,4.349026679992676,-8.367387771606445,-1.2600892782211304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,6.372999668121338,2.4260058403015137,-8.701443672180176,2.125415086746216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,2.098850965499878,0.31712964177131653,-2.1151602268218994,-1.0407800674438477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.3083348274230957,-0.013960126787424088,-1.600509524345398,-2.1762783527374268,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.6345371007919312,1.9914861917495728,-3.4156947135925293,-1.9131258726119995,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.0646144300699234,-1.5248363018035889,-0.8019067049026489,-3.2627995014190674,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,1.9822725057601929,3.365633010864258,0.15231312811374664,-3.5366017818450928,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.410565733909607,-4.8452630043029785,-2.914201498031616,0.08582698553800583,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.9649657011032104,-5.539495944976807,-1.8965367078781128,1.5835448503494263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,0.8385910391807556,1.5182000398635864,4.8709821701049805,3.967700481414795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,8.672819137573242,2.5354208946228027,2.0650243759155273,3.222318649291992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4204283952713013,0.4265673756599426,-1.6448493003845215,0.6956917643547058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.8919745087623596,1.1538697481155396,-1.5973917245864868,-1.7586301565170288,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.7014429569244385,1.7013753652572632,-0.26808252930641174,1.6099029779434204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.089540481567383,2.252812623977661,-1.2674201726913452,2.1337027549743652,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,6.031737804412842,-0.5600993633270264,-3.7907586097717285,-1.4087129831314087,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,0.6418148279190063,-4.025308609008789,1.8111742734909058,1.9575183391571045,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.7592805624008179,-0.15744534134864807,-7.647262096405029,-1.7428826093673706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,7.016035556793213,3.3966915607452393,3.2440857887268066,0.03758884221315384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-1.1776610612869263,1.8048155307769775,-9.00457763671875,-4.406978130340576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.0675299167633057,0.3637845814228058,-1.721252679824829,-0.9850556254386902,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.3356340229511261,0.6257607340812683,-3.1515491008758545,-0.3077642321586609,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.4672677516937256,-0.11171961575746536,1.225513219833374,-0.07768651843070984,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.249274253845215,2.5373356342315674,-3.313924551010132,2.103627920150757,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,0.16170799732208252,-2.4370007514953613,-3.2603578567504883,3.4771296977996826,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,5.236995220184326,-3.8164377212524414,-4.232663631439209,-1.421738862991333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,2.2988457679748535,6.388639450073242,-0.9825778603553772,-3.2504961490631104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-4.409426212310791,4.63011360168457,-3.27492094039917,-2.357409954071045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-2.902333974838257,4.247744560241699,4.787255764007568,-0.9172383546829224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.743008017539978,-0.5425652265548706,-2.27413010597229,-0.7117962837219238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4090930223464966,0.09539724141359329,-3.124008893966675,0.4789523184299469,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.72346830368042,0.24827514588832855,0.5091951489448547,1.447231650352478,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.686173439025879,-1.2352374792099,-1.4205650091171265,1.39490807056427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,2.5451431274414062,2.7456724643707275,-0.5357657074928284,3.783057689666748,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.3248828649520874,2.7533767223358154,-5.074581146240234,-3.2516403198242188,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,1.9090772867202759,-3.976264476776123,3.187974214553833,-2.961237668991089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,2.9827589988708496,3.487894296646118,-1.827008605003357,-7.378756046295166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,7.02104377746582,0.5157660245895386,5.380019187927246,-1.4476463794708252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.7878155708312988,0.47037792205810547,-1.0376496315002441,0.39136815071105957,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.1325063705444336,0.8170986175537109,-2.5291857719421387,0.6969785690307617,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.0413196086883545,2.9011318683624268,-2.7292001247406006,0.38221848011016846,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.2045615166425705,1.0563938617706299,1.845168948173523,-0.48951640725135803,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.624157428741455,-1.3770605325698853,1.0372934341430664,-2.212841749191284,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,0.6704418659210205,1.5876394510269165,-6.167322158813477,-3.8881325721740723,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,2.7938761711120605,-4.859613418579102,-6.141364097595215,1.6067349910736084,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.626331329345703,-2.9135236740112305,-2.2687160968780518,-2.6912293434143066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,7.88046407699585,6.590358734130859,-0.6979555487632751,-0.40369588136672974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.0445669889450073,-0.10818953067064285,-2.4756884574890137,-0.26315638422966003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.0097769498825073,-0.49240511655807495,-3.5157761573791504,-0.08849380165338516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.7457037568092346,-1.8263657093048096,-0.31493014097213745,-1.6870077848434448,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.5369679927825928,-3.244248151779175,-0.5997079014778137,-1.571895718574524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.2132006138563156,-4.424758434295654,-1.740273118019104,-0.8920063972473145,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,2.5554490089416504,-4.145350933074951,2.3409228324890137,-0.16934984922409058,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-5.157715797424316,1.0760059356689453,-2.338817834854126,0.793509304523468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,0.8976772427558899,-1.4541593790054321,0.6276772022247314,-7.649955749511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,4.606288433074951,-4.642094135284424,4.294789791107178,-3.813645839691162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.6012401580810547,-0.5619105100631714,-1.1152422428131104,-0.5004801154136658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.5250536203384399,0.02140628919005394,-0.993255615234375,-1.6635112762451172,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.437882900238037,0.28197038173675537,1.0638703107833862,0.47209665179252625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.8563499450683594,-2.3876373767852783,-2.4574315547943115,-3.2260844707489014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,0.25824403762817383,-1.3765366077423096,-4.794408798217773,3.1480398178100586,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,1.665818691253662,-5.426065921783447,0.25898346304893494,0.6811558604240417,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,2.927508592605591,4.274648189544678,-0.8117672801017761,-5.66349983215332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,1.799499750137329,-6.926217555999756,1.669433355331421,1.2429733276367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-1.4648317098617554,-3.8430962562561035,5.370591163635254,1.8739376068115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.8087455034255981,0.020652471110224724,-2.200917959213257,0.6496396660804749,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.11049121618270874,0.8744972944259644,-2.244246244430542,-0.3929712474346161,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.3653781414031982,1.1685025691986084,-1.5620769262313843,2.508208751678467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.9443379640579224,-1.1705517768859863,-4.4529805183410645,-2.8468575477600098,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.16072154045105,0.1956714689731598,1.2062036991119385,0.9968725442886353,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,2.4027633666992188,-3.6667463779449463,-6.087116241455078,1.2186100482940674,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,6.607466697692871,-0.2085607796907425,3.2033474445343018,-0.0020761964842677116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,6.276939392089844,0.32148146629333496,-6.577155590057373,4.198580265045166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-3.8621327877044678,-2.450697898864746,2.5919244289398193,4.737849235534668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.9766732454299927,0.7992209792137146,-1.046991229057312,-0.23864200711250305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.42404666543006897,-1.3909815549850464,-1.930745005607605,-0.24649649858474731,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.4573898315429688,-2.478135585784912,-2.86590313911438,-0.7004234790802002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.3314409255981445,-1.6905282735824585,-3.517561197280884,-2.823267936706543,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.9071175456047058,-2.065016269683838,-4.66339635848999,-2.43731427192688,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.0510382652282715,-2.1798489093780518,-0.7040085792541504,-3.4428913593292236,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.2604222297668457,-3.0936295986175537,-3.9979116916656494,4.750917911529541,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-2.416186809539795,-4.083868503570557,-0.5590143203735352,5.051107406616211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.240898132324219,3.9941153526306152,-3.63039493560791,2.1363041400909424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.2391772270202637,-0.30369195342063904,-1.816585898399353,0.5443708300590515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.5879602432250977,0.7250169515609741,-1.8873697519302368,-0.08530089259147644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.24939338862895966,-0.882154107093811,-3.3100621700286865,1.106123447418213,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.1062583923339844,-0.3325285315513611,-1.1909306049346924,-1.2756227254867554,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.161036968231201,1.9973764419555664,-3.6095223426818848,2.233212947845459,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.10773766040802,-4.589239120483398,-1.529845952987671,-2.6064209938049316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.2534332275390625,4.51127815246582,1.539421558380127,-2.1491634845733643,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,6.477269649505615,-0.4479411542415619,3.707379102706909,-3.516084671020508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-1.759450912475586,-7.285361289978027,-4.540585994720459,2.2328805923461914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,2.0283079147338867,-0.45843371748924255,-1.051913857460022,-0.34655654430389404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.9935390949249268,-0.9112803339958191,-0.8554216623306274,-0.8071006536483765,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.3541572093963623,-0.9490148425102234,-2.281309127807617,1.9443353414535522,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.0427029132843018,-0.1425955593585968,-0.4123918414115906,-3.7264766693115234,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,0.5361146926879883,-0.6452652812004089,0.5288823843002319,-4.449307918548584,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,5.292299747467041,4.945361614227295,-1.7256830930709839,-0.2697940468788147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
