split,feature_0,feature_1,feature_2,feature_3,class_0,class_1,class_2,class_3
test,-1.21114182472229,-1.355053424835205,-1.197635293006897,2.095863103866577,0.0,0.0,1.0,0.0
test,1.7597548961639404,-4.06451940536499,0.23590900003910065,3.495448350906372,0.0,0.0,0.0,1.0
test,0.2713354229927063,-2.3052895069122314,-1.060491919517517,0.9186493158340454,1.0,0.0,0.0,0.0
test,1.3875172138214111,-0.8547338843345642,-1.4226776361465454,-0.9237558841705322,0.0,1.0,0.0,0.0
test,-0.6638270020484924,-1.4009134769439697,1.7154881954193115,0.18183943629264832,0.0,0.0,1.0,0.0
test,0.26191213726997375,-0.8428822159767151,1.553722858428955,3.07365345954895,0.0,0.0,0.0,1.0
test,1.2393983602523804,-2.432727575302124,-0.7970846891403198,1.075716495513916,1.0,0.0,0.0,0.0
test,-0.686027467250824,-2.897465944290161,0.1308799535036087,0.9028818011283875,0.0,1.0,0.0,0.0
test,0.43255388736724854,-2.7271456718444824,-1.3587782382965088,3.0404038429260254,0.0,0.0,1.0,0.0
test,-1.4713037014007568,-5.106814384460449,-2.0034217834472656,1.1613816022872925,0.0,0.0,0.0,1.0
test,1.5754896402359009,-1.7244517803192139,-0.4479520320892334,0.46923694014549255,1.0,0.0,0.0,0.0
test,2.0144927501678467,-0.8719642162322998,-0.22813808917999268,0.8200413584709167,0.0,1.0,0.0,0.0
test,3.340235710144043,-1.224196195602417,-0.9176867604255676,-1.1067540645599365,0.0,0.0,1.0,0.0
test,3.0062503814697266,-1.012885570526123,2.29524564743042,0.9591037631034851,0.0,0.0,0.0,1.0
test,1.5335687398910522,-1.6891584396362305,-0.67485111951828,0.5987166166305542,1.0,0.0,0.0,0.0
test,2.224675416946411,-3.691342830657959,-0.6215258240699768,0.4609106779098511,0.0,1.0,0.0,0.0
test,1.5456633567810059,-4.430355548858643,-2.165013074874878,1.5114470720291138,0.0,0.0,1.0,0.0
test,-2.5499165058135986,-2.0753352642059326,-2.5463719367980957,1.2265033721923828,0.0,0.0,0.0,1.0
test,1.1381927728652954,-2.155404567718506,0.0816292092204094,0.6724656224250793,1.0,0.0,0.0,0.0
test,0.8973155617713928,-1.2858047485351562,-1.7264392375946045,1.5925687551498413,0.0,1.0,0.0,0.0
test,-1.3448808193206787,-0.8704460859298706,0.5386412739753723,-0.6208856105804443,0.0,0.0,1.0,0.0
test,-2.165687084197998,-1.0086263418197632,-0.885600745677948,2.4749293327331543,0.0,0.0,0.0,1.0
test,1.0479038953781128,-2.065762758255005,-0.7024281024932861,1.1293176412582397,1.0,0.0,0.0,0.0
test,2.0669972896575928,-1.842015027999878,-0.46497729420661926,-1.3285223245620728,0.0,1.0,0.0,0.0
test,-0.2036767303943634,-4.0328049659729,-2.9170737266540527,0.11310865730047226,0.0,0.0,1.0,0.0
test,4.010408878326416,-1.7531583309173584,1.105075716972351,-1.3650505542755127,0.0,0.0,0.0,1.0
test,1.0280894041061401,-1.9387465715408325,-1.1364917755126953,-0.6544474959373474,1.0,0.0,0.0,0.0
test,1.0598713159561157,-3.932999849319458,0.28053244948387146,-0.26841676235198975,0.0,1.0,0.0,0.0
test,0.3166719079017639,-0.5219800472259521,-1.4539649486541748,-2.0887792110443115,0.0,0.0,1.0,0.0
test,0.09076431393623352,-1.2855346202850342,-4.2928786277771,1.4844934940338135,0.0,0.0,0.0,1.0
test,0.47071221470832825,-2.3359105587005615,-0.6827528476715088,1.0967543125152588,1.0,0.0,0.0,0.0
test,-0.8459593653678894,-3.2692534923553467,-0.6176542043685913,0.5435017347335815,0.0,1.0,0.0,0.0
test,2.7215301990509033,-2.251539468765259,1.3338942527770996,1.287660837173462,0.0,0.0,1.0,0.0
test,4.2401814460754395,-3.9555697441101074,-1.2701478004455566,1.3384455442428589,0.0,0.0,0.0,1.0
test,0.7506133317947388,-1.6568143367767334,0.01057206280529499,0.4326207637786865,1.0,0.0,0.0,0.0
test,1.492234230041504,-1.9870938062667847,0.8127711415290833,1.2380393743515015,0.0,1.0,0.0,0.0
test,0.7642714977264404,-1.3527696132659912,-1.1735669374465942,-2.6452207565307617,0.0,0.0,1.0,0.0
test,2.0779833793640137,-6.0646185874938965,-1.0352383852005005,0.011836969293653965,0.0,0.0,0.0,1.0
test,0.409889280796051,-3.044728994369507,-1.190316081047058,0.14112120866775513,1.0,0.0,0.0,0.0
test,0.27494773268699646,-1.7568169832229614,-1.6062182188034058,-1.448499083518982,0.0,1.0,0.0,0.0
test,0.6099931001663208,0.2951335906982422,-0.08400276303291321,-1.2153791189193726,0.0,0.0,1.0,0.0
test,0.7127693295478821,-2.9297947883605957,-1.9401284456253052,3.924767255783081,0.0,0.0,0.0,1.0
test,0.4525759518146515,-2.1853702068328857,-1.2989469766616821,-0.539730966091156,1.0,0.0,0.0,0.0
test,1.1350812911987305,-3.8966240882873535,-1.1106129884719849,1.2398450374603271,0.0,1.0,0.0,0.0
test,0.20939455926418304,-1.9762870073318481,0.8260579705238342,2.6425533294677734,0.0,0.0,1.0,0.0
test,1.2503280639648438,-3.919583559036255,-4.2208147048950195,-0.7819823026657104,0.0,0.0,0.0,1.0
test,1.038607120513916,-1.4319616556167603,-0.2281610369682312,0.24428167939186096,1.0,0.0,0.0,0.0
test,0.6192861199378967,-3.679793119430542,-1.9576269388198853,-0.5025956630706787,0.0,1.0,0.0,0.0
test,2.6927366256713867,-0.6062817573547363,-0.7731652855873108,-1.5011731386184692,0.0,0.0,1.0,0.0
test,-2.719202995300293,-3.033660411834717,0.9211944341659546,0.23475949466228485,0.0,0.0,0.0,1.0
test,0.289063423871994,-2.413440227508545,-0.46075254678726196,-0.6023226976394653,1.0,0.0,0.0,0.0
test,0.35102882981300354,-1.1625089645385742,-0.8606252670288086,1.7535207271575928,0.0,1.0,0.0,0.0
test,0.13641726970672607,-1.6362218856811523,-1.960605502128601,2.734361171722412,0.0,0.0,1.0,0.0
test,-2.874791145324707,-2.150007963180542,-2.0938401222229004,-0.34307006001472473,0.0,0.0,0.0,1.0
test,0.6050307154655457,-2.6850547790527344,-0.5920912623405457,1.0424304008483887,1.0,0.0,0.0,0.0
test,-0.37249618768692017,-3.3104958534240723,-1.9182467460632324,0.03348655626177788,0.0,1.0,0.0,0.0
test,-0.16557711362838745,-1.6435292959213257,1.987066626548767,-0.2987932860851288,0.0,0.0,1.0,0.0
test,-2.754525899887085,-2.2080671787261963,-2.409811496734619,0.6120631694793701,0.0,0.0,0.0,1.0
test,1.4607276916503906,-1.5047152042388916,-0.8783919215202332,0.24389906227588654,1.0,0.0,0.0,0.0
test,0.9006503224372864,-4.2632060050964355,-0.9355859756469727,0.18949264287948608,0.0,1.0,0.0,0.0
test,2.862081289291382,-4.467493057250977,-0.3703058958053589,0.23040206730365753,0.0,0.0,1.0,0.0
test,2.2248172760009766,-2.1989669799804688,1.4950110912322998,3.2001383304595947,0.0,0.0,0.0,1.0
test,0.7530959844589233,-2.753636121749878,0.09662767499685287,0.4683431088924408,1.0,0.0,0.0,0.0
test,-0.1375051587820053,-3.509331464767456,0.4627247452735901,-0.14143890142440796,0.0,1.0,0.0,0.0
test,1.7669295072555542,-1.5866881608963013,-2.304844379425049,2.4492294788360596,0.0,0.0,1.0,0.0
test,3.3343398571014404,-3.9499409198760986,-2.7138195037841797,1.9186530113220215,0.0,0.0,0.0,1.0
test,0.6663914322853088,-2.41599178314209,0.24804474413394928,0.2056257277727127,1.0,0.0,0.0,0.0
test,-0.09818774461746216,-0.9190225601196289,0.1109289601445198,-0.5825768709182739,0.0,1.0,0.0,0.0
test,2.9294240474700928,-2.612844467163086,1.0575051307678223,-0.9968355894088745,0.0,0.0,1.0,0.0
test,2.6689631938934326,-4.025485038757324,-0.08818083256483078,-2.8615975379943848,0.0,0.0,0.0,1.0
test,0.5215715169906616,-2.2730250358581543,-0.3711668848991394,-0.70441073179245,1.0,0.0,0.0,0.0
test,1.6751861572265625,-1.7913603782653809,-2.479231357574463,0.20629817247390747,0.0,1.0,0.0,0.0
test,-0.4315771758556366,-3.9482460021972656,-2.0056982040405273,-1.5384035110473633,0.0,0.0,1.0,0.0
test,-0.7913500666618347,-2.957113265991211,-4.264451503753662,0.7439573407173157,0.0,0.0,0.0,1.0
test,1.057816982269287,-2.6827149391174316,-0.4800824522972107,-0.6810256242752075,1.0,0.0,0.0,0.0
test,2.2690396308898926,-1.8303428888320923,0.5297171473503113,0.6232251524925232,0.0,1.0,0.0,0.0
test,2.0355982780456543,-1.058444619178772,-0.1142587810754776,2.566882610321045,0.0,0.0,1.0,0.0
test,2.993297815322876,-4.225441932678223,-2.973735809326172,1.7630196809768677,0.0,0.0,0.0,1.0
test,1.3146346807479858,-2.1264703273773193,-0.5268048048019409,1.0207667350769043,1.0,0.0,0.0,0.0
test,1.2666609287261963,-0.32338982820510864,-0.8161820769309998,0.09926855564117432,0.0,1.0,0.0,0.0
test,-1.3353097438812256,-2.3053596019744873,0.5405750870704651,-1.4517395496368408,0.0,0.0,1.0,0.0
test,-2.2135252952575684,-2.0938005447387695,-1.0634039640426636,-2.3750741481781006,0.0,0.0,0.0,1.0
test,1.3207628726959229,-2.2972757816314697,-1.4917665719985962,0.6043302416801453,1.0,0.0,0.0,0.0
test,2.037681818008423,-3.805493116378784,-0.26592880487442017,0.33786094188690186,0.0,1.0,0.0,0.0
test,0.8089950084686279,-4.892850875854492,-1.3762869834899902,-1.1394580602645874,0.0,0.0,1.0,0.0
test,-1.1366373300552368,-1.809686303138733,-4.166601657867432,0.08462809771299362,0.0,0.0,0.0,1.0
test,0.8456968665122986,-1.5706255435943604,-1.2120753526687622,-0.34333527088165283,1.0,0.0,0.0,0.0
test,2.3999102115631104,-1.9181618690490723,0.3948367238044739,-0.27881714701652527,0.0,1.0,0.0,0.0
test,-0.8353542685508728,-4.352689743041992,0.5729706287384033,0.5875855088233948,0.0,0.0,1.0,0.0
test,-0.3278258740901947,-1.7350194454193115,2.6410186290740967,1.9049400091171265,0.0,0.0,0.0,1.0
test,1.62765371799469,-2.8213632106781006,-0.4477940797805786,0.05509224161505699,1.0,0.0,0.0,0.0
test,1.3449259996414185,-0.9941360950469971,-0.566543459892273,-1.2711403369903564,0.0,1.0,0.0,0.0
test,-0.8507986068725586,-4.065115928649902,-2.3919739723205566,-0.1986464112997055,0.0,0.0,1.0,0.0
test,1.4010717868804932,-0.5385221242904663,2.052513837814331,2.400254964828491,0.0,0.0,0.0,1.0
test,1.2567880153656006,-2.0392143726348877,0.1497184932231903,0.07045005261898041,1.0,0.0,0.0,0.0
test,2.42691707611084,-1.1998389959335327,-1.009177565574646,0.6863784193992615,0.0,1.0,0.0,0.0
test,2.642979383468628,-1.7990325689315796,1.5851260423660278,0.6284387111663818,0.0,0.0,1.0,0.0
test,0.8519670963287354,-5.139955043792725,-3.356057643890381,-0.7601134181022644,0.0,0.0,0.0,1.0
test,1.7920331954956055,-2.5120131969451904,-0.8093103766441345,-0.03176896646618843,1.0,0.0,0.0,0.0
test,0.8549978733062744,-2.175889492034912,-2.379887819290161,-0.9458511471748352,0.0,1.0,0.0,0.0
test,-0.09440433979034424,-4.677778720855713,0.7664580345153809,0.5170360207557678,0.0,0.0,1.0,0.0
test,-0.1367419809103012,-0.22487473487854004,-1.6000663042068481,3.3453266620635986,0.0,0.0,0.0,1.0
test,0.7871882319450378,-1.5543301105499268,-1.4151945114135742,0.14836230874061584,1.0,0.0,0.0,0.0
test,1.8084490299224854,-3.020923137664795,0.23061232268810272,1.4394489526748657,0.0,1.0,0.0,0.0
test,-0.9782496690750122,-3.616790771484375,-2.3521416187286377,-0.9337159395217896,0.0,0.0,1.0,0.0
test,3.3404457569122314,-1.7160348892211914,-3.6867353916168213,1.0055184364318848,0.0,0.0,0.0,1.0
test,0.43494048714637756,-3.0306813716888428,-1.1465928554534912,0.45992428064346313,1.0,0.0,0.0,0.0
test,1.792749047279358,-3.493928909301758,0.12353505939245224,-0.7749525904655457,0.0,1.0,0.0,0.0
test,-1.482239842414856,-2.0752670764923096,1.1562724113464355,0.16648390889167786,0.0,0.0,1.0,0.0
test,-0.8549641370773315,-5.0559163093566895,0.20950230956077576,-1.9486557245254517,0.0,0.0,0.0,1.0
test,1.410535216331482,-1.4698516130447388,-0.6081157922744751,0.31127917766571045,1.0,0.0,0.0,0.0
test,0.597207248210907,-0.3394715487957001,-1.0242974758148193,0.4916953146457672,0.0,1.0,0.0,0.0
test,-1.0426784753799438,-0.7396684288978577,0.9887362718582153,0.5445929169654846,0.0,0.0,1.0,0.0
test,2.7884631156921387,-1.5554512739181519,2.59002947807312,1.0210833549499512,0.0,0.0,0.0,1.0
test,0.41501519083976746,-2.866668462753296,-0.25430014729499817,0.6655323505401611,1.0,0.0,0.0,0.0
test,-0.4172673225402832,-0.923535168170929,-0.892419159412384,0.9139068126678467,0.0,1.0,0.0,0.0
test,2.678072929382324,-1.0791537761688232,-0.41581085324287415,2.2020065784454346,0.0,0.0,1.0,0.0
test,1.2819746732711792,-5.197781085968018,-2.586515188217163,-1.7772868871688843,0.0,0.0,0.0,1.0
test,0.7942075729370117,-2.509239435195923,0.11815709620714188,0.654063880443573,1.0,0.0,0.0,0.0
test,0.30417823791503906,-3.0092759132385254,-1.62766695022583,1.7066490650177002,0.0,1.0,0.0,0.0
test,-0.7017901539802551,-4.613198757171631,-1.5774455070495605,-0.4683562219142914,0.0,0.0,1.0,0.0
test,1.6985740661621094,-4.388742446899414,2.424614191055298,-0.7683489322662354,0.0,0.0,0.0,1.0
test,1.3035540580749512,-2.1476662158966064,-1.4243881702423096,0.7069265246391296,1.0,0.0,0.0,0.0
test,-0.676811695098877,-3.0364816188812256,-0.08162374794483185,-0.6562777757644653,0.0,1.0,0.0,0.0
test,0.5237692594528198,-5.058742046356201,-0.5059144496917725,-0.8758648633956909,0.0,0.0,1.0,0.0
test,0.5743856430053711,-1.416260838508606,0.2452475130558014,3.9473557472229004,0.0,0.0,0.0,1.0
test,0.5104170441627502,-1.846190094947815,0.10923466086387634,0.258940726518631,1.0,0.0,0.0,0.0
test,2.170412063598633,-3.5578484535217285,-1.00700044631958,-0.5490885972976685,0.0,1.0,0.0,0.0
test,1.9345576763153076,-0.029757782816886902,0.6724825501441956,-0.732933759689331,0.0,0.0,1.0,0.0
test,0.3323434889316559,1.3722903728485107,-2.2534022331237793,-0.13757666945457458,0.0,0.0,0.0,1.0
test,1.2473093271255493,-2.9860548973083496,-1.0478633642196655,-0.30607467889785767,1.0,0.0,0.0,0.0
test,-0.03429245203733444,-1.4831055402755737,-0.7763689756393433,1.7837400436401367,0.0,1.0,0.0,0.0
test,2.0252346992492676,-2.439540386199951,-0.0778123289346695,-2.5036721229553223,0.0,0.0,1.0,0.0
test,1.1486793756484985,-6.142160892486572,-0.9109517335891724,-0.7863515615463257,0.0,0.0,0.0,1.0
test,0.7136849164962769,-3.1212568283081055,-1.0346366167068481,-0.24034693837165833,1.0,0.0,0.0,0.0
test,-0.1624414026737213,-3.6484060287475586,-1.3716243505477905,-0.6512113809585571,0.0,1.0,0.0,0.0
test,0.9319988489151001,-0.9789925813674927,1.244106650352478,-1.680618405342102,0.0,0.0,1.0,0.0
test,2.6640331745147705,-0.4193083941936493,-3.717080593109131,-0.3732437789440155,0.0,0.0,0.0,1.0
test,0.5762822031974792,-2.7010583877563477,-1.5869336128234863,0.11890879273414612,1.0,0.0,0.0,0.0
test,0.1941998451948166,-1.64429771900177,-0.6629700064659119,-1.6085622310638428,0.0,1.0,0.0,0.0
test,1.1302071809768677,-4.845274925231934,-1.945737361907959,-0.7346354722976685,0.0,0.0,1.0,0.0
test,2.3796186447143555,-2.258134603500366,-0.7909857034683228,3.8665201663970947,0.0,0.0,0.0,1.0
test,1.155200719833374,-1.9412903785705566,-0.850671648979187,-0.7087506651878357,1.0,0.0,0.0,0.0
test,0.5855662226676941,-3.5366265773773193,0.06488104909658432,1.4831246137619019,0.0,1.0,0.0,0.0
test,-0.2727808356285095,-4.758303642272949,0.27547386288642883,-0.5895736813545227,0.0,0.0,1.0,0.0
test,-0.31495529413223267,-1.5804603099822998,-0.2600235342979431,-3.5626003742218018,0.0,0.0,0.0,1.0
test,0.6350977420806885,-1.3881986141204834,-0.7060256004333496,-0.23764455318450928,1.0,0.0,0.0,0.0
test,-0.5312512516975403,-1.6037753820419312,-0.5239754915237427,1.442446231842041,0.0,1.0,0.0,0.0
test,0.6715437173843384,-3.118133306503296,0.4595406651496887,-2.445539712905884,0.0,0.0,1.0,0.0
test,-0.20427367091178894,1.5754839181900024,-0.8892838358879089,-0.033458270132541656,0.0,0.0,0.0,1.0
test,0.08164187520742416,-2.185476779937744,-0.0878370925784111,0.21404412388801575,1.0,0.0,0.0,0.0
test,0.28868862986564636,-1.3966914415359497,-2.4122982025146484,-0.09312187880277634,0.0,1.0,0.0,0.0
test,1.9724185466766357,-3.081313133239746,-0.520092785358429,2.8259921073913574,0.0,0.0,1.0,0.0
test,0.6404891014099121,0.019438298419117928,-3.1554744243621826,-2.014749765396118,0.0,0.0,0.0,1.0
test,0.7172680497169495,-3.139418601989746,-0.8161335587501526,0.6504613161087036,1.0,0.0,0.0,0.0
test,1.2942419052124023,-3.4944732189178467,0.7832085490226746,0.366836279630661,0.0,1.0,0.0,0.0
test,3.668968439102173,-2.490605592727661,0.26725059747695923,0.17595833539962769,0.0,0.0,1.0,0.0
test,-2.417720317840576,-0.4990178942680359,-1.2768200635910034,1.5471642017364502,0.0,0.0,0.0,1.0
test,0.8677416443824768,-1.3141775131225586,-0.5421798229217529,0.3793328106403351,1.0,0.0,0.0,0.0
test,1.9456286430358887,-1.6296701431274414,0.81461501121521,0.11099059879779816,0.0,1.0,0.0,0.0
test,0.09833861887454987,-3.0757176876068115,2.05877685546875,-0.05219224840402603,0.0,0.0,1.0,0.0
test,-0.32963916659355164,-0.7341237664222717,2.680176019668579,0.9777032732963562,0.0,0.0,0.0,1.0
test,-0.03434165567159653,-2.2984838485717773,-0.9909894466400146,-0.21917624771595,1.0,0.0,0.0,0.0
test,-0.0632900819182396,-3.679854393005371,-0.5653129816055298,-0.9108961820602417,0.0,1.0,0.0,0.0
test,0.852702796459198,-3.7013254165649414,-2.564845323562622,-1.7195191383361816,0.0,0.0,1.0,0.0
test,-0.03845052421092987,1.3927706480026245,0.37667956948280334,0.914710283279419,0.0,0.0,0.0,1.0
test,0.9183353781700134,-2.3124334812164307,-1.2353326082229614,-0.6833042502403259,1.0,0.0,0.0,0.0
test,-0.6672077178955078,-1.254321575164795,-1.5422672033309937,0.16181142628192902,0.0,1.0,0.0,0.0
test,0.5645175576210022,-2.0177390575408936,-1.9545191526412964,2.8825721740722656,0.0,0.0,1.0,0.0
test,-1.274078607559204,1.1158941984176636,-0.7908540964126587,0.1318000853061676,0.0,0.0,0.0,1.0
test,1.312525987625122,-2.620588779449463,-1.4861098527908325,0.4622251093387604,1.0,0.0,0.0,0.0
test,-0.08056797832250595,-3.58573317527771,-1.2018227577209473,1.2666255235671997,0.0,1.0,0.0,0.0
test,-0.7652149796485901,-0.4741522967815399,1.0093587636947632,0.5631121397018433,0.0,0.0,1.0,0.0
test,0.5298524498939514,-4.268036842346191,-1.0180634260177612,-3.2684810161590576,0.0,0.0,0.0,1.0
test,1.7863764762878418,-2.403005838394165,-0.6355199217796326,-0.1294843554496765,1.0,0.0,0.0,0.0
test,2.206544876098633,-1.613338589668274,-1.8098382949829102,0.9036572575569153,0.0,1.0,0.0,0.0
test,0.2739989459514618,-5.179780006408691,-1.1196749210357666,-0.1102117970585823,0.0,0.0,1.0,0.0
test,3.3209357261657715,-1.941300392150879,-1.1767032146453857,3.2646331787109375,0.0,0.0,0.0,1.0
test,1.4108352661132812,-2.8814334869384766,-0.502844512462616,0.6866735816001892,1.0,0.0,0.0,0.0
test,2.405543088912964,-3.368976354598999,-1.2172465324401855,-0.1865302175283432,0.0,1.0,0.0,0.0
test,-1.2293403148651123,-2.891695022583008,-2.248082399368286,1.584531307220459,0.0,0.0,1.0,0.0
test,0.11653069406747818,-1.3547618389129639,0.9785223007202148,-3.2504491806030273,0.0,0.0,0.0,1.0
test,0.6775792241096497,-3.066988229751587,-1.2291228771209717,-0.12796331942081451,1.0,0.0,0.0,0.0
test,0.05870689079165459,-2.562065601348877,-2.344639301300049,-0.6485087275505066,0.0,1.0,0.0,0.0
test,1.7004526853561401,-2.0131497383117676,-3.5380637645721436,0.7094611525535583,0.0,0.0,1.0,0.0
test,3.4728195667266846,-4.608940601348877,-2.535111427307129,0.7866920232772827,0.0,0.0,0.0,1.0
test,1.564327597618103,-2.811034679412842,-0.28139543533325195,0.18166789412498474,1.0,0.0,0.0,0.0
test,1.3953838348388672,-0.7379199266433716,0.4303254783153534,0.19208469986915588,0.0,1.0,0.0,0.0
test,2.280461311340332,-3.891479015350342,0.6704955101013184,-1.370701551437378,0.0,0.0,1.0,0.0
test,-2.44730806350708,-0.6542696356773376,0.7603074908256531,0.7390128970146179,0.0,0.0,0.0,1.0
test,1.5064170360565186,-2.501363515853882,-1.4410227537155151,0.17731918394565582,1.0,0.0,0.0,0.0
test,0.21845057606697083,-1.6276055574417114,-2.476982593536377,-0.16982369124889374,0.0,1.0,0.0,0.0
test,1.8236899375915527,-1.1274821758270264,-2.0864052772521973,-2.0348124504089355,0.0,0.0,1.0,0.0
test,3.750800371170044,-1.5183025598526,-0.27044057846069336,-2.431575059890747,0.0,0.0,0.0,1.0
test,1.2048405408859253,-2.5439584255218506,-0.8230293989181519,-0.7156552076339722,1.0,0.0,0.0,0.0
test,2.128833055496216,-1.5692694187164307,0.6240488886833191,-0.01748351939022541,0.0,1.0,0.0,0.0
test,0.014978843741118908,-0.912822961807251,1.3950508832931519,-1.2267646789550781,0.0,0.0,1.0,0.0
test,-1.3543819189071655,-5.439997673034668,-1.2600865364074707,-0.752162754535675,0.0,0.0,0.0,1.0
test,0.9613350629806519,-2.1030869483947754,0.06359550356864929,-0.4061632454395294,1.0,0.0,0.0,0.0
test,1.158556342124939,-3.7128942012786865,-0.15272745490074158,1.4007009267807007,0.0,1.0,0.0,0.0
test,0.12926945090293884,-2.497227430343628,1.0137015581130981,-2.1539530754089355,0.0,0.0,1.0,0.0
test,3.1091690063476562,-0.3016507625579834,-3.3567097187042236,0.41284820437431335,0.0,0.0,0.0,1.0
test,0.5293084383010864,-1.963301181793213,-1.0688503980636597,-0.6543548107147217,1.0,0.0,0.0,0.0
test,1.1929888725280762,-3.1314914226531982,0.9940534234046936,0.6100107431411743,0.0,1.0,0.0,0.0
test,-0.9052969813346863,-2.691923141479492,-0.9681773781776428,-2.2146570682525635,0.0,0.0,1.0,0.0
