split,feature_0,feature_1,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
train,-5.166274547576904,7.872821807861328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.7261433601379395,0.050886575132608414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,2.742173194885254,0.036569975316524506,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,3.178800582885742,1.5813308954238892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,3.412764549255371,2.8030712604522705,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-2.804295539855957,-3.697953939437866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-5.245379447937012,-0.20586656033992767,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-5.872976779937744,-2.4387876987457275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,6.777270793914795,-5.451594829559326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-3.6984522342681885,7.635228633880615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,6.268312931060791,-8.528515815734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.1167391538619995,-1.1180436611175537,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.7464863657951355,1.1357324123382568,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.21207411587238312,-3.0259182453155518,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.3233941793441772,-4.145275115966797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,4.515493392944336,-3.480706214904785,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-5.143598556518555,0.9147114753723145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,7.4763569831848145,1.7679986953735352,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,8.724274635314941,-0.8816846609115601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-1.1002154350280762,-8.99272346496582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,3.5561044216156006,9.413633346557617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-0.24016182124614716,-0.08358392864465714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-1.056681752204895,-1.0340420007705688,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.32487592101097107,2.6131393909454346,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,2.836534261703491,3.2295546531677246,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-2.1564435958862305,-4.251130104064941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,5.791195869445801,-3.4466874599456787,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-6.0719780921936035,-1.734472393989563,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-7.208980083465576,0.5766967535018921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,0.5195591449737549,8.811006546020508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,5.864034175872803,-8.782060623168945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,0.8305473923683167,0.8111864328384399,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.37062662839889526,-1.839373230934143,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,3.7523751258850098,-0.0707264170050621,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,4.137233257293701,-2.320803642272949,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,4.926867485046387,-2.9412972927093506,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-5.007594585418701,-1.8584249019622803,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-1.3111287355422974,-6.8741841316223145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,8.740415573120117,-0.6618940830230713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-2.153512477874756,-8.703139305114746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-4.2841315269470215,-8.823708534240723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,0.06893312931060791,-0.9138516187667847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.9825091361999512,1.3927485942840576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-2.152766704559326,0.553866446018219,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,4.462489604949951,1.3145633935928345,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,5.249985218048096,2.003002405166626,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,6.490250587463379,-1.9472227096557617,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,7.678015232086182,0.8466209173202515,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,3.521329164505005,-7.692264556884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-7.549369812011719,-3.6564128398895264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,8.393428802490234,-6.639458179473877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.9863852262496948,0.7868396043777466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.5659480094909668,-2.0139546394348145,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.673511505126953,-0.8786606192588806,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416717529296875,1.4230517148971558,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.7663578987121582,4.132041931152344,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,2.0598323345184326,5.670382976531982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-6.234631538391113,0.20242349803447723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,8.338556289672852,-2.7321791648864746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,1.603034496307373,8.773993492126465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,5.633776664733887,-8.914813995361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.7647878527641296,0.8140235543251038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.938254714012146,-1.2509526014328003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.3783680200576782,2.7485086917877197,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.46121639013290405,3.803302764892578,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.1609532833099365,4.612214088439941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-4.920706272125244,-2.1329829692840576,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-5.728562355041504,-2.825766086578369,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,8.3482666015625,-2.703073263168335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,9.125441551208496,-3.491797685623169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-7.094005107879639,-6.382665157318115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.3241426944732666,-1.0078775882720947,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.620579481124878,-1.9887162446975708,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.2404890060424805,-0.357727974653244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-3.0989065170288086,-1.25857675075531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.1911960244178772,4.723810195922852,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-5.149319648742676,0.8835978507995605,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-6.158935070037842,0.910982608795166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-5.110524654388428,-5.6265549659729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,5.6673760414123535,7.354931354522705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,6.922606468200684,-8.057108879089355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.4303489625453949,0.760050892829895,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.145101308822632,-1.623447299003601,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.8176511526107788,2.3690834045410156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.706323623657227,-0.8054266571998596,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.8008697032928467,-3.7014222145080566,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-5.152671813964844,-1.2367745637893677,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,7.423659801483154,1.9409222602844238,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-6.87251615524292,-2.5999021530151367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,3.331566095352173,8.43725299835205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,8.052289009094238,-7.022850513458252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.15503624081611633,0.6144118309020996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.2229592204093933,1.5588971376419067,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.6838700771331787,0.4616124927997589,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.21970796585083,1.8123103380203247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.310196876525879,4.783109664916992,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.703220844268799,4.717498779296875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,4.114666938781738,5.954911708831787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-7.026341438293457,1.6734153032302856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,2.4389727115631104,-9.026900291442871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-9.241923332214355,-0.4500797986984253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.6793829798698425,-1.1830925941467285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.42789462208747864,-2.159061908721924,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.160304307937622,-0.8954346179962158,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.195026874542236,1.8545112609863281,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.7403689622879028,-4.957203388214111,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,1.9848171472549438,5.686599254608154,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-5.4384260177612305,-3.4488348960876465,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,3.681347608566284,-7.631330966949463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,5.959225177764893,-7.528386116027832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-7.005849361419678,6.1208672523498535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.9933145046234131,0.7851623296737671,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.43772554397583,0.8943750262260437,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.2170598804950714,-3.024216413497925,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.754570007324219,-0.17407409846782684,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-3.263197898864746,2.7902140617370605,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.130686283111572,-4.290770530700684,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-5.576918125152588,-3.17122745513916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-4.789604187011719,5.58139181137085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-6.840210437774658,4.643054962158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.051430702209473,5.396403789520264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.022549180313944817,-0.8671877980232239,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.3011104464530945,-2.133835792541504,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.26405853033065796,-3.007689952850342,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.641885757446289,3.3408453464508057,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,5.571466445922852,1.1548511981964111,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,4.481997013092041,4.515821933746338,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-6.175268650054932,-1.1744039058685303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-7.025094032287598,-2.050476551055908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,1.6933376789093018,8.764983177185059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.000131607055664,5.471901893615723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.5962227582931519,0.8014562129974365,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.7006083130836487,1.8133469820022583,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.5695512890815735,-2.8778858184814453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.250433087348938,-3.647122621536255,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,5.7291717529296875,-0.6894223690032959,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,4.358087539672852,4.611448764801025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,2.27592134475708,-7.018606662750244,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-6.598871231079102,2.964733123779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,1.1800508499145508,8.8040132522583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,3.6120588779449463,9.397126197814941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.5945273637771606,-1.1730316877365112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.390690416097641,1.4536908864974976,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.15868878364563,-0.9020394682884216,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.0684810876846313,-3.7463204860687256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.691109299659729,4.600510597229004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-5.216734886169434,0.4000026285648346,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,4.105162620544434,5.960102558135986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-7.236970901489258,0.18148590624332428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,0.7948203086853027,-9.185834884643555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-7.916287899017334,4.795633316040039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.2293163239955902,-0.36462274193763733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.1296226978302002,-0.8565595149993896,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.7440335154533386,2.814056873321533,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.036564350128174,3.0992820262908936,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-3.7669460773468018,-2.320340871810913,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,4.618161201477051,4.404587268829346,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,3.9782183170318604,6.027625560760498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,8.613861083984375,-1.679851770401001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-4.074328899383545,7.408913612365723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.795760154724121,-4.45876932144165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4716887474060059,0.5110446214675903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.9127442240715027,1.8078123331069946,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.267085313796997,1.453391194343567,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.0179098844528198,-3.7717649936676025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.897566318511963,2.6133127212524414,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.069764614105225,3.9829182624816895,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,7.665755748748779,-1.2975695133209229,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-4.941593647003174,5.4313273429870605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.514089584350586,4.37369441986084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.928611755371094,-4.165533065795898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.05857693776488304,-0.7679583430290222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.31835657358169556,1.7659214735031128,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.160926342010498,2.122929573059082,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.492645263671875,-1.6096258163452148,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.6049418449401855,-4.5941691398620605,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,6.3810529708862305,1.8980351686477661,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,7.707313537597656,-0.9980846047401428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,6.617910861968994,-5.628482818603516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,4.217523574829102,-8.493034362792969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,5.468442916870117,-9.005197525024414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.3956676721572876,-0.9533984065055847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
