split,feature_0,feature_1,feature_2,class_0,class_1,class_2,class_3,class_4,class_5
val,1.395999550819397,-1.7150416374206543,-1.7111928462982178,0.0,0.0,1.0,0.0,0.0,0.0
val,1.7345746755599976,-3.0353477001190186,-1.5303021669387817,0.0,0.0,0.0,1.0,0.0,0.0
val,-4.125370025634766,3.6636428833007812,-0.46514520049095154,0.0,0.0,0.0,0.0,1.0,0.0
val,-4.556771278381348,-3.4556241035461426,-4.596920490264893,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.7970843315124512,-1.0174916982650757,-0.9066300988197327,1.0,0.0,0.0,0.0,0.0,0.0
val,-0.5855627655982971,-0.16377578675746918,1.0875896215438843,0.0,1.0,0.0,0.0,0.0,0.0
val,1.3297204971313477,0.511044442653656,-2.3968312740325928,0.0,0.0,1.0,0.0,0.0,0.0
val,-3.895163059234619,0.2200378179550171,1.97615385055542,0.0,0.0,0.0,1.0,0.0,0.0
val,-3.7449028491973877,-0.2532726526260376,-5.083948612213135,0.0,0.0,0.0,0.0,1.0,0.0
val,2.9281673431396484,-4.730086803436279,-1.2153353691101074,0.0,0.0,0.0,0.0,0.0,1.0
val,-0.4033060073852539,0.19482925534248352,-1.3544961214065552,1.0,0.0,0.0,0.0,0.0,0.0
val,0.6971369981765747,0.5653958916664124,-0.9424217343330383,0.0,1.0,0.0,0.0,0.0,0.0
val,-1.9921183586120605,2.088442802429199,-2.4198391437530518,0.0,0.0,1.0,0.0,0.0,0.0
val,-0.9971822500228882,-2.577383518218994,-4.127230167388916,0.0,0.0,0.0,1.0,0.0,0.0
val,1.2165154218673706,-4.684028148651123,-1.4837745428085327,0.0,0.0,0.0,0.0,1.0,0.0
val,3.652555465698242,-2.3475708961486816,2.1941936016082764,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.4637901782989502,0.6097252368927002,-0.6413308382034302,1.0,0.0,0.0,0.0,0.0,0.0
val,0.3342185914516449,-1.5060458183288574,-1.535979151725769,0.0,1.0,0.0,0.0,0.0,0.0
val,-2.36236310005188,-1.0408283472061157,-3.4598042964935303,0.0,0.0,1.0,0.0,0.0,0.0
val,-4.473984241485596,0.8308831453323364,0.9907611608505249,0.0,0.0,0.0,1.0,0.0,0.0
val,-5.7002434730529785,-2.166260004043579,-1.4572770595550537,0.0,0.0,0.0,0.0,1.0,0.0
val,-6.256783962249756,-3.0300817489624023,0.5696349740028381,0.0,0.0,0.0,0.0,0.0,1.0
val,-0.1454644799232483,-0.16179019212722778,-0.5848643779754639,1.0,0.0,0.0,0.0,0.0,0.0
val,-0.11133723706007004,-1.9877128601074219,-1.256798505783081,0.0,1.0,0.0,0.0,0.0,0.0
val,0.39241713285446167,2.023888111114502,0.3261415362358093,0.0,0.0,1.0,0.0,0.0,0.0
val,-1.470633864402771,-3.199954032897949,-3.5713369846343994,0.0,0.0,0.0,1.0,0.0,0.0
val,-4.290677070617676,1.7860231399536133,2.397308588027954,0.0,0.0,0.0,0.0,1.0,0.0
val,3.492003917694092,3.496533155441284,-1.5236397981643677,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.35035407543182373,0.01942678540945053,-0.26374107599258423,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.7540977001190186,1.5552585124969482,-1.1976784467697144,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.156670093536377,2.4975900650024414,-0.6064584851264954,0.0,0.0,1.0,0.0,0.0,0.0
test,1.3672537803649902,0.7850092649459839,-3.7926926612854004,0.0,0.0,0.0,1.0,0.0,0.0
test,1.4888131618499756,1.9950976371765137,2.7676539421081543,0.0,0.0,0.0,0.0,1.0,0.0
test,1.1396445035934448,-5.667006969451904,0.6379736661911011,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.6382072567939758,-0.628272533416748,-0.016365349292755127,1.0,0.0,0.0,0.0,0.0,0.0
test,0.22315256297588348,0.2748388648033142,0.5428171157836914,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.7948417663574219,-2.943293333053589,-2.227236032485962,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.528162956237793,3.598184823989868,-1.5207000970840454,0.0,0.0,0.0,1.0,0.0,0.0
test,1.0149866342544556,-1.9586825370788574,-5.0550456047058105,0.0,0.0,0.0,0.0,1.0,0.0
test,2.1715242862701416,1.1165457963943481,3.984447479248047,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.5243991613388062,-0.11572160571813583,-1.63425874710083,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.30863618850708,-1.862485408782959,-1.1678334474563599,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.069847583770752,0.8954610228538513,1.7356051206588745,0.0,0.0,1.0,0.0,0.0,0.0
test,2.087597608566284,-1.6072973012924194,-2.8690431118011475,0.0,0.0,0.0,1.0,0.0,0.0
test,-0.15652760863304138,-0.3939208984375,-5.748437404632568,0.0,0.0,0.0,0.0,1.0,0.0
test,0.08379196375608444,-5.295651912689209,-3.9460318088531494,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.9864592552185059,-0.5374736189842224,-1.8043712377548218,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.3204609155654907,-0.9167746305465698,-2.7300031185150146,0.0,1.0,0.0,0.0,0.0,0.0
test,-3.8346657752990723,0.04617474973201752,-2.028578042984009,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.38658538460731506,3.5173635482788086,-1.7909458875656128,0.0,0.0,0.0,1.0,0.0,0.0
test,-5.879870414733887,-0.3207084834575653,0.6351958513259888,0.0,0.0,0.0,0.0,1.0,0.0
test,2.620037078857422,-4.251964092254639,1.717064619064331,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.1116796731948853,-1.2959898710250854,-0.9425766468048096,1.0,0.0,0.0,0.0,0.0,0.0
test,-3.1012933254241943,-0.23823586106300354,-0.8558417558670044,0.0,1.0,0.0,0.0,0.0,0.0
test,-3.0838937759399414,1.8086566925048828,-0.05131278559565544,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.4153764545917511,-4.22986364364624,-1.1475619077682495,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.783585786819458,3.795538902282715,-1.8527441024780273,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.651193141937256,-0.6611180305480957,3.9849698543548584,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.9532290697097778,0.2015078067779541,-0.6874430775642395,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.865384340286255,0.5277603268623352,-1.2915832996368408,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5021811723709106,-3.0177979469299316,0.36915817856788635,0.0,0.0,1.0,0.0,0.0,0.0
test,-4.018977642059326,2.234452247619629,0.1914425641298294,0.0,0.0,0.0,1.0,0.0,0.0
test,0.36200612783432007,-3.608440399169922,2.612778425216675,0.0,0.0,0.0,0.0,1.0,0.0
test,1.230432152748108,5.150665760040283,0.07343773543834686,0.0,0.0,0.0,0.0,0.0,1.0
test,-2.0348782539367676,0.03411741182208061,-0.7059340476989746,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.5539889335632324,-1.5212812423706055,-0.20355580747127533,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.491913765668869,2.234919309616089,-2.321033000946045,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.285523533821106,3.5656142234802246,-1.8460756540298462,0.0,0.0,0.0,1.0,0.0,0.0
test,-0.7011843323707581,-1.654765248298645,-5.6361799240112305,0.0,0.0,0.0,0.0,1.0,0.0
test,-3.9524099826812744,4.257134437561035,-3.5036780834198,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.4519174098968506,0.36757567524909973,-1.1993988752365112,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.9854371547698975,0.29050981998443604,-0.5175529718399048,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.3264691829681396,-0.34375420212745667,-3.8309006690979004,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.9384567737579346,2.884268045425415,1.430385947227478,0.0,0.0,0.0,1.0,0.0,0.0
test,3.257323741912842,-1.9082882404327393,1.0072921514511108,0.0,0.0,0.0,0.0,1.0,0.0
test,-3.726569414138794,0.9474822282791138,4.409598350524902,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.801514744758606,0.2837218642234802,-0.4286513328552246,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.5408977270126343,1.6192431449890137,-1.1845436096191406,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.594539999961853,0.20915882289409637,-3.754568338394165,0.0,0.0,1.0,0.0,0.0,0.0
test,2.558506965637207,1.2849056720733643,-1.125719428062439,0.0,0.0,0.0,1.0,0.0,0.0
test,-2.2463886737823486,-5.160599231719971,-1.120473027229309,0.0,0.0,0.0,0.0,1.0,0.0
test,1.2663288116455078,4.721485614776611,1.4320770502090454,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.6703636646270752,-0.944650411605835,-0.32622918486595154,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.9160752296447754,-1.099171757698059,-0.5677321553230286,0.0,1.0,0.0,0.0,0.0,0.0
test,-3.000222682952881,2.002849817276001,-1.1375048160552979,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.787504196166992,3.100278615951538,-2.1002135276794434,0.0,0.0,0.0,1.0,0.0,0.0
test,2.8271982669830322,-1.9343563318252563,1.7856591939926147,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.981586933135986,2.4566853046417236,2.813469171524048,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.42514967918396,-1.2431615591049194,-0.9333791136741638,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.8759979605674744,-0.055945638567209244,-2.8115217685699463,0.0,1.0,0.0,0.0,0.0,0.0
test,-4.0697736740112305,-0.5830458402633667,-1.1788135766983032,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.152994155883789,1.7625236511230469,2.42179274559021,0.0,0.0,0.0,1.0,0.0,0.0
test,-1.4091721773147583,-0.587777853012085,-5.821935176849365,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.9778971672058105,-1.797907829284668,3.489445686340332,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.6103463172912598,-0.8901287913322449,-0.2108657956123352,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.1108474731445312,-2.0244836807250977,-0.9568852186203003,0.0,1.0,0.0,0.0,0.0,0.0
test,0.05616263672709465,-2.3342854976654053,1.0379183292388916,0.0,0.0,1.0,0.0,0.0,0.0
test,1.0012590885162354,1.2759448289871216,2.1748714447021484,0.0,0.0,0.0,1.0,0.0,0.0
test,1.2461035251617432,2.0205681324005127,-4.593705654144287,0.0,0.0,0.0,0.0,1.0,0.0
test,-2.676830530166626,4.268313407897949,-4.394748210906982,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.359161615371704,-0.6418126821517944,0.06492512673139572,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.289541482925415,0.35640501976013184,-2.3085787296295166,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.5544233322143555,2.2981956005096436,-0.47372308373451233,0.0,0.0,1.0,0.0,0.0,0.0
test,1.467168927192688,2.0594003200531006,-2.7951900959014893,0.0,0.0,0.0,1.0,0.0,0.0
test,-0.4832671284675598,-3.022294044494629,3.309295415878296,0.0,0.0,0.0,0.0,1.0,0.0
test,-5.3740339279174805,-2.384840726852417,2.8226335048675537,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.7692806124687195,-0.030120158568024635,-1.742631435394287,1.0,0.0,0.0,0.0,0.0,0.0
test,0.7692097425460815,-0.9043133854866028,-0.4739609360694885,0.0,1.0,0.0,0.0,0.0,0.0
test,1.8939108848571777,-0.31734415888786316,-0.988350510597229,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.2810364067554474,2.8462772369384766,-3.167215347290039,0.0,0.0,0.0,1.0,0.0,0.0
test,-5.46615743637085,1.0452337265014648,1.1960835456848145,0.0,0.0,0.0,0.0,1.0,0.0
test,2.584550380706787,-1.3027504682540894,3.786853551864624,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.726502001285553,-0.9749787449836731,-0.20321904122829437,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.4085959196090698,1.6457669734954834,-0.5005457997322083,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.878789186477661,-2.6849536895751953,-1.2429754734039307,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.6328186988830566,0.8321638107299805,-4.357086658477783,0.0,0.0,0.0,1.0,0.0,0.0
test,-2.929103374481201,-3.2748217582702637,-4.420291423797607,0.0,0.0,0.0,0.0,1.0,0.0
test,-3.2194247245788574,1.619744062423706,-6.114753246307373,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.1791094541549683,-1.130977749824524,-0.28656598925590515,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.6318641901016235,0.5797183513641357,0.8760315179824829,0.0,1.0,0.0,0.0,0.0,0.0
test,-3.9609663486480713,-0.45840170979499817,0.056897953152656555,0.0,0.0,1.0,0.0,0.0,0.0
test,0.946071982383728,0.5869095921516418,2.4792919158935547,0.0,0.0,0.0,1.0,0.0,0.0
test,2.671133279800415,0.43236613273620605,-4.036839008331299,0.0,0.0,0.0,0.0,1.0,0.0
test,-1.2323020696640015,0.12407144159078598,-6.8230719566345215,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.9408087730407715,-0.8092588782310486,0.006544020492583513,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.2080118656158447,0.7122555375099182,-2.1625070571899414,0.0,1.0,0.0,0.0,0.0,0.0
test,0.5521373748779297,0.7144094109535217,1.44752836227417,0.0,0.0,1.0,0.0,0.0,0.0
test,1.9841667413711548,2.074557065963745,0.07060250639915466,0.0,0.0,0.0,1.0,0.0,0.0
test,-1.7393584251403809,3.462740182876587,-4.068491458892822,0.0,0.0,0.0,0.0,1.0,0.0
test,-2.000960111618042,3.9337923526763916,-4.993626117706299,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.16101980209350586,-0.36046451330184937,-1.1718378067016602,1.0,0.0,0.0,0.0,0.0,0.0
test,-3.0482735633850098,-0.050633154809474945,-1.2275835275650024,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.048234224319458,-3.010643482208252,-1.7142555713653564,0.0,0.0,1.0,0.0,0.0,0.0
test,2.6160924434661865,0.8620511889457703,-1.7449227571487427,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5636274814605713,0.712457537651062,-5.072116374969482,0.0,0.0,0.0,0.0,1.0,0.0
test,-6.501923084259033,-2.547700881958008,-2.180696487426758,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.881533682346344,0.6533265709877014,-1.0391525030136108,1.0,0.0,0.0,0.0,0.0,0.0
test,0.14593952894210815,0.24173615872859955,0.6256174445152283,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.26927366852760315,-1.0463289022445679,-3.623642683029175,0.0,0.0,1.0,0.0,0.0,0.0
test,-3.1245973110198975,-3.7388033866882324,-1.1469312906265259,0.0,0.0,0.0,1.0,0.0,0.0
test,-4.031740188598633,-2.1986138820648193,-4.419960975646973,0.0,0.0,0.0,0.0,1.0,0.0
test,1.727624773979187,-3.4223883152008057,3.432457685470581,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.32978957891464233,-0.7983814477920532,-1.2346826791763306,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.395782470703125,0.04101455584168434,-2.788092613220215,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.87151300907135,-0.5714300870895386,-3.7267026901245117,0.0,0.0,1.0,0.0,0.0,0.0
test,-4.250576019287109,-2.49371600151062,0.2927785813808441,0.0,0.0,0.0,1.0,0.0,0.0
test,3.683196783065796,-1.6938097476959229,-1.2390180826187134,0.0,0.0,0.0,0.0,1.0,0.0
test,2.104797124862671,-1.2243729829788208,-5.825785160064697,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.8901126384735107,-0.8300498127937317,-1.1556802988052368,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.6446306705474854,1.4346188306808472,-0.007511207368224859,0.0,1.0,0.0,0.0,0.0,0.0
test,0.2708553969860077,-0.895591676235199,-3.4398090839385986,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.06683100759983063,-2.1393074989318848,-4.238055229187012,0.0,0.0,0.0,1.0,0.0,0.0
test,-1.1317840814590454,-3.8425452709198,-4.369326114654541,0.0,0.0,0.0,0.0,1.0,0.0
test,-3.653226137161255,-0.05819816142320633,-6.264889240264893,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.721627116203308,0.4630279242992401,-0.6600651741027832,1.0,0.0,0.0,0.0,0.0,0.0
test,0.2390068918466568,-1.4646297693252563,-1.7601979970932007,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.053887128829956,-2.909881353378296,0.29626789689064026,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.687562942504883,-1.759853720664978,2.5308594703674316,0.0,0.0,0.0,1.0,0.0,0.0
test,-1.8023011684417725,-3.7299935817718506,-4.410926818847656,0.0,0.0,0.0,0.0,1.0,0.0
test,-3.7771215438842773,-5.627593517303467,-1.5300718545913696,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.6437379121780396,-0.9156715273857117,-0.26554927229881287,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.4520472288131714,-1.0923643112182617,0.9637502431869507,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.7789599895477295,-2.1060755252838135,-3.2141127586364746,0.0,0.0,1.0,0.0,0.0,0.0
test,-3.548887014389038,-3.4356367588043213,-0.4028470516204834,0.0,0.0,0.0,1.0,0.0,0.0
test,-1.0879616737365723,3.0873751640319824,2.83687162399292,0.0,0.0,0.0,0.0,1.0,0.0
test,1.2406240701675415,-5.737191677093506,0.14127592742443085,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.0162622928619385,-0.4548450708389282,0.14480800926685333,1.0,0.0,0.0,0.0,0.0,0.0
test,0.5073851943016052,-0.8168156743049622,-1.9087104797363281,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.7396880984306335,1.7012131214141846,-3.0437183380126953,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.187838554382324,1.1824132204055786,-4.392071723937988,0.0,0.0,0.0,1.0,0.0,0.0
test,-2.3706159591674805,-5.075683116912842,-0.06675111502408981,0.0,0.0,0.0,0.0,1.0,0.0
test,-1.1095871925354004,3.840418577194214,3.5015780925750732,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.7044295072555542,-1.0843698978424072,-0.995753824710846,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.34023791551589966,-2.1105730533599854,-1.2215441465377808,0.0,1.0,0.0,0.0,0.0,0.0
test,0.3037956953048706,-0.560792088508606,-3.476898670196533,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.5611298084259033,-0.9637750387191772,-4.747047424316406,0.0,0.0,0.0,1.0,0.0,0.0
test,2.808671474456787,-3.2961783409118652,0.017666636034846306,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.385141372680664,0.5030652284622192,4.117857933044434,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.4457160234451294,-0.966905415058136,-0.17690646648406982,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.9028830528259277,0.5653824806213379,-0.7566808462142944,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.7207545042037964,-3.0826847553253174,-1.7786085605621338,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.7075960636138916,-0.5193940997123718,2.8176910877227783,0.0,0.0,0.0,1.0,0.0,0.0
test,-5.436450958251953,-1.0644968748092651,-3.2130260467529297,0.0,0.0,0.0,0.0,1.0,0.0
test,3.9811851978302,-0.2673427164554596,2.3473355770111084,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.4525704383850098,0.24885594844818115,-1.5976219177246094,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.9233424067497253,-2.2915802001953125,-0.9229110479354858,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.27533280849456787,-3.1756014823913574,-0.6056600213050842,0.0,0.0,1.0,0.0,0.0,0.0
test,2.5811614990234375,0.5259994268417358,0.4822300970554352,0.0,0.0,0.0,1.0,0.0,0.0
test,3.01524019241333,-2.7113068103790283,0.6562498807907104,0.0,0.0,0.0,0.0,1.0,0.0
test,-5.299604415893555,-0.5176376104354858,-5.121677398681641,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.5420317053794861,-1.0822087526321411,-1.1158066987991333,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.44699305295944214,-1.5013401508331299,0.6200485229492188,0.0,1.0,0.0,0.0,0.0,0.0
test,-3.9593825340270996,0.4481357932090759,-1.3646234273910522,0.0,0.0,1.0,0.0,0.0,0.0
test,-4.045523643493652,1.5647622346878052,1.123928427696228,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.283034086227417,-4.406045913696289,1.0032737255096436,0.0,0.0,0.0,0.0,1.0,0.0
test,-5.97224235534668,1.357493281364441,-3.9270482063293457,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.7704033851623535,-0.4214833974838257,-1.5739411115646362,1.0,0.0,0.0,0.0,0.0,0.0
test,0.12496624141931534,-0.15373103320598602,-2.4118082523345947,0.0,1.0,0.0,0.0,0.0,0.0
test,-3.8728272914886475,-1.427780270576477,-1.0754759311676025,0.0,0.0,1.0,0.0,0.0,0.0
test,-3.8175127506256104,-2.5325851440429688,1.0707870721817017,0.0,0.0,0.0,1.0,0.0,0.0
test,-1.3422316312789917,-3.767251968383789,-4.435413837432861,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.133573532104492,3.1984105110168457,2.976616382598877,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.8431442379951477,-0.9324091076850891,-0.10843715816736221,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.9140071868896484,-0.041973840445280075,-1.6462079286575317,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.372101306915283,1.9937224388122559,-2.2957370281219482,0.0,0.0,1.0,0.0,0.0,0.0
test,2.0191028118133545,2.199936628341675,-0.8321397304534912,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.7931530475616455,-4.515202522277832,-0.8949655294418335,0.0,0.0,0.0,0.0,1.0,0.0
test,0.06417812407016754,-3.9124927520751953,-5.487040996551514,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.640558123588562,0.09693372994661331,-1.5823537111282349,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.7471913695335388,-0.287272185087204,1.1285775899887085,0.0,1.0,0.0,0.0,0.0,0.0
test,-3.896864414215088,-1.0714367628097534,-0.06648034602403641,0.0,0.0,1.0,0.0,0.0,0.0
test,2.6835861206054688,-1.255659580230713,0.029865030199289322,0.0,0.0,0.0,1.0,0.0,0.0
test,-4.982407569885254,-2.9106130599975586,0.9315593242645264,0.0,0.0,0.0,0.0,1.0,0.0
test,-3.1249773502349854,-0.8093124032020569,-6.465504169464111,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.8760615587234497,-0.0395585373044014,-0.26265811920166016,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.8592814207077026,1.303895354270935,-1.7616719007492065,0.0,1.0,0.0,0.0,0.0,0.0
test,0.35929736495018005,-1.8169108629226685,1.2973881959915161,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.557464361190796,3.4388515949249268,0.5034559965133667,0.0,0.0,0.0,1.0,0.0,0.0
test,-4.697166919708252,-9.0463858214207e-05,2.6225790977478027,0.0,0.0,0.0,0.0,1.0,0.0
test,1.546412467956543,1.4605050086975098,4.247643947601318,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.775442361831665,-1.2035858631134033,-0.5583354830741882,1.0,0.0,0.0,0.0,0.0,0.0
test,0.12816591560840607,-1.8658658266067505,-1.0348057746887207,0.0,1.0,0.0,0.0,0.0,0.0
test,-3.4461476802825928,-1.192646861076355,-2.486469268798828,0.0,0.0,1.0,0.0,0.0,0.0
test,2.70709490776062,-0.6856256723403931,-1.9973490238189697,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.462735652923584,-4.690803527832031,-0.4379437565803528,0.0,0.0,0.0,0.0,1.0,0.0
