split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7
train,3.773686408996582,-1.003170132637024,0.8803894519805908,2.069337844848633,-1.8476256132125854,-0.2105163186788559,-3.486161947250366,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,3.9524929523468018,2.380013942718506,-1.0647082328796387,-0.7048056721687317,1.8339585065841675,-3.6099116802215576,-3.3384315967559814,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.4917796850204468,4.0351104736328125,-0.8221927881240845,-4.03318977355957,0.455814927816391,-3.4861652851104736,-3.098057746887207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-1.3281878232955933,-1.1157387495040894,-2.7482521533966064,2.568250894546509,-5.701903820037842,-3.444786548614502,-2.2013049125671387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.3435468673706055,1.6036287546157837,-0.031541913747787476,0.014077357947826385,-1.712599515914917,-0.8079063296318054,-1.0794520378112793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.3486709594726562,1.9268313646316528,-0.8340075612068176,0.06302347034215927,-2.2065060138702393,0.8548408150672913,-2.0613338947296143,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.9305509924888611,0.4731343388557434,-0.2925003468990326,-1.5927541255950928,-0.4915076792240143,-1.5756505727767944,0.17975249886512756,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,2.880636692047119,3.581271171569824,1.1649662256240845,2.1212828159332275,0.676638126373291,0.3474895656108856,-1.667798638343811,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,1.7524851560592651,2.8496930599212646,-0.12552396953105927,-3.706585645675659,-2.902414083480835,1.193256139755249,-3.7426695823669434,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,1.4529368877410889,0.17244040966033936,3.763998031616211,-1.8889644145965576,0.455120712518692,3.5022706985473633,-0.05594269558787346,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-3.43182373046875,-0.6350337266921997,1.4409981966018677,-2.69639253616333,-4.339470863342285,1.0851337909698486,-0.883607804775238,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,0.5786769390106201,1.4823359251022339,4.757369518280029,5.445757865905762,-0.366081565618515,-2.820734977722168,-1.1306161880493164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.8796216249465942,1.3140771389007568,0.20229868590831757,0.05777781084179878,-1.417297601699829,0.41028085350990295,-0.4974134564399719,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.8270990252494812,2.986043930053711,0.8945484757423401,0.006206966005265713,-2.3296754360198975,0.07523500174283981,-1.465471625328064,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3.119140148162842,-0.04541308805346489,-0.3470901548862457,-1.6795929670333862,-1.0190441608428955,0.5464521050453186,-1.4215383529663086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.1315488815307617,0.7308796644210815,-0.2415180802345276,0.6642016768455505,-2.135401964187622,-3.5940208435058594,-0.7956300377845764,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.17528711259365082,5.8854265213012695,0.28710049390792847,0.16605404019355774,-1.7955292463302612,2.0659852027893066,-2.0623927116394043,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-2.014253616333008,2.7700932025909424,-1.901088833808899,-1.085802435874939,1.6734774112701416,2.6073553562164307,-2.9378910064697266,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-4.267334461212158,1.9257380962371826,2.122568368911743,-0.0845961943268776,-1.9796290397644043,-1.9041985273361206,-3.7896249294281006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,0.6071541905403137,-3.2048938274383545,0.6551365256309509,-3.599675178527832,-3.5987260341644287,0.9790574312210083,-5.522531032562256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.290135145187378,1.6075830459594727,-0.5302972793579102,0.20317792892456055,-1.4137769937515259,0.21712626516819,-1.8115414381027222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.4898312091827393,2.1754796504974365,-0.27407151460647583,-1.011157512664795,-0.3718682527542114,-0.7794183492660522,-2.3351707458496094,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.9853679537773132,0.11069894582033157,-0.9693598747253418,-1.5946872234344482,-2.2051150798797607,0.06366779655218124,0.359762966632843,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,3.1024794578552246,1.0505956411361694,-1.8785598278045654,1.9505690336227417,-1.5097671747207642,-1.6385830640792847,-2.523691415786743,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.7007429003715515,0.5647084712982178,4.2794880867004395,-1.8108717203140259,-0.0271927360445261,-0.06855618953704834,-1.3262654542922974,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-2.284144163131714,0.2088843733072281,-3.9194743633270264,1.5353991985321045,-1.9638962745666504,-0.4164455235004425,-0.13972070813179016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,0.5766357183456421,1.5481226444244385,-1.6391470432281494,2.513834238052368,-4.229585647583008,1.6348533630371094,4.126720428466797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,1.433224081993103,2.121751546859741,2.8118069171905518,-3.7568118572235107,3.7133891582489014,4.161934852600098,-0.07149992138147354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.2100379467010498,1.311187505722046,0.49656596779823303,-0.6838619112968445,-1.1316770315170288,-0.23974472284317017,-1.309395670890808,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.7892332673072815,1.3398616313934326,1.134823203086853,-0.0707935020327568,-1.1504766941070557,-1.361644983291626,-0.9994876980781555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,2.015249252319336,2.1260945796966553,-1.0024542808532715,1.499406099319458,-1.7414649724960327,1.9311107397079468,-0.01842511259019375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,3.415628433227539,1.9650503396987915,0.6393100619316101,-0.6798188090324402,-2.713733434677124,-0.8182172179222107,1.830814242362976,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,1.5104248523712158,1.5564016103744507,-2.880890130996704,-1.696592926979065,-1.3133562803268433,-3.7111876010894775,-1.6133157014846802,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,2.8679332733154297,5.948202610015869,3.203590154647827,1.0727784633636475,-2.239705801010132,-1.334617018699646,-2.452319622039795,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,2.395343780517578,-1.4129799604415894,-3.4479048252105713,-0.20112285017967224,-5.196498870849609,0.2946544885635376,2.1782281398773193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-3.3581769466400146,-0.07268278300762177,-0.5740017294883728,-2.535182237625122,-1.738084077835083,-4.923516750335693,-3.628723621368408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.4877229928970337,2.260582685470581,0.13143184781074524,-0.3254161775112152,-1.602339267730713,-0.4484957158565521,-0.4982758164405823,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.4689514636993408,3.0748751163482666,-0.7974550127983093,0.3776184320449829,-0.6888676285743713,-0.9088659882545471,-1.567644476890564,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,2.710719347000122,2.1646201610565186,0.005520516075193882,-0.9354511499404907,-2.2497024536132812,2.1193623542785645,-2.2592079639434814,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,0.5534787774085999,1.8816025257110596,1.72100830078125,-1.5085136890411377,-3.6459360122680664,-0.34619030356407166,-3.189085006713867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,0.9184675812721252,2.828413724899292,0.20734265446662903,1.7571344375610352,-4.238219738006592,-1.275985598564148,1.9693694114685059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,1.3888211250305176,-2.4904701709747314,-3.9171316623687744,0.6506392955780029,-2.5629324913024902,0.6033071279525757,-1.0797358751296997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,4.332520961761475,2.0788345336914062,1.3444557189941406,1.2901209592819214,-7.295290470123291,0.2211335152387619,-0.5737605094909668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,0.11453376710414886,-0.6071168184280396,4.959412574768066,2.442047595977783,-1.136875867843628,-3.8699138164520264,2.0072176456451416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.3232332468032837,1.5917589664459229,-0.2693764269351959,-0.5949851274490356,-0.9106565117835999,0.7725369930267334,-0.9130144715309143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,2.948396921157837,1.2046090364456177,-0.1869957596063614,0.83375084400177,-1.5086241960525513,0.4521399438381195,-0.6051706671714783,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.861945390701294,0.08842560648918152,0.8178107142448425,1.2782282829284668,-1.714879035949707,-1.6328150033950806,-1.549903154373169,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-1.1857248544692993,2.3120529651641846,1.1959086656570435,-0.16748720407485962,1.3003941774368286,0.7578339576721191,-0.6734960079193115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,3.6364452838897705,1.0239372253417969,-3.6391098499298096,-0.2417670339345932,-1.1140114068984985,0.41013073921203613,1.4538545608520508,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,5.061291694641113,2.7962827682495117,-0.9908430576324463,-2.6172306537628174,-4.045454025268555,1.6721909046173096,-3.213653326034546,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,0.5894889235496521,-3.096130132675171,-3.7213079929351807,-0.8870398998260498,-1.488822102546692,-1.3183871507644653,-3.980318546295166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-1.3618496656417847,0.3121531903743744,-5.1399078369140625,2.504589080810547,-5.437193870544434,0.5993021726608276,-2.838566303253174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.383940577507019,2.5407943725585938,0.3366825580596924,-0.5143508911132812,-1.6136072874069214,-0.0458868034183979,-0.9730835556983948,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.6428559422492981,2.120626449584961,0.42755836248397827,0.6213340163230896,-1.9918086528778076,-0.14205513894557953,-2.4569718837738037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.0410919189453125,0.13860031962394714,1.107301115989685,0.058716848492622375,0.5809360146522522,-0.8161141872406006,-0.2793613374233246,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,0.4121054708957672,3.7066376209259033,1.5215282440185547,2.043630838394165,0.459789514541626,-0.9564390778541565,-1.3389617204666138,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,2.78328013420105,4.130068302154541,2.8693606853485107,-0.974239706993103,-0.6137792468070984,1.428160309791565,1.4187288284301758,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,1.8111933469772339,1.7691981792449951,-0.23726026713848114,1.795176386833191,-3.5164918899536133,-3.271331548690796,-5.088967323303223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-1.7329038381576538,6.7561116218566895,-0.6503673791885376,-0.8154423832893372,1.8993918895721436,-0.4735080301761627,-2.818976402282715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,3.3477988243103027,3.7282793521881104,-6.400094032287598,-1.7089664936065674,-3.117861270904541,-3.137636423110962,-1.1251009702682495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.7414515018463135,1.804007887840271,-0.7592095732688904,-0.5200651288032532,-1.4673423767089844,-0.10287754982709885,-1.5092107057571411,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.8759934306144714,1.9349299669265747,1.0556203126907349,-0.80350261926651,-1.9308900833129883,0.6270707845687866,0.02451408840715885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.5901838541030884,1.4652329683303833,0.7555474042892456,-1.245202898979187,-0.8278067111968994,1.571209192276001,1.0389143228530884,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,1.568049669265747,4.563364505767822,-0.2283557951450348,1.7231667041778564,0.6533711552619934,0.9619128108024597,-1.5671682357788086,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,1.9646393060684204,3.5576963424682617,3.556858539581299,0.000275783910183236,-3.173452138900757,2.110339879989624,-1.9790730476379395,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,0.5591441988945007,3.092040538787842,-0.09713415801525116,1.1419719457626343,0.10006594657897949,-2.0367543697357178,3.9739503860473633,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,0.5762304067611694,0.7386398315429688,-2.275829553604126,3.0269200801849365,-5.055455207824707,2.3327720165252686,-4.617100238800049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-4.809342384338379,2.178877353668213,-4.002016544342041,0.8132046461105347,1.1863712072372437,0.2690526843070984,0.2786993682384491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.5381227731704712,1.711527705192566,-0.6479721069335938,0.1294216811656952,-1.6104040145874023,-0.4542531967163086,-0.6882437467575073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.831334114074707,1.8937604427337646,0.8582592010498047,0.9112042784690857,-1.3368209600448608,0.44458499550819397,-1.2699919939041138,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.6055554747581482,2.9335222244262695,1.1987876892089844,-2.339162588119507,-1.842787504196167,-0.05290122702717781,-0.5750486254692078,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,3.8917224407196045,2.16113543510437,-0.3019406497478485,-2.3542122840881348,-1.398300290107727,0.7140219211578369,-3.2051191329956055,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,3.524041175842285,3.503626585006714,0.925339937210083,-1.649774193763733,-3.933032274246216,2.608954906463623,-2.0175650119781494,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,1.3189562559127808,2.0044002532958984,2.477134943008423,0.9383472800254822,3.0829689502716064,-2.575484275817871,-2.7421748638153076,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.9046032428741455,3.0473597049713135,-0.37086284160614014,0.7234311699867249,-3.6325972080230713,1.8614519834518433,1.8944720029830933,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,3.360856294631958,-0.29830461740493774,-3.5102269649505615,3.5262343883514404,-6.696623802185059,-0.11625833064317703,-0.1313730627298355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.6594728231430054,2.028944730758667,0.1950892060995102,-0.4885557293891907,-0.7465912103652954,-0.6070173382759094,-1.2708936929702759,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.05210036784410477,1.634909749031067,0.76236891746521,-0.24542731046676636,-1.0810813903808594,0.7291749119758606,-0.3332366347312927,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.842326283454895,2.463853597640991,-1.2001951932907104,0.32020628452301025,-3.574550151824951,1.1080211400985718,-1.4105674028396606,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,3.0684313774108887,4.350663661956787,0.3806159496307373,-2.673323392868042,-1.0154095888137817,-0.30017343163490295,-0.9103388786315918,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,2.0589139461517334,3.7621266841888428,2.720221757888794,-1.4971271753311157,-0.076706163585186,2.616276264190674,-2.906259298324585,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,0.8668734431266785,-0.7909015417098999,1.3976963758468628,2.833524465560913,-2.965106725692749,3.8697733879089355,-0.29350557923316956,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,3.9098470211029053,1.12858247756958,-0.880377471446991,3.105109930038452,-6.562860488891602,1.6962294578552246,-0.40697333216667175,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-1.6334118843078613,3.8806891441345215,1.9842191934585571,2.0641350746154785,4.397270679473877,-1.4867562055587769,1.5114833116531372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.7938288450241089,1.970262885093689,-0.13596832752227783,0.3675980269908905,-1.4178192615509033,-0.5664675235748291,-0.6649549007415771,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.9901949167251587,0.25086548924446106,-0.9104556441307068,0.5598742365837097,-1.1017454862594604,0.16279934346675873,-0.8396080732345581,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.43426772952079773,0.8827954530715942,-0.8770765066146851,1.072219729423523,-1.2906293869018555,1.3444797992706299,-1.9548299312591553,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.11605441570281982,1.8275471925735474,0.02062200754880905,1.2812384366989136,-0.0957290381193161,1.3654038906097412,1.8098491430282593,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.7421892285346985,0.4936193525791168,-0.14184941351413727,3.1873488426208496,-2.091136932373047,2.641885995864868,-1.0369006395339966,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,2.0256385803222656,-2.308143138885498,2.018111228942871,-1.0048290491104126,-1.2742873430252075,2.0363779067993164,2.0798757076263428,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,4.520228385925293,6.591793537139893,-1.2743943929672241,1.9968341588974,-1.8738017082214355,-2.519500732421875,-2.930596351623535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,2.3584210872650146,6.3345947265625,-4.108392238616943,-0.7582442164421082,-4.626678466796875,-1.3561137914657593,-4.575212001800537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,2.31524395942688,1.4634308815002441,-0.06603837758302689,-0.27143895626068115,-1.4357447624206543,0.36560943722724915,-1.0078458786010742,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.313929796218872,1.5058019161224365,-0.1723126471042633,0.44005629420280457,0.3644791543483734,0.002785133896395564,-0.14181771874427795,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.6259255409240723,-0.4239431917667389,0.42198678851127625,0.5040160417556763,-2.033050537109375,-1.1897218227386475,-0.9433865547180176,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,1.927128553390503,-0.5097575187683105,-2.7767179012298584,-0.9861893057823181,-1.3582005500793457,-1.2863118648529053,-1.7805931568145752,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.3839762806892395,1.577511191368103,-1.0669525861740112,-2.385288953781128,-1.980344533920288,2.6260783672332764,-3.969031572341919,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.091612696647644,-0.0812264084815979,1.363624930381775,0.5113934874534607,-5.429913520812988,1.4715834856033325,0.9795992970466614,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,4.145512104034424,3.7476909160614014,-2.1244096755981445,-2.2201266288757324,-3.240478754043579,5.055709362030029,-0.6781724691390991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,1.6857573986053467,6.7153000831604,3.899824380874634,-1.8282723426818848,-5.595823287963867,1.5080522298812866,-0.4537007212638855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.2971606254577637,1.7279391288757324,0.16300611197948456,-0.10329251736402512,-1.407143473625183,-0.8715551495552063,-1.3560850620269775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.239729404449463,2.3632614612579346,0.3613416850566864,0.014738152734935284,-2.5474162101745605,0.9044544696807861,-0.39671751856803894,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.9867492318153381,3.256286859512329,-0.2980501055717468,0.19263017177581787,-0.9667424559593201,0.5296330451965332,-1.6919833421707153,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,2.275078773498535,2.504729747772217,-1.1328990459442139,1.4193028211593628,0.9458486437797546,0.8058528900146484,-3.476776361465454,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,0.49394357204437256,4.621622562408447,1.2038084268569946,-3.276029109954834,-0.16546037793159485,1.2469390630722046,0.3305760324001312,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.20993371307849884,-1.0510057210922241,-1.0743427276611328,-4.575064659118652,0.4363512396812439,0.06783614307641983,-2.3396639823913574,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.500053644180298,2.608261823654175,3.2464537620544434,1.0958176851272583,0.7981346845626831,2.2131502628326416,-2.6926376819610596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-0.45762312412261963,1.7428882122039795,-3.047738552093506,-0.5760014057159424,-5.504119396209717,-4.745424747467041,-4.266318321228027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.887080192565918,1.7971512079238892,-0.36923331022262573,0.6368276476860046,-1.4923639297485352,0.21420946717262268,-1.1959097385406494,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.02517690323293209,2.0058255195617676,-0.36617511510849,-1.1705163717269897,-1.8896543979644775,-0.21557044982910156,-1.4430111646652222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.21511173248291,0.6352177262306213,-0.560541570186615,-1.6508057117462158,-0.06326032429933548,0.8100489377975464,-1.10628080368042,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.8715459108352661,-0.03126763552427292,-0.24968987703323364,1.950440764427185,0.39753958582878113,0.18108199536800385,-0.7597381472587585,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.255898952484131,1.5661429166793823,2.5509235858917236,0.30540087819099426,-1.9492733478546143,-0.3702859878540039,0.8304529786109924,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,0.21066983044147491,3.787271499633789,3.247549533843994,3.343700885772705,-3.5007801055908203,-0.1347431093454361,-2.673757553100586,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,3.45300555229187,5.643213748931885,4.248343467712402,0.6004247069358826,2.044421911239624,0.043556127697229385,-0.5306544303894043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,3.729645013809204,4.437371730804443,4.276535511016846,-1.6461261510849,2.795225143432617,-3.3589937686920166,-2.794011116027832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.149696946144104,1.8678905963897705,-0.6487858891487122,0.51578289270401,-1.1930924654006958,-0.1714678406715393,-0.907279372215271,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.5224759578704834,2.2382638454437256,-0.42404821515083313,0.6585655212402344,-0.25916895270347595,-0.8098528385162354,-0.747066855430603,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.1250598430633545,2.3774735927581787,1.9335880279541016,-1.7702558040618896,-2.3358139991760254,0.17935940623283386,-2.0156683921813965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,0.8472289443016052,4.409689903259277,-1.9111467599868774,-0.010745958425104618,0.9373741149902344,0.3951488733291626,-0.6341273784637451,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.8192782998085022,1.9560097455978394,-2.1096653938293457,3.389817237854004,-0.18385687470436096,0.31370115280151367,-2.4215269088745117,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,2.907097101211548,-1.385113000869751,2.752629280090332,0.6022294759750366,1.4917241334915161,2.72768235206604,-1.9795467853546143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,2.270071506500244,4.128284931182861,2.496128559112549,1.3582537174224854,-6.559741020202637,-2.4148595333099365,-0.79693204164505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,2.1150479316711426,6.090388774871826,-0.18337899446487427,-0.06268096715211868,0.8224764466285706,-1.8061074018478394,-7.18810510635376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.3603113889694214,1.967569351196289,-0.2108008861541748,-0.7822775840759277,-0.791728138923645,-0.1261538863182068,-1.6002628803253174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.6907491683959961,3.1882927417755127,-0.8402895927429199,0.29447293281555176,-0.6550837159156799,0.4950731694698334,-0.9422897696495056,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.2838642597198486,2.253173828125,-0.4357388913631439,1.5030795335769653,0.9425467252731323,0.6104044914245605,-0.882817804813385,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,0.8409373760223389,-0.8474833369255066,-1.1976574659347534,-0.4245692789554596,0.575605034828186,-0.10683664679527283,0.87608402967453,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
