split,feature_0,feature_1,class_0,class_1,class_2,class_3,class_4
test,-0.6261806488037109,0.7717705368995667,0.0,0.0,1.0,0.0,0.0
test,5.444106578826904,-1.5089091062545776,0.0,0.0,0.0,1.0,0.0
test,5.656777858734131,-4.093535423278809,0.0,0.0,0.0,0.0,1.0
test,2.020531177520752,-0.5796791911125183,1.0,0.0,0.0,0.0,0.0
test,-0.28952541947364807,-0.4033401310443878,0.0,1.0,0.0,0.0,0.0
test,-0.6260091662406921,0.7719342708587646,0.0,0.0,1.0,0.0,0.0
test,-2.435138463973999,-2.367194175720215,0.0,0.0,0.0,1.0,0.0
test,-0.6145436763763428,3.15791916847229,0.0,0.0,0.0,0.0,1.0
test,2.1074957847595215,-0.6482766270637512,1.0,0.0,0.0,0.0,0.0
test,2.0108115673065186,-3.3164000511169434,0.0,1.0,0.0,0.0,0.0
test,4.418684482574463,-1.7992225885391235,0.0,0.0,1.0,0.0,0.0
test,2.4568769931793213,-5.267980098724365,0.0,0.0,0.0,1.0,0.0
test,-0.17760346829891205,3.3312571048736572,0.0,0.0,0.0,0.0,1.0
test,2.0154483318328857,-2.219696283340454,1.0,0.0,0.0,0.0,0.0
test,1.6265617609024048,-3.389714479446411,0.0,1.0,0.0,0.0,0.0
test,4.218259811401367,-0.2522192597389221,0.0,0.0,1.0,0.0,0.0
test,-2.4015908241271973,-0.30303409695625305,0.0,0.0,0.0,1.0,0.0
test,1.4334967136383057,-6.397899150848389,0.0,0.0,0.0,0.0,1.0
test,0.4529246389865875,-1.5183404684066772,1.0,0.0,0.0,0.0,0.0
test,2.5070676803588867,-3.093020439147949,0.0,1.0,0.0,0.0,0.0
test,0.5006973147392273,-4.245205879211426,0.0,0.0,1.0,0.0,0.0
test,4.924215316772461,0.5768164396286011,0.0,0.0,0.0,1.0,0.0
test,-2.4009499549865723,-4.592235565185547,0.0,0.0,0.0,0.0,1.0
test,0.7807559967041016,-2.1448543071746826,1.0,0.0,0.0,0.0,0.0
test,1.3023852109909058,0.596948504447937,0.0,1.0,0.0,0.0,0.0
test,3.591961622238159,-3.4939417839050293,0.0,0.0,1.0,0.0,0.0
test,5.419672966003418,-1.8530141115188599,0.0,0.0,0.0,1.0,0.0
test,-0.9127063155174255,3.010960102081299,0.0,0.0,0.0,0.0,1.0
test,0.6583743691444397,-0.7813087701797485,1.0,0.0,0.0,0.0,0.0
test,-0.5499415397644043,-1.530679702758789,0.0,1.0,0.0,0.0,0.0
test,-0.8225567936897278,0.5655656456947327,0.0,0.0,1.0,0.0,0.0
test,3.2523562908172607,-4.966639518737793,0.0,0.0,0.0,1.0,0.0
test,4.156006336212158,-5.599574565887451,0.0,0.0,0.0,0.0,1.0
test,1.5860005617141724,-2.3880152702331543,1.0,0.0,0.0,0.0,0.0
test,0.7740055322647095,-3.281765937805176,0.0,1.0,0.0,0.0,0.0
test,-0.6648236513137817,-3.530028820037842,0.0,0.0,1.0,0.0,0.0
test,0.18765561282634735,-5.194946765899658,0.0,0.0,0.0,1.0,0.0
test,-2.333911895751953,-4.671281337738037,0.0,0.0,0.0,0.0,1.0
test,2.4082415103912354,-1.1269683837890625,1.0,0.0,0.0,0.0,0.0
test,0.5381854176521301,0.38436371088027954,0.0,1.0,0.0,0.0,0.0
test,-0.6888227462768555,0.710175096988678,0.0,0.0,1.0,0.0,0.0
test,-1.105017900466919,-4.479165077209473,0.0,0.0,0.0,1.0,0.0
test,-2.230142593383789,1.9915655851364136,0.0,0.0,0.0,0.0,1.0
test,2.4049880504608154,-1.115665078163147,1.0,0.0,0.0,0.0,0.0
test,2.9645283222198486,-2.6990668773651123,0.0,1.0,0.0,0.0,0.0
test,-1.4857189655303955,-0.7598747611045837,0.0,0.0,1.0,0.0,0.0
test,-2.4810240268707275,-2.16031551361084,0.0,0.0,0.0,1.0,0.0
test,-1.064236044883728,-5.722320079803467,0.0,0.0,0.0,0.0,1.0
test,2.3209588527679443,-0.9143551588058472,1.0,0.0,0.0,0.0,0.0
test,2.0858492851257324,0.4968528151512146,0.0,1.0,0.0,0.0,0.0
test,-1.5028903484344482,-0.8446254134178162,0.0,0.0,1.0,0.0,0.0
test,3.6876847743988037,1.9146780967712402,0.0,0.0,0.0,1.0,0.0
test,-3.5543410778045654,-1.386915922164917,0.0,0.0,0.0,0.0,1.0
test,0.78267502784729,-2.1465582847595215,1.0,0.0,0.0,0.0,0.0
test,-0.5326040387153625,-1.692062497138977,0.0,1.0,0.0,0.0,0.0
test,-1.3876765966415405,-0.41187238693237305,0.0,0.0,1.0,0.0,0.0
test,1.9317946434020996,2.5724337100982666,0.0,0.0,0.0,1.0,0.0
test,0.11079071462154388,-6.216436386108398,0.0,0.0,0.0,0.0,1.0
test,0.8712126612663269,-2.2164647579193115,1.0,0.0,0.0,0.0,0.0
test,-0.5297136902809143,-1.7108843326568604,0.0,1.0,0.0,0.0,0.0
test,2.7943124771118164,1.2818437814712524,0.0,0.0,1.0,0.0,0.0
test,-0.015513256192207336,-5.12148904800415,0.0,0.0,0.0,1.0,0.0
test,-3.482689619064331,-0.5544098019599915,0.0,0.0,0.0,0.0,1.0
test,1.1896930932998657,-2.364603042602539,1.0,0.0,0.0,0.0,0.0
test,-0.5489036440849304,-1.2503734827041626,0.0,1.0,0.0,0.0,0.0
test,3.912843942642212,-3.104647397994995,0.0,0.0,1.0,0.0,0.0
test,1.6800705194473267,2.5952107906341553,0.0,0.0,0.0,1.0,0.0
test,-2.915201187133789,1.0481042861938477,0.0,0.0,0.0,0.0,1.0
test,0.7833102941513062,-0.6487075090408325,1.0,0.0,0.0,0.0,0.0
test,-0.4783251881599426,-1.9441112279891968,0.0,1.0,0.0,0.0,0.0
test,-0.691356360912323,-3.503434658050537,0.0,0.0,1.0,0.0,0.0
test,2.137549877166748,-5.337618350982666,0.0,0.0,0.0,1.0,0.0
test,0.6403782963752747,3.5368142127990723,0.0,0.0,0.0,0.0,1.0
test,0.9460062980651855,-0.5316811203956604,1.0,0.0,0.0,0.0,0.0
test,-0.5534001588821411,-1.3361819982528687,0.0,1.0,0.0,0.0,0.0
test,2.9122767448425293,-4.014972686767578,0.0,0.0,1.0,0.0,0.0
test,5.225586414337158,-2.706369638442993,0.0,0.0,0.0,1.0,0.0
test,5.736108779907227,-3.965390920639038,0.0,0.0,0.0,0.0,1.0
test,2.3664302825927734,-1.7879881858825684,1.0,0.0,0.0,0.0,0.0
test,2.96931529045105,-0.10236991941928864,0.0,1.0,0.0,0.0,0.0
test,4.394001483917236,-1.9521760940551758,0.0,0.0,1.0,0.0,0.0
test,5.144837379455566,-2.9197518825531006,0.0,0.0,0.0,1.0,0.0
test,0.9086637496948242,-6.368995189666748,0.0,0.0,0.0,0.0,1.0
test,2.0644471645355225,-2.183462381362915,1.0,0.0,0.0,0.0,0.0
test,0.3376896381378174,-3.0629756450653076,0.0,1.0,0.0,0.0,0.0
test,-1.5425032377243042,-1.6642946004867554,0.0,0.0,1.0,0.0,0.0
test,3.1822314262390137,2.205456018447876,0.0,0.0,0.0,1.0,0.0
test,-3.4944956302642822,-2.1692709922790527,0.0,0.0,0.0,0.0,1.0
test,0.4522548019886017,-1.2831439971923828,1.0,0.0,0.0,0.0,0.0
test,-0.31783875823020935,-2.3413748741149902,0.0,1.0,0.0,0.0,0.0
test,1.1206743717193604,-4.380260944366455,0.0,0.0,1.0,0.0,0.0
test,3.7020926475524902,-4.700708389282227,0.0,0.0,0.0,1.0,0.0
test,-3.496845006942749,-0.6417563557624817,0.0,0.0,0.0,0.0,1.0
test,0.4960421621799469,-1.0844639539718628,1.0,0.0,0.0,0.0,0.0
test,0.8321933150291443,-3.301509141921997,0.0,1.0,0.0,0.0,0.0
test,2.127902030944824,-4.319305419921875,0.0,0.0,1.0,0.0,0.0
test,5.4171671867370605,-0.9214409589767456,0.0,0.0,0.0,1.0,0.0
test,2.805530071258545,-6.209433078765869,0.0,0.0,0.0,0.0,1.0
test,1.5365535020828247,-2.393773317337036,1.0,0.0,0.0,0.0,0.0
test,-0.01774258352816105,-2.761178970336914,0.0,1.0,0.0,0.0,0.0
test,4.078895092010498,-2.8352742195129395,0.0,0.0,1.0,0.0,0.0
test,-0.9113506078720093,1.8338909149169922,0.0,0.0,0.0,1.0,0.0
test,1.803815245628357,3.5892410278320312,0.0,0.0,0.0,0.0,1.0
test,0.510539174079895,-1.7522776126861572,1.0,0.0,0.0,0.0,0.0
test,-0.49704527854919434,-1.8732528686523438,0.0,1.0,0.0,0.0,0.0
test,3.3041772842407227,-3.752880096435547,0.0,0.0,1.0,0.0,0.0
test,0.5439696311950684,2.499133348464966,0.0,0.0,0.0,1.0,0.0
test,3.554941177368164,3.1353936195373535,0.0,0.0,0.0,0.0,1.0
test,2.4132657051086426,-1.6503300666809082,1.0,0.0,0.0,0.0,0.0
test,0.04634037986397743,-2.8268790245056152,0.0,1.0,0.0,0.0,0.0
test,-1.5471878051757812,-1.6051347255706787,0.0,0.0,1.0,0.0,0.0
test,2.5078940391540527,2.4584615230560303,0.0,0.0,0.0,1.0,0.0
test,-3.2212870121002197,0.3964463472366333,0.0,0.0,0.0,0.0,1.0
test,1.6010847091674805,-0.4100682735443115,1.0,0.0,0.0,0.0,0.0
test,-0.5509411096572876,-1.2811386585235596,0.0,1.0,0.0,0.0,0.0
test,4.44101619720459,-1.56453537940979,0.0,0.0,1.0,0.0,0.0
test,2.3745510578155518,-5.2885613441467285,0.0,0.0,0.0,1.0,0.0
test,2.4777719974517822,-6.290225982666016,0.0,0.0,0.0,0.0,1.0
test,1.3619393110275269,-2.394404411315918,1.0,0.0,0.0,0.0,0.0
test,2.9321746826171875,-0.05991734564304352,0.0,1.0,0.0,0.0,0.0
test,-1.1855055093765259,0.043278925120830536,0.0,0.0,1.0,0.0,0.0
test,4.143165111541748,1.5556254386901855,0.0,0.0,0.0,1.0,0.0
test,-3.510935068130493,-2.0554049015045166,0.0,0.0,0.0,0.0,1.0
test,1.8069404363632202,-2.3303661346435547,1.0,0.0,0.0,0.0,0.0
test,-0.4443739652633667,-0.743833601474762,0.0,1.0,0.0,0.0,0.0
test,-0.7850706577301025,-3.4038798809051514,0.0,0.0,1.0,0.0,0.0
test,0.12722894549369812,-5.1743903160095215,0.0,0.0,0.0,1.0,0.0
test,-3.4886248111724854,-2.205974578857422,0.0,0.0,0.0,0.0,1.0
test,1.2498575448989868,-2.3785598278045654,1.0,0.0,0.0,0.0,0.0
test,-0.25228607654571533,-2.4548072814941406,0.0,1.0,0.0,0.0,0.0
test,-1.5058835744857788,-1.935006022453308,0.0,0.0,1.0,0.0,0.0
test,-0.7382291555404663,1.9533075094223022,0.0,0.0,0.0,1.0,0.0
test,-1.3511050939559937,2.7467427253723145,0.0,0.0,0.0,0.0,1.0
test,2.0454561710357666,-2.198056936264038,1.0,0.0,0.0,0.0,0.0
test,3.4246578216552734,-1.1089228391647339,0.0,1.0,0.0,0.0,0.0
test,-0.6475702524185181,0.751142144203186,0.0,0.0,1.0,0.0,0.0
test,-0.025295695289969444,2.321807622909546,0.0,0.0,0.0,1.0,0.0
test,2.661376476287842,3.4520347118377686,0.0,0.0,0.0,0.0,1.0
test,0.7615280747413635,-0.6685433387756348,1.0,0.0,0.0,0.0,0.0
test,2.867250680923462,0.008870496414601803,0.0,1.0,0.0,0.0,0.0
test,2.53922176361084,-4.191494941711426,0.0,0.0,1.0,0.0,0.0
test,-1.3292595148086548,1.4830398559570312,0.0,0.0,0.0,1.0,0.0
test,6.416083335876465,-1.9408347606658936,0.0,0.0,0.0,0.0,1.0
test,0.6665480136871338,-2.024815082550049,1.0,0.0,0.0,0.0,0.0
test,2.3177404403686523,0.4019339978694916,0.0,1.0,0.0,0.0,0.0
test,4.139773368835449,-0.07818599790334702,0.0,0.0,1.0,0.0,0.0
test,2.2673587799072266,-5.312602996826172,0.0,0.0,0.0,1.0,0.0
test,-3.2562434673309326,-3.09856915473938,0.0,0.0,0.0,0.0,1.0
test,2.1132962703704834,-2.1423897743225098,1.0,0.0,0.0,0.0,0.0
test,2.7005879878997803,0.1593666672706604,0.0,1.0,0.0,0.0,0.0
test,-0.573844313621521,-3.616394281387329,0.0,0.0,1.0,0.0,0.0
test,5.153954982757568,0.10156988352537155,0.0,0.0,0.0,1.0,0.0
test,-3.5055556297302246,-2.094759464263916,0.0,0.0,0.0,0.0,1.0
test,2.2941689491271973,-0.8687537908554077,1.0,0.0,0.0,0.0,0.0
test,1.7825489044189453,0.5735061168670654,0.0,1.0,0.0,0.0,0.0
test,4.169029235839844,-2.6561622619628906,0.0,0.0,1.0,0.0,0.0
test,-2.505470037460327,-2.021352767944336,0.0,0.0,0.0,1.0,0.0
test,1.6166571378707886,-6.394988536834717,0.0,0.0,0.0,0.0,1.0
test,2.21289324760437,-2.039266347885132,1.0,0.0,0.0,0.0,0.0
test,-0.09807837009429932,-0.1263352632522583,0.0,1.0,0.0,0.0,0.0
test,1.6916571855545044,1.5919822454452515,0.0,0.0,1.0,0.0,0.0
test,5.313012599945068,-2.419424295425415,0.0,0.0,0.0,1.0,0.0
test,-1.6312317848205566,2.543255567550659,0.0,0.0,0.0,0.0,1.0
test,2.3210549354553223,-0.9145291447639465,1.0,0.0,0.0,0.0,0.0
test,3.1243362426757812,-2.4851131439208984,0.0,1.0,0.0,0.0,0.0
test,1.432257056236267,-4.397883892059326,0.0,0.0,1.0,0.0,0.0
test,5.244630813598633,-0.1458265334367752,0.0,0.0,0.0,1.0,0.0
test,-1.3916511535644531,-5.514920234680176,0.0,0.0,0.0,0.0,1.0
test,2.2725670337677,-1.960233449935913,1.0,0.0,0.0,0.0,0.0
test,1.923646092414856,-3.3399531841278076,0.0,1.0,0.0,0.0,0.0
test,4.368680477142334,-0.7227292656898499,0.0,0.0,1.0,0.0,0.0
test,3.9094998836517334,1.7531856298446655,0.0,0.0,0.0,1.0,0.0
test,-3.444112539291382,-0.3537618815898895,0.0,0.0,0.0,0.0,1.0
test,1.7887930870056152,-0.4586319327354431,1.0,0.0,0.0,0.0,0.0
test,-0.3360500633716583,-2.3065149784088135,0.0,1.0,0.0,0.0,0.0
test,-1.369114875793457,-0.36007171869277954,0.0,0.0,1.0,0.0,0.0
test,-0.9783413410186768,-4.579781532287598,0.0,0.0,0.0,1.0,0.0
test,-1.5875664949417114,-5.372786998748779,0.0,0.0,0.0,0.0,1.0
test,2.4358572959899902,-1.5374970436096191,1.0,0.0,0.0,0.0,0.0
test,3.220427989959717,-0.4758768379688263,0.0,1.0,0.0,0.0,0.0
test,2.8630216121673584,1.246145248413086,0.0,0.0,1.0,0.0,0.0
test,4.253060817718506,-4.247199535369873,0.0,0.0,0.0,1.0,0.0
test,4.498668670654297,2.561765193939209,0.0,0.0,0.0,0.0,1.0
test,0.5287379622459412,-0.998817503452301,1.0,0.0,0.0,0.0,0.0
test,2.522353172302246,0.2875248193740845,0.0,1.0,0.0,0.0,0.0
test,4.324979782104492,-0.5556308031082153,0.0,0.0,1.0,0.0,0.0
test,0.34769612550735474,-5.244276523590088,0.0,0.0,0.0,1.0,0.0
test,5.181418418884277,-4.721167087554932,0.0,0.0,0.0,0.0,1.0
test,1.9296443462371826,-0.5228445529937744,1.0,0.0,0.0,0.0,0.0
test,2.50811505317688,0.29653626680374146,0.0,1.0,0.0,0.0,0.0
test,-0.22268375754356384,-3.891239643096924,0.0,0.0,1.0,0.0,0.0
test,-0.9021051526069641,-4.636441230773926,0.0,0.0,0.0,1.0,0.0
test,6.432045936584473,-1.7664570808410645,0.0,0.0,0.0,0.0,1.0
test,1.5166302919387817,-0.4004364311695099,1.0,0.0,0.0,0.0,0.0
test,-0.512593686580658,-0.9913504123687744,0.0,1.0,0.0,0.0,0.0
test,1.4376212358474731,1.6020753383636475,0.0,0.0,1.0,0.0,0.0
test,-2.5027270317077637,-2.038494348526001,0.0,0.0,0.0,1.0,0.0
test,-2.9162042140960693,-3.8421430587768555,0.0,0.0,0.0,0.0,1.0
test,2.4248995780944824,-1.6005566120147705,1.0,0.0,0.0,0.0,0.0
test,3.445129156112671,-1.4434202909469604,0.0,1.0,0.0,0.0,0.0
test,-1.4142194986343384,-2.3040952682495117,0.0,0.0,1.0,0.0,0.0
test,-1.8071643114089966,-3.7258355617523193,0.0,0.0,0.0,1.0,0.0
test,1.9631092548370361,-6.371065139770508,0.0,0.0,0.0,0.0,1.0
test,2.254265308380127,-0.8095805644989014,1.0,0.0,0.0,0.0,0.0
test,1.7993805408477783,-3.3663835525512695,0.0,1.0,0.0,0.0,0.0
test,3.483222246170044,-3.5997965335845947,0.0,0.0,1.0,0.0,0.0
test,1.1377590894699097,-5.386046886444092,0.0,0.0,0.0,1.0,0.0
test,1.7468184232711792,3.5930073261260986,0.0,0.0,0.0,0.0,1.0
test,2.360713243484497,-0.9946106672286987,1.0,0.0,0.0,0.0,0.0
test,3.4380879402160645,-1.5716331005096436,0.0,1.0,0.0,0.0,0.0
test,-1.4188227653503418,-0.5063908696174622,0.0,0.0,1.0,0.0,0.0
test,-0.5416491031646729,-4.869319438934326,0.0,0.0,0.0,1.0,0.0
test,1.654050588607788,-6.393568992614746,0.0,0.0,0.0,0.0,1.0
test,2.420509099960327,-1.1751054525375366,1.0,0.0,0.0,0.0,0.0
test,2.9793879985809326,-2.6815176010131836,0.0,1.0,0.0,0.0,0.0
test,-1.519447922706604,-0.9416107535362244,0.0,0.0,1.0,0.0,0.0
test,5.153481483459473,-2.8985683917999268,0.0,0.0,0.0,1.0,0.0
test,4.036484718322754,-5.674309730529785,0.0,0.0,0.0,0.0,1.0
test,2.4001855850219727,-1.6960008144378662,1.0,0.0,0.0,0.0,0.0
test,2.9529707431793213,-0.0833892971277237,0.0,1.0,0.0,0.0,0.0
test,0.06375909596681595,-4.060691833496094,0.0,0.0,1.0,0.0,0.0
test,4.193653583526611,1.5087093114852905,0.0,0.0,0.0,1.0,0.0
test,-2.317105531692505,-4.690587043762207,0.0,0.0,0.0,0.0,1.0
test,1.7296961545944214,-2.3567235469818115,1.0,0.0,0.0,0.0,0.0
test,-0.08903877437114716,-2.6803879737854004,0.0,1.0,0.0,0.0,0.0
test,-1.537221908569336,-1.0777671337127686,0.0,0.0,1.0,0.0,0.0
test,-0.03459934890270233,2.318114995956421,0.0,0.0,0.0,1.0,0.0
test,0.726520299911499,-6.3459296226501465,0.0,0.0,0.0,0.0,1.0
test,0.5657020211219788,-0.9228381514549255,1.0,0.0,0.0,0.0,0.0
test,-0.5486595630645752,-1.548717737197876,0.0,1.0,0.0,0.0,0.0
test,1.5295870304107666,1.6009114980697632,0.0,0.0,1.0,0.0,0.0
test,1.4719685316085815,2.601999521255493,0.0,0.0,0.0,1.0,0.0
test,5.0970234870910645,-4.813678741455078,0.0,0.0,0.0,0.0,1.0
test,2.33862042427063,-1.8480231761932373,1.0,0.0,0.0,0.0,0.0
test,2.4606213569641113,-3.121232509613037,0.0,1.0,0.0,0.0,0.0
test,3.8029937744140625,0.4575955867767334,0.0,0.0,1.0,0.0,0.0
test,5.419925212860107,-0.9450201392173767,0.0,0.0,0.0,1.0,0.0
test,3.245830774307251,3.2667765617370605,0.0,0.0,0.0,0.0,1.0
test,1.0520801544189453,-0.4786178767681122,1.0,0.0,0.0,0.0,0.0
test,1.6406675577163696,0.5925551056861877,0.0,1.0,0.0,0.0,0.0
test,4.425755500793457,-1.7428090572357178,0.0,0.0,1.0,0.0,0.0
test,5.300295352935791,-2.4664111137390137,0.0,0.0,0.0,1.0,0.0
test,1.9920780658721924,-6.3679656982421875,0.0,0.0,0.0,0.0,1.0
test,0.4877154529094696,-1.6849110126495361,1.0,0.0,0.0,0.0,0.0
test,3.4456233978271484,-1.388227105140686,0.0,1.0,0.0,0.0,0.0
test,-1.5525376796722412,-1.2935625314712524,0.0,0.0,1.0,0.0,0.0
test,-2.1604959964752197,0.3329046368598938,0.0,0.0,0.0,1.0,0.0
test,6.297912120819092,-0.1914629191160202,0.0,0.0,0.0,0.0,1.0
test,1.7351653575897217,-0.44074153900146484,1.0,0.0,0.0,0.0,0.0
test,1.2007310390472412,-3.382861375808716,0.0,1.0,0.0,0.0,0.0
test,-0.011917326599359512,1.2242047786712646,0.0,0.0,1.0,0.0,0.0
test,0.44341030716896057,-5.270318984985352,0.0,0.0,0.0,1.0,0.0
test,5.575650215148926,-4.216259479522705,0.0,0.0,0.0,0.0,1.0
test,1.424975037574768,-2.397700309753418,1.0,0.0,0.0,0.0,0.0
test,0.6316518187522888,0.42894458770751953,0.0,1.0,0.0,0.0,0.0
test,1.6614785194396973,-4.390140056610107,0.0,0.0,1.0,0.0,0.0
test,2.4790985584259033,-5.262105464935303,0.0,0.0,0.0,1.0,0.0
test,-2.281705856323242,-4.730607032775879,0.0,0.0,0.0,0.0,1.0
test,0.6779561042785645,-0.7570934295654297,1.0,0.0,0.0,0.0,0.0
test,3.4353713989257812,-1.1954373121261597,0.0,1.0,0.0,0.0,0.0
test,-0.8062623143196106,0.5842326283454895,0.0,0.0,1.0,0.0,0.0
test,-1.8480201959609985,-3.6676621437072754,0.0,0.0,0.0,1.0,0.0
test,4.772291660308838,2.3348379135131836,0.0,0.0,0.0,0.0,1.0
test,2.3238861560821533,-1.876135230064392,1.0,0.0,0.0,0.0,0.0
test,0.9195120930671692,-3.3274688720703125,0.0,1.0,0.0,0.0,0.0
test,-0.8249474763870239,0.5628005266189575,0.0,0.0,1.0,0.0,0.0
test,4.245116710662842,-4.2550048828125,0.0,0.0,0.0,1.0,0.0
test,-2.2123472690582275,-4.806591033935547,0.0,0.0,0.0,0.0,1.0
test,0.9490729570388794,-2.2659082412719727,1.0,0.0,0.0,0.0,0.0
test,-0.22340621054172516,-2.499849319458008,0.0,1.0,0.0,0.0,0.0
test,-0.7604649662971497,0.6350814700126648,0.0,0.0,1.0,0.0,0.0
test,-1.9129819869995117,-3.570380687713623,0.0,0.0,0.0,1.0,0.0
test,3.602149248123169,3.1131277084350586,0.0,0.0,0.0,0.0,1.0
test,2.39504337310791,-1.0838340520858765,1.0,0.0,0.0,0.0,0.0
test,0.4198107421398163,-3.1147890090942383,0.0,1.0,0.0,0.0,0.0
test,-1.0216948986053467,0.3086102306842804,0.0,0.0,1.0,0.0,0.0
test,1.494712233543396,-5.397613048553467,0.0,0.0,0.0,1.0,0.0
test,6.23647403717041,-2.8289883136749268,0.0,0.0,0.0,0.0,1.0
test,2.444836139678955,-1.357655644416809,1.0,0.0,0.0,0.0,0.0
test,1.1559853553771973,-3.376826763153076,0.0,1.0,0.0,0.0,0.0
test,-1.110392689704895,0.17264708876609802,0.0,0.0,1.0,0.0,0.0
test,0.42225104570388794,2.4689531326293945,0.0,0.0,0.0,1.0,0.0
test,-2.2909457683563232,-4.72024393081665,0.0,0.0,0.0,0.0,1.0
test,1.788001298904419,-0.4583430588245392,1.0,0.0,0.0,0.0,0.0
test,2.388286590576172,-3.1618385314941406,0.0,1.0,0.0,0.0,0.0
test,1.008893370628357,1.570123553276062,0.0,0.0,1.0,0.0,0.0
test,-0.767106831073761,-4.730138778686523,0.0,0.0,0.0,1.0,0.0
test,5.816775798797607,-3.8255114555358887,0.0,0.0,0.0,0.0,1.0
