split,feature_0,feature_1,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8
val,0.4537084996700287,1.3550043106079102,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.6632280349731445,1.595234751701355,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-3.8122498989105225,2.144165515899658,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,4.235337734222412,0.7365018725395203,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,4.937869071960449,-2.4857940673828125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-6.362658977508545,3.740541934967041,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-2.3421030044555664,-8.130156517028809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-7.271329879760742,-6.410237789154053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.1723560094833374,-1.1653966903686523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-2.2825369834899902,0.8504442572593689,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-3.122361183166504,1.39451003074646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,3.2324106693267822,-1.2574104070663452,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,0.23799945414066315,-5.230140209197998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,2.5623254776000977,4.754873752593994,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,0.43534737825393677,-7.225063800811768,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,4.669268608093262,5.661645889282227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,0.60206139087677,-9.22226333618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.6393687725067139,-0.4798905551433563,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.004426802042871714,-2.198885917663574,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.5693911910057068,-3.309133291244507,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,3.3007047176361084,0.2909223735332489,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,0.1816236525774002,-5.240026473999023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-0.8383030891418457,-6.307486534118652,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,2.4971325397491455,5.94038200378418,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,1.1310088634490967,7.488028526306152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,5.372641563415527,6.374092102050781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,0.3210478723049164,-0.5329738855361938,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.9991959929466248,0.8154829740524292,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-3.286146879196167,-1.7494242191314697,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.995215654373169,-3.954575777053833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-2.361675262451172,4.388968467712402,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-5.758700847625732,2.8425331115722656,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,3.336247682571411,-6.061767578125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-8.300126075744629,-2.66286563873291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,1.4072304964065552,8.450496673583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.6478818655014038,-0.20122994482517242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.3298375606536865,-1.4016826152801514,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-3.364745616912842,0.9746077060699463,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.222081422805786,-1.2988333702087402,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,4.336867332458496,-0.6148519515991211,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-4.193562984466553,-5.154952049255371,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-7.400230407714844,-2.1775007247924805,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.4990074634552,-7.78729248046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-5.8998565673828125,7.0026397705078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.640049159526825,-1.3102272748947144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.651282548904419,-0.20900939404964447,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-3.30881404876709,1.0865195989608765,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.2353813648223877,-3.0766091346740723,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-3.54323673248291,-4.3909406661987305,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,0.14264124631881714,-6.25722074508667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-7.633222579956055,-0.8473178148269653,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,7.28378438949585,-1.3072949647903442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,7.549376487731934,3.3919837474823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.2609761953353882,0.4842831492424011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.365403890609741,-1.3450130224227905,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.5947582721710205,2.6890954971313477,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.35651805996894836,3.6786112785339355,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,0.7739070653915405,4.481494426727295,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.8814850449562073,5.685357570648193,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,6.325996398925781,-0.8411120176315308,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,7.330991268157959,0.18192562460899353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-6.784251689910889,6.278924465179443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.6775487065315247,-1.3100416660308838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.800889253616333,-1.9487063884735107,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.3737553060054779,-3.2972183227539062,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.2308835983276367,-1.2636547088623047,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-3.859320878982544,3.5269887447357178,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-5.546188831329346,-3.783796787261963,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,2.0390467643737793,6.150970458984375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,7.220701217651367,-1.7215057611465454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-8.214457511901855,-5.192659854888916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.2809711992740631,0.04479555785655975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.159855842590332,-1.1532163619995117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.3941060304641724,-2.5025532245635986,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.587202548980713,-2.6545872688293457,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,3.296342372894287,-3.3756086826324463,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,3.5704267024993896,3.9506027698516846,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,4.802673816680908,-4.695108413696289,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,1.915386438369751,7.2658915519714355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-6.15809440612793,-7.430947303771973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.5344717502593994,-0.7841430306434631,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.437087059020996,-1.215897560119629,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.8649930953979492,2.276782989501953,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.4062960147857666,3.285360097885132,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,2.2385952472686768,-4.388772964477539,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,4.966208457946777,1.79085373878479,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,1.0947037935256958,-7.088416576385498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,2.334463357925415,-7.731237888336182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-0.7719523906707764,8.688902854919434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.2817911207675934,0.04262963682413101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.8867194056510925,1.6760742664337158,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.3353249728679657,-3.2933647632598877,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.0253300666809082,-4.293035507202148,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,2.7063145637512207,-4.012928485870361,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,3.4391143321990967,-4.697535991668701,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,3.108539342880249,-6.2132391929626465,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-5.697952747344971,-6.5197529792785645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-8.385441780090332,4.296464920043945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.12498348206281662,0.538382351398468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.5461819171905518,0.33704209327697754,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.243962049484253,-1.086649775505066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.24933281540870667,3.586376190185547,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,4.342423915863037,-0.5033124089241028,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-5.651235580444336,-3.6308860778808594,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,3.0139832496643066,-6.2724528312683105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-8.008613586425781,-3.457932949066162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-3.4406509399414062,8.24734878540039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.7701752781867981,-1.303533673286438,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.511979818344116,-1.0501567125320435,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.0581177473068237,-2.773890256881714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.3344156742095947,-0.0041624088771641254,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,2.3394551277160645,-4.315334796905518,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-6.02229118347168,2.3692004680633545,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,2.2133045196533203,6.075554370880127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,1.522191047668457,-8.008688926696777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-9.588942527770996,-1.389269232749939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.6363601684570312,-0.49653246998786926,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.06751979142427444,1.5550528764724731,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.1656010150909424,-2.6956100463867188,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.978121757507324,1.3656189441680908,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-4.648704528808594,2.696526527404785,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,3.0059926509857178,-5.064852237701416,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.5434845685958862,6.632915019989014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,4.1260786056518555,6.104681491851807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-6.695695400238037,-6.980862617492676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.1181892156600952,-1.1959800720214844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.641674280166626,-0.5306769013404846,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.1804733276367188,-2.8928449153900146,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.2280995845794678,3.648242473602295,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,2.814591884613037,3.291053533554077,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-4.636471271514893,-4.797942161560059,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-5.014578819274902,5.1654462814331055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,2.980581760406494,6.816451072692871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,7.797491550445557,-3.4046437740325928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.1042192280292511,0.34185129404067993,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.0948476791381836,1.6404520273208618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.2829248905181885,0.3023371696472168,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.487925410270691,3.067960500717163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,1.8449105024337769,-4.641164779663086,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,5.288449287414551,0.5197840332984924,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-3.2315433025360107,6.197787761688232,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,2.5304558277130127,7.028627872467041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,6.4198503494262695,5.254096508026123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.22687940299510956,-0.7839418649673462,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.313260555267334,0.050890736281871796,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.3718507289886475,-2.7696871757507324,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.075176477432251,-1.7575126886367798,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-5.648342609405518,-0.5449416041374207,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,4.5333709716796875,-3.3257389068603516,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,6.343855381011963,-0.1311192363500595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-6.979621887207031,4.587086200714111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,7.400274753570557,-4.3266730308532715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.0260489322245121,0.46805110573768616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.2077254056930542,-1.0414422750473022,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.8749343156814575,-1.924400806427002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.0329686403274536,3.316610336303711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.4979934692382812,-4.9578094482421875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,4.780152797698975,2.233613967895508,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,6.292966842651367,0.5509162545204163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,1.3364614248275757,7.43813943862915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,0.4662666618824005,-9.240346908569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.5858714580535889,-0.6727262735366821,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.217193841934204,-2.229344129562378,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.21666480600833893,2.657651424407959,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-4.383570194244385,1.1350804567337036,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.836146116256714,-4.808942794799805,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,5.166047096252441,1.148715615272522,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,2.503321409225464,-6.557903289794922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,4.356003284454346,5.926773548126221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,8.024282455444336,2.0750505924224854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.4350754022598267,0.3139268159866333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.5132558345794678,1.495618224143982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.2977315187454224,-3.240410804748535,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-4.187685012817383,-2.184358835220337,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-3.2278473377227783,-4.5968756675720215,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,3.952155351638794,-4.155411720275879,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-7.540904521942139,0.942068874835968,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,6.916268825531006,2.2768187522888184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-6.688567638397217,6.366666793823242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-1.5861674547195435,0.05131891369819641,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.07357072085142136,-2.173346519470215,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.5451397895812988,2.4396634101867676,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.937070369720459,-3.594665050506592,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,1.9071109294891357,3.9840316772460938,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-4.498273849487305,4.296238899230957,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-7.561433792114258,-1.4440279006958008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,7.186756610870361,-1.8993110656738281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-8.122929573059082,4.710917949676514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.29253098368644714,-0.6333743929862976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.6539335250854492,-1.8234984874725342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.0375490188598633,-1.635603666305542,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.873805582523346,3.6836254596710205,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,3.217566728591919,2.853872537612915,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
