split,feature_0,feature_1,class_0,class_1
test,-1.7607887983322144,-0.02888251654803753,0.0,1.0
test,-0.3043125867843628,-0.9876331686973572,1.0,0.0
test,-1.7603541612625122,-0.2703576683998108,0.0,1.0
test,0.5231611132621765,0.8117895722389221,1.0,0.0
test,1.755807876586914,-1.4458366632461548,0.0,1.0
test,1.2163764238357544,-0.3420509994029999,1.0,0.0
test,-1.2138835191726685,-1.5238803625106812,0.0,1.0
test,-0.7401258945465088,0.07217685878276825,1.0,0.0
test,2.1121180057525635,0.5463228225708008,0.0,1.0
test,-0.2816479504108429,-1.0017542839050293,1.0,0.0
test,1.6501333713531494,-1.5600972175598145,0.0,1.0
test,1.1391721963882446,0.2827841639518738,1.0,0.0
test,1.9669097661972046,-1.1476154327392578,0.0,1.0
test,0.36043238639831543,-1.1382261514663696,1.0,0.0
test,1.468550205230713,1.4288617372512817,0.0,1.0
test,1.065297245979309,0.41245147585868835,1.0,0.0
test,-1.7375495433807373,0.179519921541214,0.0,1.0
test,-0.14585325121879578,-1.070340871810913,1.0,0.0
test,-0.595697283744812,-1.9649953842163086,0.0,1.0
test,1.0763299465179443,-0.6877562999725342,1.0,0.0
test,-1.018330693244934,-1.703977346420288,0.0,1.0
test,-0.5851801037788391,-0.7170150279998779,1.0,0.0
test,0.7784972786903381,-2.070981979370117,0.0,1.0
test,0.977323055267334,0.524876594543457,1.0,0.0
test,-1.045997977256775,-1.6812951564788818,0.0,1.0
test,0.005430588033050299,-1.119134545326233,1.0,0.0
test,-1.1034560203552246,-1.6314395666122437,0.0,1.0
test,0.10525983572006226,-1.1374719142913818,1.0,0.0
test,0.48532238602638245,-2.130396842956543,0.0,1.0
test,-0.5036141276359558,0.5272495746612549,1.0,0.0
test,0.456942081451416,-2.1337599754333496,0.0,1.0
test,-0.7639015913009644,-0.12069617956876755,1.0,0.0
test,2.0343217849731445,-1.0208053588867188,0.0,1.0
test,-0.3966864049434662,0.6285638213157654,1.0,0.0
test,-1.3185625076293945,-1.4046072959899902,0.0,1.0
test,-0.2429092526435852,-1.0240117311477661,1.0,0.0
test,-1.4440433979034424,-1.2314759492874146,0.0,1.0
test,-0.35020965337753296,-0.9563462734222412,1.0,0.0
test,-1.2782795429229736,1.1607376337051392,0.0,1.0
test,-0.7641661167144775,-0.1354115903377533,1.0,0.0
test,2.171051502227783,0.3586669862270355,0.0,1.0
test,0.8041725158691406,0.6767298579216003,1.0,0.0
test,0.2797028124332428,1.8534915447235107,0.0,1.0
test,-0.7580739259719849,-0.035304684191942215,1.0,0.0
test,-1.5090610980987549,-1.1235421895980835,0.0,1.0
test,0.27236127853393555,-1.14535653591156,1.0,0.0
test,1.4810028076171875,-1.711086392402649,0.0,1.0
test,-0.7253391146659851,-0.42216867208480835,1.0,0.0
test,-0.5405213832855225,1.697166919708252,0.0,1.0
test,1.1304877996444702,-0.5926728844642639,1.0,0.0
test,-0.0638115331530571,1.8314082622528076,0.0,1.0
test,0.6993349194526672,0.7400408983230591,1.0,0.0
test,2.1220109462738037,0.5188977122306824,0.0,1.0
test,0.9618562459945679,-0.8336375951766968,1.0,0.0
test,-1.7047604322433472,-0.6300840973854065,0.0,1.0
test,-0.034425199031829834,-1.108829379081726,1.0,0.0
test,-1.5529073476791382,-1.0407922267913818,0.0,1.0
test,-0.0671921893954277,-1.0990262031555176,1.0,0.0
test,-1.7422282695770264,0.1497659534215927,0.0,1.0
test,-0.35080891847610474,0.6638606190681458,1.0,0.0
test,-1.4077659845352173,0.9936076402664185,0.0,1.0
test,-0.7488091588020325,-0.3209232985973358,1.0,0.0
test,2.218649387359619,-0.40721338987350464,0.0,1.0
test,1.0460920333862305,0.4399692118167877,1.0,0.0
test,2.219736337661743,0.10677360743284225,0.0,1.0
test,0.724187433719635,0.7265883684158325,1.0,0.0
test,2.211195945739746,0.16657878458499908,0.0,1.0
test,0.06283009052276611,0.8389050960540771,1.0,0.0
test,-1.134778380393982,-1.6025891304016113,0.0,1.0
test,0.11464599519968033,0.8466104865074158,1.0,0.0
test,-1.0180995464324951,1.4121114015579224,0.0,1.0
test,0.2500845491886139,0.8538716435432434,1.0,0.0
test,-1.624128818511963,0.5893298387527466,0.0,1.0
test,0.01512929704040289,0.8293274641036987,1.0,0.0
test,1.4557669162750244,1.4387850761413574,0.0,1.0
test,-0.04350808262825012,0.8141821026802063,1.0,0.0
test,-0.8875536322593689,1.5087027549743652,0.0,1.0
test,0.6062960624694824,-1.0748510360717773,1.0,0.0
test,0.7086951732635498,1.7972570657730103,0.0,1.0
test,0.18617954850196838,0.8527432680130005,1.0,0.0
test,0.5177868008613586,1.8339918851852417,0.0,1.0
test,-0.7271754741668701,-0.41569510102272034,1.0,0.0
test,1.621423602104187,1.296189308166504,0.0,1.0
test,-0.6862934231758118,0.2409948706626892,1.0,0.0
test,0.1420348882675171,1.851775884628296,0.0,1.0
test,0.32156988978385925,0.8502870798110962,1.0,0.0
test,-0.9190341830253601,1.4868885278701782,0.0,1.0
test,1.188067078590393,-0.4512220025062561,1.0,0.0
test,-0.4745420813560486,1.7235852479934692,0.0,1.0
test,0.2017030417919159,-1.1454452276229858,1.0,0.0
test,0.5487576127052307,-2.121385097503662,0.0,1.0
test,-0.3886168599128723,0.6350832581520081,1.0,0.0
test,-0.4951879382133484,-2.007662296295166,0.0,1.0
test,-0.13328632712364197,0.7833780646324158,1.0,0.0
test,2.1410837173461914,-0.7541447877883911,0.0,1.0
test,1.2353565692901611,-0.17504145205020905,1.0,0.0
test,-1.4369027614593506,-1.2424476146697998,0.0,1.0
test,1.0643348693847656,0.41387829184532166,1.0,0.0
test,1.154083490371704,-1.9227404594421387,0.0,1.0
test,1.2349843978881836,-0.10620542615652084,1.0,0.0
test,1.9626864194869995,0.862827718257904,0.0,1.0
test,0.8850620985031128,0.6145195960998535,1.0,0.0
test,2.2221388816833496,0.0871441587805748,0.0,1.0
test,-0.07884649187326431,-1.0952423810958862,1.0,0.0
test,-1.52420175075531,-1.096011757850647,0.0,1.0
test,-0.7385391592979431,0.07915613055229187,1.0,0.0
test,0.45382386445999146,-2.1341044902801514,0.0,1.0
test,0.27214521169662476,0.8533124923706055,1.0,0.0
test,0.13721990585327148,-2.1435961723327637,0.0,1.0
test,-0.7397150993347168,-0.36605799198150635,1.0,0.0
test,-0.8014459609985352,-1.8560457229614258,0.0,1.0
test,0.9649274945259094,0.5383279919624329,1.0,0.0
test,2.229274034500122,-0.3071848750114441,0.0,1.0
test,-0.6169131398200989,0.37639009952545166,1.0,0.0
test,-1.757472038269043,-0.31020912528038025,0.0,1.0
test,0.5520759224891663,-1.0946857929229736,1.0,0.0
test,1.1468342542648315,-1.9264684915542603,0.0,1.0
test,1.2338422536849976,-0.08384234458208084,1.0,0.0
test,-1.5605772733688354,-1.0252923965454102,0.0,1.0
test,1.2292671203613281,-0.2599489390850067,1.0,0.0
test,0.21781621873378754,-2.1459453105926514,0.0,1.0
test,1.1005287170410156,0.35617467761039734,1.0,0.0
test,-1.2857708930969238,1.1520072221755981,0.0,1.0
test,-0.07382511347532272,0.8048400282859802,1.0,0.0
test,-0.7059754729270935,1.6183723211288452,0.0,1.0
test,-0.5895447134971619,0.4186359941959381,1.0,0.0
test,2.163106918334961,0.38820362091064453,0.0,1.0
test,-0.7023017406463623,-0.4924466609954834,1.0,0.0
test,-1.7551666498184204,-0.33613499999046326,0.0,1.0
test,0.9553337693214417,0.5484082102775574,1.0,0.0
test,-1.4618568420410156,0.9113469123840332,0.0,1.0
test,-0.5823795795440674,0.4289686977863312,1.0,0.0
test,-0.2376837283372879,-2.089176654815674,0.0,1.0
test,-0.6949095726013184,-0.5118422508239746,1.0,0.0
test,-1.3661959171295166,-1.3433901071548462,0.0,1.0
test,-0.5442925095558167,0.47966617345809937,1.0,0.0
test,1.8373185396194458,1.0519165992736816,0.0,1.0
test,-0.6546775698661804,0.30904507637023926,1.0,0.0
test,0.545732319355011,1.8298100233078003,0.0,1.0
test,0.4473102390766144,-1.123396873474121,1.0,0.0
test,-1.7327722311019897,0.20726117491722107,0.0,1.0
test,0.10662627965211868,-1.1376508474349976,1.0,0.0
test,-1.5321511030197144,-1.0811346769332886,0.0,1.0
origin,0.23577754809429102,-0.14602598446510695,,
