split,feature_0,feature_1,feature_2,class_0,class_1,class_2,class_3,class_4,class_5,class_6
train,2.2654054164886475,3.7284183502197266,4.35816764831543,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,5.9619526863098145,2.496469259262085,-3.4347264766693115,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-3.481135606765747,0.5995137691497803,5.035790920257568,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.897973656654358,2.3535537719726562,-0.06440854072570801,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.338740587234497,0.9212231040000916,-1.739859700202942,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.2420889139175415,4.228304862976074,1.9187597036361694,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-1.947410225868225,0.5027467608451843,-2.4420154094696045,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,2.2806854248046875,6.803678512573242,-1.2488490343093872,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.152374267578125,7.6850385665893555,-0.9123684763908386,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,1.474843978881836,-2.6108360290527344,4.961165428161621,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.8799526691436768,1.8969240188598633,0.07160703837871552,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.8306164741516113,1.9914730787277222,-0.810232400894165,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.463273048400879,2.194185256958008,-1.9804719686508179,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.039088618010282516,3.036538600921631,3.585437297821045,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,1.9334156513214111,-2.195809841156006,-2.5228054523468018,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,0.38700196146965027,7.196860313415527,2.9494340419769287,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-1.7493420839309692,0.3835793435573578,-6.411539554595947,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.7878655195236206,2.541733741760254,0.11127955466508865,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,2.2827870845794678,0.9300682544708252,0.7122704386711121,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,0.5542936325073242,3.062262773513794,-2.999601125717163,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,1.9269455671310425,2.1186015605926514,-4.0563812255859375,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,5.850500583648682,1.5830845832824707,0.5733612775802612,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,5.881317615509033,-1.279630184173584,-0.4379580318927765,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,7.866202354431152,2.986558198928833,0.2613930404186249,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.2131056785583496,1.4125287532806396,-0.8441927433013916,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.2489004135131836,0.5230852961540222,0.11096785962581635,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,3.8860909938812256,2.275677442550659,-0.6978603005409241,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,0.9669286608695984,5.674765586853027,-1.9911245107650757,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-3.460155725479126,4.35132360458374,-0.9831811189651489,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-2.260864019393921,5.268449783325195,-4.155139446258545,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-5.30206823348999,1.8182178735733032,-3.344465494155884,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.0380728244781494,2.024751663208008,-1.1724354028701782,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,2.453763961791992,2.8815808296203613,-1.2284281253814697,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,1.1526728868484497,2.828281879425049,2.7229461669921875,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,3.6393067836761475,-0.5454387664794922,-1.4659464359283447,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-0.9309403896331787,6.432348728179932,-1.8587141036987305,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-1.8370821475982666,-3.0982699394226074,-1.2803930044174194,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,2.1934988498687744,8.521037101745605,2.326547861099243,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,0.6877080202102661,1.4402645826339722,0.520880401134491,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,2.6049869060516357,2.196728467941284,-1.2791414260864258,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-1.2660876512527466,0.4634394645690918,-1.3845611810684204,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,2.076010227203369,3.043726682662964,3.536867141723633,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-1.3253014087677002,-0.16981357336044312,3.652928352355957,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-4.0804338455200195,-0.9419519901275635,-1.4210604429244995,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-4.357338905334473,6.6884331703186035,-0.13823676109313965,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,0.8016654849052429,1.2911770343780518,-0.7425237894058228,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.9738557934761047,3.0479040145874023,-1.946042776107788,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,1.4255828857421875,4.954642295837402,0.6285483837127686,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,0.9219059348106384,5.339829444885254,2.175518035888672,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,0.16876502335071564,-1.6792337894439697,-3.3544931411743164,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,2.484722852706909,-0.8640841841697693,-5.157937526702881,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-2.765101671218872,3.7201039791107178,-5.899965286254883,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.0607304573059082,1.1254481077194214,-0.042231928557157516,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.3570152223110199,3.3586530685424805,-1.6304957866668701,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,2.667678117752075,0.479065477848053,1.6484169960021973,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,1.885178804397583,5.317283630371094,2.0092337131500244,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,4.533685684204102,-0.39183124899864197,-2.590763807296753,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-2.3823795318603516,5.783043384552002,-3.5698466300964355,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,4.790109157562256,-3.610564947128296,-1.3826199769973755,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.33744513988494873,1.730452299118042,0.5257229208946228,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.760047197341919,2.422675371170044,-1.9759652614593506,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,3.5198192596435547,1.3839224576950073,-1.5221549272537231,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-3.055569648742676,2.083268880844116,0.08193954825401306,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,0.4292657673358917,7.064829349517822,-0.5954549312591553,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-2.4296624660491943,-0.4418102502822876,4.081902980804443,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,5.585786819458008,-2.0766053199768066,2.960040807723999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.8543635606765747,2.0076277256011963,-0.5632696151733398,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.2645175457000732,0.8350714445114136,0.6026234030723572,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.6588214635848999,4.116208076477051,1.3757293224334717,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5740339756011963,-0.7101877927780151,-1.5078450441360474,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.9079550504684448,1.5450745820999146,-4.255104064941406,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-4.5559563636779785,-0.26461324095726013,0.2807134687900543,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,2.760470151901245,8.698683738708496,1.3124085664749146,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.7598888874053955,2.11220121383667,0.3851222097873688,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.21215663850307465,2.0196914672851562,1.681287407875061,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,1.6416497230529785,4.738829612731934,-1.4379209280014038,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,2.576749801635742,2.7928318977355957,-3.7641379833221436,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.3475814461708069,5.916423320770264,2.7933571338653564,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,4.105424880981445,-2.0830981731414795,2.7152063846588135,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,4.713336944580078,-2.157278299331665,3.885566234588623,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.2201684713363647,3.041071653366089,-0.4005349278450012,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.8979246616363525,3.734895706176758,-0.8344245553016663,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,3.801753520965576,1.2933413982391357,0.16856491565704346,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.6145809888839722,5.0528788566589355,0.7258960008621216,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.6143434047698975,-0.1193031445145607,-2.908278226852417,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,0.9504848122596741,5.004711627960205,-5.435480117797852,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,0.648997962474823,9.060171127319336,-0.9445012807846069,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.7948304414749146,1.1319998502731323,-0.0140593396499753,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.0473990440368652,3.154278516769409,1.110749363899231,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,2.4562864303588867,4.5669074058532715,-0.9816051125526428,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.839322805404663,3.343026876449585,0.291629821062088,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,4.473745822906494,3.9578733444213867,2.828735113143921,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,2.3596227169036865,2.842766046524048,-5.963230609893799,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,2.7237236499786377,-1.7717080116271973,5.364299297332764,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.8317616581916809,2.389293670654297,-1.1350902318954468,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.2748827040195465,0.5710113048553467,-0.5967527031898499,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,2.85536789894104,4.394649982452393,0.11085564643144608,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,3.2092278003692627,4.498358249664307,-2.4431076049804688,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,0.4092850089073181,3.743433713912964,-4.876660346984863,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,0.12958163022994995,8.052358627319336,-0.068475641310215,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,6.721119403839111,-0.33899229764938354,-3.270164966583252,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.5562625527381897,1.2146790027618408,0.060338884592056274,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.905536651611328,1.7752578258514404,-0.08569829165935516,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,0.7298317551612854,3.9581637382507324,-2.5335819721221924,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,3.2503395080566406,2.352515697479248,-3.4342458248138428,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,3.7287299633026123,2.172400951385498,3.9654929637908936,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,3.4096438884735107,0.3446621298789978,4.9928879737854,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,0.24626010656356812,5.430373668670654,-6.303692817687988,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.3632715940475464,2.494180917739868,-0.9984192848205566,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.9764645099639893,1.9475815296173096,-0.74506014585495,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,1.445649266242981,2.445908308029175,-3.1181094646453857,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,4.447748184204102,4.011104106903076,-0.388510137796402,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,5.582477569580078,3.175172805786133,1.3248742818832397,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,6.1234941482543945,3.0088729858398438,2.695434808731079,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-5.539420127868652,2.8572998046875,2.370541572570801,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.8367867469787598,2.280865430831909,-0.578765332698822,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.47104862332344055,0.16814707219600677,-0.3286702334880829,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,3.2115864753723145,3.7227783203125,0.9198484420776367,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.2953988313674927,5.576945781707764,1.383958101272583,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-4.0610785484313965,2.0856966972351074,-0.002866493072360754,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.1516876220703125,0.5527353882789612,-4.289086818695068,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,3.594813346862793,-3.337311029434204,3.3230578899383545,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.8309592008590698,1.1994609832763672,0.2236892133951187,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.383126735687256,3.2969019412994385,0.5195696949958801,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,3.5721704959869385,0.6824650168418884,-0.049503788352012634,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.9343317151069641,-0.12887921929359436,2.557478189468384,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,4.838966369628906,0.6240527629852295,2.5689029693603516,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5542924404144287,4.9572248458862305,-2.959824800491333,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,1.3744008541107178,-2.8333141803741455,4.757730007171631,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.38486599922180176,1.8997997045516968,0.6271146535873413,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.3270755112171173,3.607959508895874,-1.3555500507354736,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,0.7931075096130371,1.5462528467178345,-3.1246843338012695,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.5443357825279236,-1.607965350151062,-0.13194619119167328,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.7488962411880493,1.21163809299469,3.9407076835632324,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-0.2378539741039276,3.071779727935791,-5.985782146453857,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,0.17089498043060303,-4.1252593994140625,-3.273696184158325,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.9410824179649353,1.1123402118682861,-0.2759394645690918,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.608270287513733,0.34761935472488403,-0.8514761924743652,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,3.1774067878723145,0.3654410243034363,0.7877607941627502,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,0.9294261336326599,-0.2138553112745285,3.0760984420776367,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-3.7421488761901855,3.4723808765411377,-1.301783800125122,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,6.749840259552002,3.586148977279663,-0.28236711025238037,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,6.906003475189209,5.40792989730835,1.3887680768966675,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.8272899389266968,2.345804452896118,0.20408762991428375,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.9820367693901062,2.4066081047058105,-0.6639099717140198,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.7277694940567017,4.38149881362915,0.849998950958252,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,2.5425353050231934,-0.4718838632106781,-2.7817728519439697,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,1.433342456817627,1.177962064743042,4.7063398361206055,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-5.009771823883057,1.4091724157333374,-0.5853171348571777,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-0.3964781165122986,0.693198561668396,6.543725967407227,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.3642995357513428,2.67465877532959,-0.8847236633300781,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.6129365563392639,3.949337959289551,-0.8915567398071289,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,2.7114648818969727,-0.13902981579303741,-1.0746290683746338,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,2.5326476097106934,5.771575450897217,-0.017880812287330627,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.17383213341236115,1.8832403421401978,4.689001083374023,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,6.603539943695068,0.2506379187107086,-0.8341305255889893,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,2.739173173904419,2.3602960109710693,6.577807903289795,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.5216810703277588,2.75805401802063,-0.6647130846977234,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.9482022523880005,2.4516732692718506,-0.757973849773407,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.3843727111816406,1.3127788305282593,-1.9089380502700806,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,4.828697681427002,1.3535306453704834,-0.7060950994491577,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-3.1557881832122803,0.45847687125205994,-2.5347659587860107,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,6.590339183807373,4.1119489669799805,-0.27312108874320984,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,0.6057812571525574,3.5568113327026367,-7.021603107452393,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.27895352244377136,2.0917632579803467,-0.9351118206977844,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.5711612105369568,1.39208984375,0.9220648407936096,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,3.772322177886963,2.6576828956604004,-0.9881271719932556,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.6622633934020996,3.684581995010376,-0.9351873397827148,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,5.389727592468262,0.3118656873703003,-1.5726045370101929,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,3.7610745429992676,5.277318000793457,-4.4204487800598145,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-2.859217405319214,4.528377056121826,-5.542096138000488,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.840457022190094,3.094085931777954,-0.3161398768424988,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.29749152064323425,1.2987555265426636,-1.5319663286209106,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,1.0569777488708496,-0.825840175151825,-0.7967150807380676,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,0.8197433948516846,0.1098179966211319,-3.6444764137268066,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,4.448427200317383,5.577195644378662,-0.9712021350860596,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,2.924091100692749,1.9392236471176147,5.477266311645508,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,5.711215972900391,-2.4054458141326904,2.232290744781494,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.6404356956481934,2.33612322807312,-0.8528915047645569,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.379671812057495,0.8010451793670654,0.27408403158187866,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.1439191102981567,3.543304443359375,1.4358114004135132,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,2.638850688934326,1.1988669633865356,-3.6844561100006104,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,5.392932891845703,4.373438358306885,-0.18319793045520782,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,2.4173402786254883,-3.2303574085235596,2.1228606700897217,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,7.795173645019531,2.36747145652771,-1.5523321628570557,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.6808981895446777,2.3016011714935303,-1.1285457611083984,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.653792142868042,3.015958070755005,-0.6538450121879578,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,3.0544605255126953,4.160768508911133,0.36311668157577515,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.2419612407684326,4.51849365234375,-2.5149381160736084,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,0.3771291673183441,5.930993556976318,-3.3547096252441406,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,6.20660924911499,-0.6973653435707092,-0.7713738679885864,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,4.369382858276367,-2.768463373184204,3.483748435974121,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.7825894355773926,2.548379421234131,0.7034088969230652,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.469524621963501,2.533600330352783,1.0296505689620972,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.7499634027481079,3.452345132827759,1.9046989679336548,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,2.858898401260376,-0.38079458475112915,-2.6526126861572266,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.4367222189903259,6.868366718292236,0.4924180209636688,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-2.405942916870117,4.450605869293213,4.217113018035889,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,4.07945442199707,-3.853578567504883,-2.0728397369384766,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.8524025678634644,1.5551186800003052,-1.010368824005127,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.9591692686080933,0.2345283031463623,0.518985390663147,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,0.8977360725402832,1.5682477951049805,-3.131998062133789,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,4.583981990814209,2.7486581802368164,1.3285753726959229,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.038812700659036636,-2.204155683517456,-2.5172231197357178,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-0.5239021182060242,7.737152099609375,-1.657732605934143,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-0.9844634532928467,-4.477570533752441,1.21367347240448,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.2200196981430054,2.0850913524627686,0.7772928476333618,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.4131320118904114,0.7298973202705383,0.3498617112636566,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.3739136457443237,3.576931953430176,-1.4089443683624268,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.0274083614349365,5.4990644454956055,0.6224054098129272,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.2129627466201782,-0.8420304656028748,3.236675977706909,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,2.3994898796081543,5.862764358520508,-4.626131057739258,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-0.9679184556007385,-3.714064359664917,-3.5696566104888916,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.12422483414411545,2.5290491580963135,0.223915234208107,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.4778763055801392,0.24907717108726501,-0.6822590827941895,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,2.108182907104492,0.3940114974975586,1.9840399026870728,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.2494559288024902,0.5942362546920776,1.706659197807312,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,4.334569931030273,5.770983695983887,-0.3511553108692169,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,1.0739448070526123,5.9092841148376465,-4.82118558883667,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-3.355363607406616,3.2472078800201416,5.230733394622803,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.008017891086637974,2.3745126724243164,-0.44250234961509705,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.4467130899429321,2.8297548294067383,1.6126227378845215,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,3.481334686279297,1.7173950672149658,-1.7197585105895996,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.8843995928764343,-0.27979281544685364,-2.8243730068206787,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.5413552522659302,3.324373960494995,-4.350606441497803,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,2.4364404678344727,-0.7659144401550293,-5.229865550994873,0.0,0.0,0.0,0.0,0.0,1.0,0.0
