split,feature_0,feature_1,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7
train,7.172820091247559,-0.861460268497467,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-4.5692315101623535,2.6917059421539307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-6.111289978027344,-4.563747406005859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.27073046565055847,-0.8918852210044861,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.3045215606689453,0.3695739507675171,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,4.17877721786499,-1.0531073808670044,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,2.223508596420288,2.5738301277160645,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,2.6378679275512695,-6.07505989074707,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,4.291288375854492,3.845367908477783,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.5314254760742188,5.1602702140808105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-0.6132049560546875,6.504714488983154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,0.6394288539886475,-0.4538296163082123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,3.009077787399292,-2.116985321044922,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,2.3212153911590576,1.4879447221755981,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-2.642577648162842,-0.1384742259979248,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-0.6490088701248169,3.360412836074829,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,4.661476135253906,3.6025850772857666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,0.21811792254447937,5.642618656158447,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-3.657827854156494,-7.655116558074951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,0.5943804979324341,-2.094494342803955,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,3.026623487472534,-0.5024762153625488,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-1.5602577924728394,-0.08720376342535019,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,1.7867631912231445,-5.244797706604004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,5.4372334480285645,1.3455177545547485,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-2.8290066719055176,-5.746592998504639,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,5.498852252960205,-6.805070400238037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-6.075223922729492,2.0633091926574707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,2.1809821128845215,-1.1704720258712769,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.9843034744262695,0.5448502898216248,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-1.397168517112732,0.23206599056720734,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,4.483027935028076,0.978118360042572,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,6.187804698944092,-1.3471049070358276,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,2.1696252822875977,-7.209024906158447,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,7.0968337059021,2.4634528160095215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-0.020421374589204788,-9.198031425476074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,0.8079079389572144,-0.36495229601860046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.070164680480957,-3.2863643169403076,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-1.681792974472046,-2.1636464595794678,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,4.063867568969727,1.4904683828353882,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-2.2644786834716797,2.326709270477295,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-4.5098419189453125,-3.1694958209991455,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-2.485682249069214,-7.248292922973633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,6.954115390777588,-6.83542537689209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.9177769422531128,-0.6060194969177246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,2.304361343383789,0.36968180537223816,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.37607207894325256,-3.849780559539795,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,3.9354162216186523,-4.197153091430664,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,1.0378525257110596,-6.287587642669678,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,1.7762880325317383,-7.260949611663818,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-1.150221824645996,-7.88773250579834,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,2.7427361011505127,6.557650566101074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.8587242364883423,-2.2340338230133057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.3472171425819397,-2.5715253353118896,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.963757276535034,-2.4282262325286865,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.044338226318359,-2.3527097702026367,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-3.8007850646972656,-1.6225625276565552,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.1884490251541138,4.219405651092529,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.4727630615234375,-6.512494087219238,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.172729969024658,4.648263454437256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.2189372777938843,-2.2893717288970947,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.23143932223320007,0.11898831278085709,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.535110592842102,1.1658475399017334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,4.973552227020264,-2.5823633670806885,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,2.0381271839141846,-6.217067718505859,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,0.06347993016242981,-7.183500289916992,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-5.766444683074951,-0.49369680881500244,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,4.43488073348999,6.021694183349609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.3929469585418701,-1.8962123394012451,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.0355074405670166,0.5217705965042114,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.0302026271820068,-3.3094968795776367,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.3116750121116638,2.418330669403076,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.0595173835754395,-0.16307611763477325,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,6.695424556732178,-3.6709671020507812,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,5.490799427032471,4.231662273406982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.171330451965332,-1.8080644607543945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.2094733715057373,-1.4953358173370361,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.802486538887024,0.6134584546089172,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.7621936202049255,0.9896770715713501,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.8113486766815186,-1.354263186454773,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.2311697006225586,-4.937910556793213,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.9289462566375732,3.0747451782226562,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,7.631250381469727,1.4462521076202393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.905789852142334,3.8932130336761475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,2.0447347164154053,-1.8058240413665771,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.3877787590026855,-2.8901116847991943,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.427658796310425,1.4421080350875854,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.4240033030509949,2.370893716812134,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,5.975764274597168,-2.7315757274627686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-4.734958171844482,-2.247443914413452,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,5.880377292633057,3.9046547412872314,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,0.22703388333320618,6.652211666107178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.18909014761447906,-1.3335952758789062,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.1772862672805786,0.7101241946220398,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.4021172523498535,-3.314265489578247,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,4.293015003204346,1.2319992780685425,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,2.7874937057495117,3.4474570751190186,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.8238327503204346,3.171558380126953,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.139636993408203,-0.4672943651676178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-1.8133100271224976,6.125768184661865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,2.1157431602478027,-0.9162973165512085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.475045770406723,-0.1790640950202942,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.3775341510772705,-2.844630479812622,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.0056911706924438,-4.63456392288208,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,2.486405611038208,3.538661479949951,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,1.1727566719055176,4.710134029388428,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-5.74729061126709,-0.34121468663215637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-2.3126156330108643,-8.483229637145996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.8068921566009521,-0.3653705418109894,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.1642651557922363,-3.035459518432617,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.187349319458008,-1.2212839126586914,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,1.7633427381515503,2.668579339981079,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.8913037776947021,-5.83692741394043,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.148715019226074,-1.9764752388000488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,2.0045926570892334,-8.24206829071045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,8.990622520446777,-3.056523323059082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.9949888586997986,-2.271016836166382,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.6312978863716125,-0.4593813419342041,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.082088947296143,-0.49926602840423584,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,3.2969424724578857,2.109112501144409,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,1.7565399408340454,-6.257432460784912,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.347505569458008,3.5577573776245117,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,3.8200860023498535,-7.776203155517578,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,4.638010501861572,-8.50776481628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.8623288869857788,-0.5512941479682922,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.25905752182006836,-2.6702957153320312,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.89508056640625,0.0033796196803450584,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.1913209706544876,-5.044457912445068,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-3.459531784057617,-3.133542537689209,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-4.277688980102539,-3.764678716659546,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,3.7280383110046387,-7.812796592712402,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-3.7805395126342773,4.980105400085449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.2307746410369873,-0.2907559871673584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.7724114656448364,-3.2025978565216064,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.662824034690857,-0.35601264238357544,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,0.39565497636795044,2.6308650970458984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-3.0633544921875,-3.921358346939087,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.818603515625,-5.755948066711426,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,7.000676155090332,-5.190402030944824,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,7.986722946166992,-5.506381988525391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,2.181069850921631,-1.4084877967834473,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.28070366382598877,0.06754805892705917,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.0940933227539062,-4.149782657623291,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,1.3185681104660034,-5.287719249725342,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.8002142906188965,1.7256282567977905,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,2.8984203338623047,-7.040925979614258,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,5.339482307434082,4.346312999725342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,5.659675121307373,5.343803405761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.2198169231414795,-2.289344310760498,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.17457114160060883,-3.0139963626861572,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.7743828296661377,0.23045285046100616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,4.684695720672607,-3.232537269592285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.1300137042999268,-5.719992637634277,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,6.631086826324463,-3.8145737648010254,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-4.378393650054932,-5.534111022949219,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-6.62315559387207,0.4375132620334625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.23735308647155762,-1.5997142791748047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.3983962535858154,0.6990702152252197,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.1686018705368042,0.5664408206939697,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,3.7171669006347656,-4.388876438140869,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.161749362945557,-1.8028167486190796,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.6536502838134766,-5.8986101150512695,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-5.378742218017578,-3.713923931121826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-6.806676864624023,-1.5779787302017212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.447050541639328,-0.6184320449829102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.5397856831550598,-2.2969701290130615,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.3106985092163086,-2.9499194622039795,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.1039145216345787,2.4957332611083984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,4.632473945617676,2.3345866203308105,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5103936195373535,3.4346539974212646,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-0.7448473572731018,-8.017668724060059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,3.5150504112243652,6.364267349243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.5824991464614868,-2.2087996006011963,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.4217933416366577,-3.2761502265930176,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.7850712537765503,-1.689919352531433,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,2.908936023712158,-4.9007792472839355,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,3.8019421100616455,-5.552240371704102,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.4213454723358154,-6.692681312561035,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-2.0063791275024414,-7.5184173583984375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.171624183654785,-1.8035300970077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.5787981748580933,-0.36931368708610535,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.8075044751167297,-1.4218779802322388,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.9956166744232178,-3.346843957901001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,4.879449367523193,-2.8306844234466553,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,5.568792343139648,-3.7002036571502686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.99004864692688,-5.595981597900391,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.703474283218384,-6.297059535980225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,1.8411930799484253,6.683453559875488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.6408300995826721,-2.1267812252044678,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.8101040720939636,-1.2058842182159424,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.6795030236244202,-4.246414661407471,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.8094725608825684,-1.4282394647598267,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.164478302001953,2.41960072517395,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.06540915369987488,-7.157438278198242,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,4.398360729217529,-7.510331630706787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-2.8841826915740967,-8.17579174041748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.6320918798446655,-2.1858932971954346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.2648558020591736,0.4842899441719055,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.187441825866699,-1.3542243242263794,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.179123878479004,-1.5581554174423218,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,0.9504275321960449,3.7044999599456787,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.0473432540893555,0.0023034270852804184,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,0.2452271580696106,-8.22605037689209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-5.1665778160095215,3.569953441619873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,2.182901382446289,-1.3920003175735474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.5895116329193115,-2.7167792320251465,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.5756806135177612,-2.4566094875335693,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.0500168800354,-2.331888198852539,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.579882025718689,2.8740572929382324,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,0.13869626820087433,-7.197357177734375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-2.214513063430786,4.827506065368652,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,8.687710762023926,-4.074864864349365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.21419528126716614,-1.5166631937026978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.5411333441734314,-2.294654369354248,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3.4809679985046387,0.6448127627372742,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-2.733131170272827,-0.5001062154769897,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,1.0708905458450317,-6.288471698760986,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,2.563866138458252,-7.1299967765808105,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,7.505812644958496,-4.304298400878906,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,3.384084463119507,-8.98255729675293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.3174030780792236,-0.29823702573776245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.931053638458252,-0.3089149594306946,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.6382453441619873,-3.916093587875366,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,2.277416706085205,-5.138672351837158,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-3.6532890796661377,-0.040592364966869354,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.4311046004295349,4.487529277801514,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,6.593107223510742,-5.738019943237305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.010613441467285,-2.9657928943634033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,0.7664368748664856,-0.38310903310775757,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2.747204542160034,-0.03713119775056839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.732749104499817,-1.9742798805236816,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,4.405153274536133,1.0872901678085327,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.380953788757324,-4.791506290435791,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,6.682654857635498,1.12059485912323,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,2.2897613048553467,5.622925281524658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-6.413797378540039,1.2022737264633179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,2.024198293685913,-0.7412168383598328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.7998569011688232,-3.193998098373413,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
