split,feature_0,feature_1,class_0,class_1,class_2,class_3
test,-0.32198941707611084,0.19903942942619324,1.0,0.0,0.0,0.0
test,0.8652244806289673,-2.4798386096954346,0.0,1.0,0.0,0.0
test,-1.1788114309310913,-3.634974479675293,0.0,0.0,1.0,0.0
test,3.2617790699005127,-2.777533769607544,0.0,0.0,0.0,1.0
test,0.3237541615962982,-1.6391066312789917,1.0,0.0,0.0,0.0
test,-1.7679837942123413,0.46200087666511536,0.0,1.0,0.0,0.0
test,1.0778236389160156,1.9134974479675293,0.0,0.0,1.0,0.0
test,3.4493658542633057,-2.40494441986084,0.0,0.0,0.0,1.0
test,-0.934004545211792,-1.4871352910995483,1.0,0.0,0.0,0.0
test,-0.14692600071430206,-2.793858289718628,0.0,1.0,0.0,0.0
test,2.676023006439209,0.015969010069966316,0.0,0.0,1.0,0.0
test,3.122347354888916,-3.0040183067321777,0.0,0.0,0.0,1.0
test,0.2013101428747177,0.11552389711141586,1.0,0.0,0.0,0.0
test,-1.0563597679138184,-2.6080939769744873,0.0,1.0,0.0,0.0
test,-2.2572021484375,-2.9900131225585938,0.0,0.0,1.0,0.0
test,-1.511825442314148,-4.577948570251465,0.0,0.0,0.0,1.0
test,0.7349992394447327,-0.4745965003967285,1.0,0.0,0.0,0.0
test,1.786586046218872,-0.8614742159843445,0.0,1.0,0.0,0.0
test,-0.369843065738678,-3.790788173675537,0.0,0.0,1.0,0.0
test,-4.211247444152832,-0.8869622945785522,0.0,0.0,0.0,1.0
test,-0.9475814700126648,-0.1171581968665123,1.0,0.0,0.0,0.0
test,1.2687861919403076,-2.1389377117156982,0.0,1.0,0.0,0.0
test,0.6553686857223511,-3.666710615158081,0.0,0.0,1.0,0.0
test,2.7114737033843994,1.9348180294036865,0.0,0.0,0.0,1.0
test,-0.5848445892333984,-1.7229441404342651,1.0,0.0,0.0,0.0
test,-1.8248611688613892,-1.978002667427063,0.0,1.0,0.0,0.0
test,-3.136690139770508,-0.12561368942260742,0.0,0.0,1.0,0.0
test,3.400315046310425,0.9223276972770691,0.0,0.0,0.0,1.0
test,-0.9077714085578918,-0.07636708766222,1.0,0.0,0.0,0.0
test,-0.27314335107803345,1.2041473388671875,0.0,1.0,0.0,0.0
test,-1.0952510833740234,-3.662052631378174,0.0,0.0,1.0,0.0
test,-0.12302377820014954,3.2040762901306152,0.0,0.0,0.0,1.0
test,-1.0304384231567383,-0.21989662945270538,1.0,0.0,0.0,0.0
test,-1.9988915920257568,0.10402433574199677,0.0,1.0,0.0,0.0
test,-3.0937836170196533,-1.6298460960388184,0.0,0.0,1.0,0.0
test,0.6146975755691528,3.1186470985412598,0.0,0.0,0.0,1.0
test,-1.1967841386795044,-0.6194170117378235,1.0,0.0,0.0,0.0
test,-2.1997220516204834,-0.5709192156791687,0.0,1.0,0.0,0.0
test,1.3716704845428467,1.7528201341629028,0.0,0.0,1.0,0.0
test,-2.851732015609741,2.2106399536132812,0.0,0.0,0.0,1.0
test,-0.7315468788146973,0.059701088815927505,1.0,0.0,0.0,0.0
test,1.2964954376220703,-2.107754945755005,0.0,1.0,0.0,0.0
test,2.7173054218292236,-0.1488831341266632,0.0,0.0,1.0,0.0
test,3.7508392333984375,-1.336660623550415,0.0,0.0,0.0,1.0
test,0.34782248735427856,0.033478155732154846,1.0,0.0,0.0,0.0
test,-1.0362244844436646,1.0274776220321655,0.0,1.0,0.0,0.0
test,1.679366946220398,1.5334995985031128,0.0,0.0,1.0,0.0
test,-2.976123571395874,-3.686521291732788,0.0,0.0,0.0,1.0
test,-0.031127456575632095,0.18852290511131287,1.0,0.0,0.0,0.0
test,1.7716745138168335,-1.0475516319274902,0.0,1.0,0.0,0.0
test,-0.6585819125175476,2.1716935634613037,0.0,0.0,1.0,0.0
test,-0.7286098003387451,3.171611785888672,0.0,0.0,0.0,1.0
test,0.37336277961730957,0.015622864477336407,1.0,0.0,0.0,0.0
test,0.4687597155570984,1.0855377912521362,0.0,1.0,0.0,0.0
test,-2.4406306743621826,1.2136969566345215,0.0,0.0,1.0,0.0
test,3.772860288619995,-0.45076796412467957,0.0,0.0,0.0,1.0
test,-0.5995496511459351,0.12705044448375702,1.0,0.0,0.0,0.0
test,1.777977705001831,-0.5980296730995178,0.0,1.0,0.0,0.0
test,-2.1712396144866943,1.4772042036056519,0.0,0.0,1.0,0.0
test,-3.362766742706299,1.6697434186935425,0.0,0.0,0.0,1.0
test,-0.9527990818023682,-0.12286257743835449,1.0,0.0,0.0,0.0
test,-1.4531848430633545,-2.363436460494995,0.0,1.0,0.0,0.0
test,0.10267220437526703,2.1884915828704834,0.0,0.0,1.0,0.0
test,3.609647274017334,0.3851865530014038,0.0,0.0,0.0,1.0
test,-1.1120895147323608,-0.35858941078186035,1.0,0.0,0.0,0.0
test,0.1727794110774994,-2.7575042247772217,0.0,1.0,0.0,0.0
test,-3.2027058601379395,-0.5551093816757202,0.0,0.0,1.0,0.0
test,-3.8853278160095215,0.7890282869338989,0.0,0.0,0.0,1.0
test,0.37204447388648987,-1.6064282655715942,1.0,0.0,0.0,0.0
test,1.6935465335845947,-1.401329517364502,0.0,1.0,0.0,0.0
test,-1.8869253396987915,-3.28403377532959,0.0,0.0,1.0,0.0
test,-2.1647958755493164,2.696173667907715,0.0,0.0,0.0,1.0
test,0.7876933813095093,-0.7952423691749573,1.0,0.0,0.0,0.0
test,0.7038394212722778,-2.572756290435791,0.0,1.0,0.0,0.0
test,-2.1418263912200928,1.5022348165512085,0.0,0.0,1.0,0.0
test,-2.3642897605895996,-4.166717052459717,0.0,0.0,0.0,1.0
test,-0.8276703953742981,-1.5831704139709473,1.0,0.0,0.0,0.0
test,-2.1506645679473877,-1.2876423597335815,0.0,1.0,0.0,0.0
test,2.6322524547576904,-1.7480716705322266,0.0,0.0,1.0,0.0
test,-2.3874711990356445,-4.151809215545654,0.0,0.0,0.0,1.0
test,-1.067854404449463,-0.27720344066619873,1.0,0.0,0.0,0.0
test,1.7619253396987915,-0.47491422295570374,0.0,1.0,0.0,0.0
test,-3.152379274368286,-0.19829238951206207,0.0,0.0,1.0,0.0
test,3.364023447036743,0.9966822266578674,0.0,0.0,0.0,1.0
test,-0.9277722835540771,-1.493575096130371,1.0,0.0,0.0,0.0
test,1.3384026288986206,-2.0579795837402344,0.0,1.0,0.0,0.0
test,-1.479777216911316,-3.5140297412872314,0.0,0.0,1.0,0.0
test,-3.9809961318969727,0.5455871224403381,0.0,0.0,0.0,1.0
test,0.441299706697464,-0.03809244558215141,1.0,0.0,0.0,0.0
test,-0.6790457963943481,1.1498489379882812,0.0,1.0,0.0,0.0
test,-0.9938604831695557,-3.6913342475891113,0.0,0.0,1.0,0.0
test,-0.33712366223335266,3.203125,0.0,0.0,0.0,1.0
test,0.284993976354599,0.07265113294124603,1.0,0.0,0.0,0.0
test,-0.6038209199905396,-2.7562320232391357,0.0,1.0,0.0,0.0
test,-2.2724907398223877,-2.975670337677002,0.0,0.0,1.0,0.0
test,0.3222237825393677,3.169196605682373,0.0,0.0,0.0,1.0
test,0.7530660629272461,-1.0558019876480103,1.0,0.0,0.0,0.0
test,0.4683878421783447,-2.6755268573760986,0.0,1.0,0.0,0.0
test,-0.0928463414311409,2.202693462371826,0.0,0.0,1.0,0.0
test,0.43331897258758545,3.1526248455047607,0.0,0.0,0.0,1.0
test,-1.1901209354400635,-1.004400372505188,1.0,0.0,0.0,0.0
test,-0.375832736492157,1.1983764171600342,0.0,1.0,0.0,0.0
test,-2.600602149963379,1.0205739736557007,0.0,0.0,1.0,0.0
test,-3.682404041290283,1.194651484489441,0.0,0.0,0.0,1.0
test,-0.038461439311504364,-1.7797001600265503,1.0,0.0,0.0,0.0
test,1.3635355234146118,-2.026479721069336,0.0,1.0,0.0,0.0
test,2.337862730026245,-2.375001907348633,0.0,0.0,1.0,0.0
test,3.616112470626831,0.3640413284301758,0.0,0.0,0.0,1.0
test,-0.4478074610233307,-1.766801357269287,1.0,0.0,0.0,0.0
test,0.4196450710296631,-2.6924617290496826,0.0,1.0,0.0,0.0
test,2.7789664268493652,-0.5662652254104614,0.0,0.0,1.0,0.0
test,-1.929694652557373,2.817631244659424,0.0,0.0,0.0,1.0
test,0.7009540796279907,-1.2023029327392578,1.0,0.0,0.0,0.0
test,0.26906663179397583,1.1462786197662354,0.0,1.0,0.0,0.0
test,-2.695559501647949,0.8883596062660217,0.0,0.0,1.0,0.0
test,3.0757622718811035,1.4829232692718506,0.0,0.0,0.0,1.0
test,0.7615818977355957,-0.5679002404212952,1.0,0.0,0.0,0.0
test,-1.6831493377685547,0.5602928996086121,0.0,1.0,0.0,0.0
test,1.97660493850708,-2.846430778503418,0.0,0.0,1.0,0.0
test,-2.8856241703033447,2.180534601211548,0.0,0.0,0.0,1.0
test,-0.8302760720252991,-1.5811293125152588,1.0,0.0,0.0,0.0
test,-1.9382671117782593,0.2155480980873108,0.0,1.0,0.0,0.0
test,-3.2072677612304688,-0.6211245059967041,0.0,0.0,1.0,0.0
test,-3.2304012775421143,-3.420018434524536,0.0,0.0,0.0,1.0
test,0.7145638465881348,-1.1703087091445923,1.0,0.0,0.0,0.0
test,0.14719320833683014,-2.7623519897460938,0.0,1.0,0.0,0.0
test,-0.8013834953308105,2.1466689109802246,0.0,0.0,1.0,0.0
test,-4.208928108215332,-0.6305619478225708,0.0,0.0,0.0,1.0
test,-0.9200527667999268,-1.5013940334320068,1.0,0.0,0.0,0.0
test,1.7475215196609497,-0.39608660340309143,0.0,1.0,0.0,0.0
test,-3.196641206741333,-1.1011089086532593,0.0,0.0,1.0,0.0
test,-1.0011217594146729,-4.716377258300781,0.0,0.0,0.0,1.0
test,0.7847721576690674,-0.7185466885566711,1.0,0.0,0.0,0.0
test,-1.682364821434021,-2.15099835395813,0.0,1.0,0.0,0.0
test,-2.6535065174102783,-2.538642406463623,0.0,0.0,1.0,0.0
test,3.519333839416504,-2.2353644371032715,0.0,0.0,0.0,1.0
test,0.7577272653579712,-1.0378972291946411,1.0,0.0,0.0,0.0
test,-1.7253835201263428,0.5129711627960205,0.0,1.0,0.0,0.0
test,-2.6427395343780518,-2.5536186695098877,0.0,0.0,1.0,0.0
test,0.5108250975608826,-4.7290191650390625,0.0,0.0,0.0,1.0
test,0.647321879863739,-1.305846929550171,1.0,0.0,0.0,0.0
test,0.3609199821949005,-2.711019992828369,0.0,1.0,0.0,0.0
test,-3.1389472484588623,-1.4543014764785767,0.0,0.0,1.0,0.0
test,3.1870484352111816,-2.9030981063842773,0.0,0.0,0.0,1.0
test,-0.2760706841945648,0.2030377835035324,1.0,0.0,0.0,0.0
test,-1.6308013200759888,-2.2048466205596924,0.0,1.0,0.0,0.0
test,0.6174516677856445,2.088040351867676,0.0,0.0,1.0,0.0
test,-1.7380239963531494,2.9026646614074707,0.0,0.0,0.0,1.0
test,0.6401960849761963,-0.27220430970191956,1.0,0.0,0.0,0.0
test,-0.2579312026500702,-2.7944066524505615,0.0,1.0,0.0,0.0
test,1.6905847787857056,-3.1141953468322754,0.0,0.0,1.0,0.0
test,2.4799869060516357,2.1633756160736084,0.0,0.0,0.0,1.0
test,0.728553056716919,-0.45613059401512146,1.0,0.0,0.0,0.0
test,-1.1225409507751465,0.9859358668327332,0.0,1.0,0.0,0.0
test,-0.2777903079986572,-3.7942123413085938,0.0,0.0,1.0,0.0
test,3.698197364807129,-1.636330485343933,0.0,0.0,0.0,1.0
test,0.3808499872684479,0.010159936733543873,1.0,0.0,0.0,0.0
test,1.2518399953842163,0.5675245523452759,0.0,1.0,0.0,0.0
test,2.446280002593994,0.5950073003768921,0.0,0.0,1.0,0.0
test,3.645418167114258,0.26240861415863037,0.0,0.0,0.0,1.0
test,0.2941727340221405,0.06732490658760071,1.0,0.0,0.0,0.0
test,1.4820154905319214,-1.8575996160507202,0.0,1.0,0.0,0.0
test,0.46880877017974854,-3.7165846824645996,0.0,0.0,1.0,0.0
test,-0.22866035997867584,3.2050392627716064,0.0,0.0,0.0,1.0
test,0.783688485622406,-0.7055190205574036,1.0,0.0,0.0,0.0
test,-1.631878137588501,0.6139079332351685,0.0,1.0,0.0,0.0
test,-2.9146807193756104,0.5078293085098267,0.0,0.0,1.0,0.0
test,-3.3980624675750732,-3.2138030529022217,0.0,0.0,0.0,1.0
test,-0.47746333479881287,0.1692781001329422,1.0,0.0,0.0,0.0
test,-1.3981366157531738,0.8156028985977173,0.0,1.0,0.0,0.0
test,-3.037742853164673,-1.8033463954925537,0.0,0.0,1.0,0.0
test,3.511986494064331,0.6644021272659302,0.0,0.0,0.0,1.0
test,-0.5986855030059814,-1.7172672748565674,1.0,0.0,0.0,0.0
test,0.8724575638771057,0.885336697101593,0.0,1.0,0.0,0.0
test,2.787166118621826,-0.7386753559112549,0.0,0.0,1.0,0.0
test,2.8022708892822266,1.834202527999878,0.0,0.0,0.0,1.0
test,-1.165338158607483,-1.0977979898452759,1.0,0.0,0.0,0.0
test,1.231337308883667,-2.1790847778320312,0.0,1.0,0.0,0.0
test,0.8482236266136169,2.0113649368286133,0.0,0.0,1.0,0.0
test,2.599602460861206,-3.6397764682769775,0.0,0.0,0.0,1.0
test,0.08594159781932831,0.1595611572265625,1.0,0.0,0.0,0.0
test,-2.202744960784912,-0.5995931029319763,0.0,1.0,0.0,0.0
test,2.7015390396118164,-0.08113139122724533,0.0,0.0,1.0,0.0
test,-1.1073076725006104,3.10365891456604,0.0,0.0,0.0,1.0
test,-1.1250640153884888,-0.38642531633377075,1.0,0.0,0.0,0.0
test,-1.7546195983886719,0.478363960981369,0.0,1.0,0.0,0.0
test,1.0175251960754395,-3.531259536743164,0.0,0.0,1.0,0.0
test,-2.6859703063964844,2.3484766483306885,0.0,0.0,0.0,1.0
test,-0.19031493365764618,-1.7946853637695312,1.0,0.0,0.0,0.0
test,0.3372286558151245,-2.7179484367370605,0.0,1.0,0.0,0.0
test,-1.825598955154419,1.734358787536621,0.0,0.0,1.0,0.0
test,3.572286367416382,0.5000078678131104,0.0,0.0,0.0,1.0
test,0.6144077181816101,-1.3575491905212402,1.0,0.0,0.0,0.0
test,1.7872265577316284,-0.7517129778862,0.0,1.0,0.0,0.0
test,-0.22015592455863953,2.2050626277923584,0.0,0.0,1.0,0.0
test,-3.1013786792755127,1.9715259075164795,0.0,0.0,0.0,1.0
test,-0.3507775664329529,-1.785293698310852,1.0,0.0,0.0,0.0
test,1.3601993322372437,0.44088229537010193,0.0,1.0,0.0,0.0
test,0.6240699887275696,-3.6759815216064453,0.0,0.0,1.0,0.0
test,-4.176207065582275,-1.3311123847961426,0.0,0.0,0.0,1.0
test,-0.16751907765865326,-1.7939237356185913,1.0,0.0,0.0,0.0
test,-0.49421006441116333,1.1851056814193726,0.0,1.0,0.0,0.0
test,-0.6721222400665283,2.1696250438690186,0.0,0.0,1.0,0.0
test,0.9937238097190857,-4.6087822914123535,0.0,0.0,0.0,1.0
test,0.17857080698013306,-1.7153699398040771,1.0,0.0,0.0,0.0
test,1.7538700103759766,-1.161191463470459,0.0,1.0,0.0,0.0
test,0.5978009104728699,2.093623638153076,0.0,0.0,1.0,0.0
test,-2.253002882003784,2.645357608795166,0.0,0.0,0.0,1.0
test,0.7831642627716064,-0.8899948596954346,1.0,0.0,0.0,0.0
test,0.43358466029167175,-2.6877622604370117,0.0,1.0,0.0,0.0
test,1.6864110231399536,1.527759075164795,0.0,0.0,1.0,0.0
test,-3.167494773864746,1.9007847309112549,0.0,0.0,0.0,1.0
test,-1.1739832162857056,-1.0691131353378296,1.0,0.0,0.0,0.0
test,1.7862082719802856,-0.7178645133972168,0.0,1.0,0.0,0.0
test,2.5020086765289307,0.482763409614563,0.0,0.0,1.0,0.0
test,3.554243803024292,0.5515863299369812,0.0,0.0,0.0,1.0
test,-0.5099582672119141,0.15974733233451843,1.0,0.0,0.0,0.0
test,-2.1402127742767334,-1.3270719051361084,0.0,1.0,0.0,0.0
test,-2.1528031826019287,-3.082824230194092,0.0,0.0,1.0,0.0
test,3.772777557373047,-1.1400420665740967,0.0,0.0,0.0,1.0
test,-0.13805896043777466,-1.792167067527771,1.0,0.0,0.0,0.0
test,-2.1273257732391357,-0.2181241661310196,0.0,1.0,0.0,0.0
test,-2.6722943782806396,0.9221808910369873,0.0,0.0,1.0,0.0
test,-2.966764450073242,2.105583429336548,0.0,0.0,0.0,1.0
test,-0.37601155042648315,-1.781436562538147,1.0,0.0,0.0,0.0
test,-0.7308439612388611,-2.7265377044677734,0.0,1.0,0.0,0.0
test,-2.1007235050201416,-3.1259958744049072,0.0,0.0,1.0,0.0
test,-1.5601803064346313,-4.560990810394287,0.0,0.0,0.0,1.0
test,0.7454020380973816,-1.0826671123504639,1.0,0.0,0.0,0.0
test,-2.1035895347595215,-1.445348858833313,0.0,1.0,0.0,0.0
test,2.5159788131713867,-2.042508363723755,0.0,0.0,1.0,0.0
test,-3.509228229522705,-3.059945583343506,0.0,0.0,0.0,1.0
test,-0.921089231967926,-0.0895003005862236,1.0,0.0,0.0,0.0
test,1.5350804328918457,-1.7678806781768799,0.0,1.0,0.0,0.0
test,-2.479473829269409,1.1697489023208618,0.0,0.0,1.0,0.0
test,-4.006938934326172,0.47028619050979614,0.0,0.0,0.0,1.0
test,-1.1301366090774536,-1.1919008493423462,1.0,0.0,0.0,0.0
test,-1.4543992280960083,-2.3624749183654785,0.0,1.0,0.0,0.0
test,-1.4612427949905396,-3.522592544555664,0.0,0.0,1.0,0.0
test,3.664534091949463,0.1900126039981842,0.0,0.0,0.0,1.0
test,-0.5253155827522278,-1.7446774244308472,1.0,0.0,0.0,0.0
test,0.46353405714035034,-2.677276611328125,0.0,1.0,0.0,0.0
test,1.9510496854782104,-2.873361587524414,0.0,0.0,1.0,0.0
test,-1.9847424030303955,-4.38079833984375,0.0,0.0,0.0,1.0
test,-0.9538149237632751,-0.12398358434438705,1.0,0.0,0.0,0.0
test,-2.1935369968414307,-1.0682874917984009,0.0,1.0,0.0,0.0
test,-0.9782921075820923,-3.6954903602600098,0.0,0.0,1.0,0.0
test,0.9532152414321899,3.0315017700195312,0.0,0.0,0.0,1.0
test,-1.030100703239441,-0.2194162756204605,1.0,0.0,0.0,0.0
test,-0.8845730423927307,1.0887017250061035,0.0,1.0,0.0,0.0
test,-1.7580311298370361,1.7762079238891602,0.0,0.0,1.0,0.0
test,-3.7976810932159424,-2.5683672428131104,0.0,0.0,0.0,1.0
test,0.7519675493240356,-1.0598337650299072,1.0,0.0,0.0,0.0
test,1.410040259361267,0.3746841251850128,0.0,1.0,0.0,0.0
test,1.8155829906463623,-3.0057334899902344,0.0,0.0,1.0,0.0
test,-3.95658802986145,-2.2021782398223877,0.0,0.0,0.0,1.0
test,-1.2066938877105713,-0.68912672996521,1.0,0.0,0.0,0.0
test,1.7876337766647339,-0.8103777170181274,0.0,1.0,0.0,0.0
test,-0.46955835819244385,2.1940226554870605,0.0,0.0,1.0,0.0
test,-4.206217288970947,-1.0155537128448486,0.0,0.0,0.0,1.0
test,-0.8554814457893372,-0.029207879677414894,1.0,0.0,0.0,0.0
test,-2.0931975841522217,-1.474815845489502,0.0,1.0,0.0,0.0
test,0.7906444072723389,2.0324549674987793,0.0,0.0,1.0,0.0
test,3.7340288162231445,-1.4479491710662842,0.0,0.0,0.0,1.0
test,0.04724597930908203,0.1708017736673355,1.0,0.0,0.0,0.0
test,0.5890670418739319,-2.6273574829101562,0.0,1.0,0.0,0.0
test,-0.8327328562736511,-3.7300713062286377,0.0,0.0,1.0,0.0
test,-4.10917854309082,0.10750842839479446,0.0,0.0,0.0,1.0
test,-0.7895694971084595,0.02163112349808216,1.0,0.0,0.0,0.0
test,1.202017068862915,0.6191762685775757,0.0,1.0,0.0,0.0
test,-2.721564531326294,-2.439197301864624,0.0,0.0,1.0,0.0
test,-4.185496807098389,-0.33258572220802307,0.0,0.0,0.0,1.0
test,-1.130711317062378,-1.190569281578064,1.0,0.0,0.0,0.0
test,-1.6987178325653076,-2.1330533027648926,0.0,1.0,0.0,0.0
test,-3.169743776321411,-0.29137539863586426,0.0,0.0,1.0,0.0
test,-2.166581392288208,-4.28502893447876,0.0,0.0,0.0,1.0
test,-1.168305516242981,-1.0882973670959473,1.0,0.0,0.0,0.0
test,0.42363908886909485,1.101272463798523,0.0,1.0,0.0,0.0
test,-3.0284388065338135,-1.8290446996688843,0.0,0.0,1.0,0.0
test,-4.209936141967773,-0.6572376489639282,0.0,0.0,0.0,1.0
test,-0.5845651030540466,0.13320186734199524,1.0,0.0,0.0,0.0
test,0.6251265406608582,1.0213067531585693,0.0,1.0,0.0,0.0
test,-1.5676575899124146,-3.4713096618652344,0.0,0.0,1.0,0.0
test,3.77864670753479,-0.5260543823242188,0.0,0.0,0.0,1.0
test,0.7463054060935974,-1.07964289188385,1.0,0.0,0.0,0.0
test,-1.0125075578689575,-2.6278698444366455,0.0,1.0,0.0,0.0
test,1.8238130807876587,1.408301591873169,0.0,0.0,1.0,0.0
test,3.6532535552978516,-1.8232489824295044,0.0,0.0,0.0,1.0
test,-1.2122838497161865,-0.7881797552108765,1.0,0.0,0.0,0.0
test,-0.12017286568880081,1.2029495239257812,0.0,1.0,0.0,0.0
test,-2.9718949794769287,-1.9716482162475586,0.0,0.0,1.0,0.0
test,2.004267930984497,-4.1246113777160645,0.0,0.0,0.0,1.0
test,0.7835816740989685,-0.7043371200561523,1.0,0.0,0.0,0.0
test,-0.5538409948348999,1.175695538520813,0.0,1.0,0.0,0.0
test,1.9696340560913086,-2.8538432121276855,0.0,0.0,1.0,0.0
test,3.2206382751464844,-2.847946882247925,0.0,0.0,0.0,1.0
test,0.7483201622962952,-0.5170849561691284,1.0,0.0,0.0,0.0
test,-2.017977714538574,0.06504466384649277,0.0,1.0,0.0,0.0
test,0.18827082216739655,2.178208827972412,0.0,0.0,1.0,0.0
test,1.1343611478805542,-4.561422348022461,0.0,0.0,0.0,1.0
