split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,class_0,class_1,class_2,class_3,class_4,class_5
train,-1.4406406879425049,-0.5325483083724976,3.560840606689453,2.3582754135131836,-0.9783162474632263,0.4295004606246948,-2.373734474182129,-3.730274200439453,0.0,0.0,0.0,0.0,0.0,1.0
train,1.3566977977752686,-0.3734646141529083,-0.35897138714790344,2.3196403980255127,0.5356148481369019,-1.1697051525115967,-0.8058850169181824,-0.5333658456802368,1.0,0.0,0.0,0.0,0.0,0.0
train,1.3243716955184937,-1.0591002702713013,0.11907930672168732,2.373089075088501,-0.7648299336433411,-1.3176851272583008,-1.6873455047607422,-2.0869271755218506,0.0,1.0,0.0,0.0,0.0,0.0
train,0.0856485366821289,-0.21664637327194214,0.3253503143787384,4.5832061767578125,0.6849525570869446,-1.0532360076904297,-0.35754984617233276,0.10445833206176758,0.0,0.0,1.0,0.0,0.0,0.0
train,2.5060548782348633,-1.3466252088546753,-1.2116857767105103,4.991869926452637,1.2761762142181396,-3.3343746662139893,-0.4441224932670593,-1.4511767625808716,0.0,0.0,0.0,1.0,0.0,0.0
train,0.6533007621765137,-0.2336178570985794,-1.4581549167633057,2.314049005508423,-1.7616829872131348,-4.110307693481445,-3.4978785514831543,-2.9235119819641113,0.0,0.0,0.0,0.0,1.0,0.0
train,-0.24973063170909882,-3.337634325027466,0.47432100772857666,4.312760353088379,-0.3328591585159302,1.3374019861221313,-5.3783698081970215,0.3162803649902344,0.0,0.0,0.0,0.0,0.0,1.0
train,1.4396976232528687,0.016212528571486473,-0.6160988807678223,2.6413745880126953,0.9433303475379944,-1.4838626384735107,-1.6391407251358032,-1.1120585203170776,1.0,0.0,0.0,0.0,0.0,0.0
train,2.125248432159424,-1.4289698600769043,-0.6938650608062744,2.150505304336548,-0.6461269855499268,-1.2861143350601196,-1.8085168600082397,-1.584161639213562,0.0,1.0,0.0,0.0,0.0,0.0
train,2.7959134578704834,-2.420720338821411,-0.268690824508667,1.9812325239181519,1.6485133171081543,-2.5291218757629395,-1.2489044666290283,0.0900542363524437,0.0,0.0,1.0,0.0,0.0,0.0
train,-0.6958354711532593,-2.7628490924835205,-1.5405349731445312,1.6217368841171265,2.1414694786071777,0.06861285865306854,-1.5275170803070068,0.0870399996638298,0.0,0.0,0.0,1.0,0.0,0.0
train,2.3393685817718506,3.715139389038086,-0.9666712880134583,2.6209495067596436,-0.6454913020133972,-1.0002144575119019,-0.4542863070964813,0.10288717597723007,0.0,0.0,0.0,0.0,1.0,0.0
train,3.558100938796997,1.2122303247451782,-3.0047621726989746,4.38787841796875,-2.898538827896118,0.26960620284080505,-2.413285970687866,-0.3978581726551056,0.0,0.0,0.0,0.0,0.0,1.0
val,1.1251451969146729,-0.5761355757713318,-0.1072651669383049,2.6916749477386475,0.8873552680015564,-0.5762737393379211,-1.1047996282577515,-1.2085095643997192,1.0,0.0,0.0,0.0,0.0,0.0
val,1.2745025157928467,-0.666330099105835,-0.5700532793998718,3.298750638961792,0.709221363067627,0.1017836481332779,-2.0982258319854736,-1.9254652261734009,0.0,1.0,0.0,0.0,0.0,0.0
val,-0.2624223530292511,-0.5411620140075684,0.5656899809837341,2.4717042446136475,-0.07192863523960114,-0.23100583255290985,-2.5527522563934326,1.0655409097671509,0.0,0.0,1.0,0.0,0.0,0.0
val,-0.9453822374343872,-2.2219409942626953,0.9836289286613464,3.745727062225342,1.0548912286758423,-1.1531130075454712,-1.1642125844955444,-3.0438616275787354,0.0,0.0,0.0,1.0,0.0,0.0
val,0.44488295912742615,-1.6607872247695923,-1.9775381088256836,5.99638557434082,-1.8747491836547852,-1.7666192054748535,-1.0481129884719849,-0.5216014385223389,0.0,0.0,0.0,0.0,1.0,0.0
val,0.9511849284172058,-3.9602229595184326,-1.621132254600525,4.352682590484619,-1.2703499794006348,-2.7975497245788574,0.6738696098327637,-3.5257863998413086,0.0,0.0,0.0,0.0,0.0,1.0
val,0.5255592465400696,-0.63554447889328,0.2485073059797287,2.284644842147827,0.6872002482414246,-1.126172661781311,-1.9119631052017212,-0.6781173348426819,1.0,0.0,0.0,0.0,0.0,0.0
val,2.1089885234832764,-0.8388283848762512,-0.061583757400512695,1.963832974433899,0.713267982006073,-0.7659874558448792,-1.4296956062316895,0.9097210168838501,0.0,1.0,0.0,0.0,0.0,0.0
val,1.2147202491760254,-0.2883619964122772,-0.4377650320529938,3.5524587631225586,-0.15673667192459106,-1.6925889253616333,-3.555898427963257,-2.5378055572509766,0.0,0.0,1.0,0.0,0.0,0.0
val,2.9485201835632324,-2.2857885360717773,-1.1738182306289673,4.031619548797607,0.19479051232337952,-2.7786827087402344,-2.1404049396514893,1.304726004600525,0.0,0.0,0.0,1.0,0.0,0.0
val,-0.446515828371048,-0.9669127464294434,1.51898992061615,-0.42112109065055847,1.914626121520996,-1.2585028409957886,-1.7054437398910522,2.1813929080963135,0.0,0.0,0.0,0.0,1.0,0.0
val,-0.7962151169776917,2.259178876876831,1.0242928266525269,1.8521581888198853,-0.33609139919281006,-0.5468197464942932,-1.5911630392074585,3.607835054397583,0.0,0.0,0.0,0.0,0.0,1.0
val,0.8770735263824463,-1.2590774297714233,-0.47513630986213684,2.35534405708313,0.9135861396789551,-1.007154941558838,-1.5065304040908813,-0.4283667504787445,1.0,0.0,0.0,0.0,0.0,0.0
val,0.7721543312072754,-0.5423815846443176,-1.201062798500061,1.7509080171585083,0.8655008673667908,-1.3324660062789917,-1.8322876691818237,-2.1425795555114746,0.0,1.0,0.0,0.0,0.0,0.0
val,2.643490791320801,0.0529424287378788,1.6458534002304077,2.1423182487487793,1.9960719347000122,-0.8614923357963562,-0.9431900978088379,-1.9726543426513672,0.0,0.0,1.0,0.0,0.0,0.0
val,-0.03987080603837967,1.242629051208496,-0.3691491186618805,0.27222388982772827,0.6235018968582153,-2.4237496852874756,-0.056445349007844925,0.30476969480514526,0.0,0.0,0.0,1.0,0.0,0.0
val,0.6507616639137268,-0.3959096074104309,2.072392463684082,2.099055767059326,1.6943931579589844,0.013492603786289692,2.12585186958313,0.8411396145820618,0.0,0.0,0.0,0.0,1.0,0.0
val,-0.8885046243667603,0.6596901416778564,1.7366523742675781,6.556434154510498,-1.847979187965393,-1.0207865238189697,-1.6650452613830566,-2.424950122833252,0.0,0.0,0.0,0.0,0.0,1.0
val,0.6646110415458679,-0.8708484768867493,-0.30835169553756714,2.3194046020507812,0.5621976852416992,-1.140912652015686,-1.1027730703353882,-0.5846933126449585,1.0,0.0,0.0,0.0,0.0,0.0
val,1.2926785945892334,0.041450273245573044,0.19176799058914185,1.4150240421295166,-0.19314934313297272,-2.263256311416626,-1.4618887901306152,-1.31825852394104,0.0,1.0,0.0,0.0,0.0,0.0
val,1.959555983543396,-1.9452037811279297,-0.7078558802604675,1.588543176651001,2.6846909523010254,-0.27055370807647705,-2.3896658420562744,-1.5272561311721802,0.0,0.0,1.0,0.0,0.0,0.0
val,1.441369652748108,-1.6050808429718018,-0.856342077255249,-0.17540937662124634,-0.615104615688324,-0.3973648250102997,0.5221648216247559,-0.1771944910287857,0.0,0.0,0.0,1.0,0.0,0.0
val,-1.8041971921920776,-0.7055232524871826,0.6312538385391235,4.1743388175964355,0.41537585854530334,-3.483274221420288,-3.945098876953125,-1.7296229600906372,0.0,0.0,0.0,0.0,1.0,0.0
val,-0.22478251159191132,-3.0215609073638916,-0.7258103489875793,6.260964870452881,4.2261433601379395,-0.36149805784225464,-1.4086506366729736,-1.018041968345642,0.0,0.0,0.0,0.0,0.0,1.0
val,1.7019851207733154,-0.8657904267311096,0.21776646375656128,3.0663726329803467,0.5958114862442017,-1.6234676837921143,-1.7564696073532104,-1.2693216800689697,1.0,0.0,0.0,0.0,0.0,0.0
val,0.9909073710441589,0.18745680153369904,-0.34555092453956604,0.7887282371520996,1.0037633180618286,-0.9860262274742126,-1.7731413841247559,-0.8127357959747314,0.0,1.0,0.0,0.0,0.0,0.0
val,0.39066967368125916,-0.9693081974983215,-0.3157254755496979,3.942274808883667,2.040846586227417,-1.8976002931594849,-3.490403652191162,-1.086482048034668,0.0,0.0,1.0,0.0,0.0,0.0
val,1.9087759256362915,-1.6013046503067017,1.1830939054489136,4.464138031005859,-0.48916226625442505,1.0878453254699707,-0.4247256815433502,-1.8980361223220825,0.0,0.0,0.0,1.0,0.0,0.0
val,-0.13250567018985748,-0.6319094896316528,1.088315486907959,5.401230335235596,2.0896005630493164,2.021566867828369,-1.5838756561279297,-0.09865960478782654,0.0,0.0,0.0,0.0,1.0,0.0
val,3.114201545715332,-0.7961835265159607,-3.259392738342285,1.3258057832717896,3.656809091567993,2.030259609222412,-2.8841052055358887,0.22077421844005585,0.0,0.0,0.0,0.0,0.0,1.0
test,1.118167519569397,-1.1969143152236938,-0.23922023177146912,2.8894097805023193,1.2477179765701294,-0.8044956922531128,-1.7364943027496338,-0.914364218711853,1.0,0.0,0.0,0.0,0.0,0.0
test,1.4599854946136475,-0.2477727234363556,-1.177286982536316,2.0832698345184326,1.172795057296753,-1.0018056631088257,-0.7176145315170288,0.36392053961753845,0.0,1.0,0.0,0.0,0.0,0.0
test,-0.38964709639549255,-2.1124651432037354,0.20552325248718262,2.2940120697021484,0.8228402733802795,-3.0899221897125244,-1.602800965309143,-0.7157735824584961,0.0,0.0,1.0,0.0,0.0,0.0
test,1.9303699731826782,0.43430987000465393,-0.6372339725494385,3.7105045318603516,-2.0415613651275635,-0.027604738250374794,-0.14459379017353058,-2.0744521617889404,0.0,0.0,0.0,1.0,0.0,0.0
test,2.844571113586426,-0.6387412548065186,0.9506521224975586,2.260204553604126,-2.5058016777038574,-1.6316421031951904,0.6379553079605103,-3.2583413124084473,0.0,0.0,0.0,0.0,1.0,0.0
test,4.066554546356201,-3.812228202819824,3.1244869232177734,4.51995849609375,2.5779759883880615,-1.3273537158966064,-0.7731723189353943,-0.6979678869247437,0.0,0.0,0.0,0.0,0.0,1.0
test,1.2401732206344604,-0.541808545589447,0.22536370158195496,2.7299141883850098,0.29130083322525024,-1.748376488685608,-2.2202770709991455,-0.7874625325202942,1.0,0.0,0.0,0.0,0.0,0.0
test,1.5884332656860352,-0.2833821773529053,0.5223428010940552,3.338874340057373,1.7765696048736572,-0.09526005387306213,-2.0818800926208496,-1.1572030782699585,0.0,1.0,0.0,0.0,0.0,0.0
test,0.49038180708885193,-1.115360140800476,0.11875224113464355,4.067627906799316,-0.8684166669845581,-0.018847649917006493,-2.7786781787872314,-1.4321017265319824,0.0,0.0,1.0,0.0,0.0,0.0
test,1.993217945098877,1.5872623920440674,2.36098575592041,3.449680805206299,0.011818960309028625,-0.3410455584526062,-0.6870211362838745,-1.9748544692993164,0.0,0.0,0.0,1.0,0.0,0.0
test,1.6037541627883911,-1.3765889406204224,2.2652506828308105,1.9638475179672241,-2.0988118648529053,0.290447473526001,-2.0836002826690674,-3.6982505321502686,0.0,0.0,0.0,0.0,1.0,0.0
test,1.4018454551696777,-1.5704728364944458,2.6389989852905273,-1.3115432262420654,-1.1232038736343384,-2.5657339096069336,1.0200248956680298,0.11157698184251785,0.0,0.0,0.0,0.0,0.0,1.0
test,1.1483068466186523,-1.2977267503738403,0.38755863904953003,2.4761910438537598,0.6148930788040161,-0.9125574231147766,-1.3990527391433716,-0.4104296863079071,1.0,0.0,0.0,0.0,0.0,0.0
test,0.2993045449256897,-0.2929413318634033,-0.9490699172019958,2.721482753753662,0.6117652058601379,-1.3383302688598633,-1.005338430404663,0.4074191749095917,0.0,1.0,0.0,0.0,0.0,0.0
test,0.9255608916282654,-0.46714723110198975,-0.6383652687072754,0.16173286736011505,-0.06303641200065613,-0.6353356838226318,-0.5239457488059998,-1.7483479976654053,0.0,0.0,1.0,0.0,0.0,0.0
test,0.8771960139274597,-0.2002839297056198,-2.366473913192749,2.690751791000366,-1.067482590675354,-2.592555046081543,0.25855427980422974,-2.098236083984375,0.0,0.0,0.0,1.0,0.0,0.0
test,-0.11715879291296005,2.7767786979675293,-2.395327568054199,1.2461782693862915,-0.2737717032432556,-1.8820977210998535,-3.1351635456085205,-0.11461415886878967,0.0,0.0,0.0,0.0,1.0,0.0
test,0.0676623284816742,2.2149691581726074,-0.5153644680976868,1.631598949432373,0.2515617609024048,-2.037198543548584,-3.257154941558838,-5.446224212646484,0.0,0.0,0.0,0.0,0.0,1.0
test,1.6336510181427002,-0.6739817261695862,0.10913071781396866,2.119065761566162,1.2223855257034302,-0.9691025018692017,-2.2014729976654053,-0.4552049934864044,1.0,0.0,0.0,0.0,0.0,0.0
test,2.28983473777771,-0.6762464046478271,0.299809992313385,3.300964593887329,1.1457408666610718,0.06555811315774918,-1.9616317749023438,-1.4958890676498413,0.0,1.0,0.0,0.0,0.0,0.0
test,1.9560937881469727,0.579067587852478,-0.7830913066864014,3.7019710540771484,-0.27620208263397217,-1.0246376991271973,-3.2503297328948975,-2.100829601287842,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.41538459062576294,-1.4628881216049194,0.7690915465354919,5.6044158935546875,0.36132827401161194,-0.43193867802619934,-1.164413332939148,0.05076342821121216,0.0,0.0,0.0,1.0,0.0,0.0
test,1.7651933431625366,0.9498630166053772,-0.3160371780395508,3.8156092166900635,1.26099693775177,-3.5389132499694824,1.5873761177062988,-2.8223299980163574,0.0,0.0,0.0,0.0,1.0,0.0
test,1.891215443611145,2.333357810974121,-1.2934532165527344,0.7910338044166565,5.040028095245361,-2.005465269088745,-3.3174309730529785,-0.5237656235694885,0.0,0.0,0.0,0.0,0.0,1.0
test,1.0208543539047241,-0.7137530446052551,-0.15510374307632446,2.436850070953369,0.08751551061868668,-1.7888201475143433,-1.7050111293792725,-1.173201084136963,1.0,0.0,0.0,0.0,0.0,0.0
test,0.851848304271698,-1.6453475952148438,0.5718436241149902,2.119319438934326,3.543000275385566e-05,-0.8374805450439453,-1.0493957996368408,-1.8983066082000732,0.0,1.0,0.0,0.0,0.0,0.0
test,0.948890745639801,-1.1048821210861206,-0.5002843737602234,2.627223253250122,1.6555984020233154,0.45244279503822327,-0.07306855171918869,0.7183218598365784,0.0,0.0,1.0,0.0,0.0,0.0
test,0.633695662021637,-0.11770805716514587,-1.7118103504180908,-0.5506229400634766,2.0035223960876465,-2.2257978916168213,-1.3659865856170654,-1.4676412343978882,0.0,0.0,0.0,1.0,0.0,0.0
test,2.5142719745635986,3.048393487930298,0.03101719357073307,2.562652826309204,-1.0525251626968384,0.4657033085823059,-1.819350004196167,-2.8155148029327393,0.0,0.0,0.0,0.0,1.0,0.0
test,5.1315741539001465,-3.7957849502563477,-1.968726396560669,3.058277130126953,-1.2077207565307617,-2.5587263107299805,-0.16747578978538513,0.06650439649820328,0.0,0.0,0.0,0.0,0.0,1.0
test,1.421952247619629,-0.6661364436149597,0.08036752790212631,2.3082120418548584,0.010708780027925968,-1.0806339979171753,-0.9865913987159729,-0.718273937702179,1.0,0.0,0.0,0.0,0.0,0.0
test,2.3506035804748535,-0.0318315327167511,-0.29711756110191345,1.7527320384979248,1.5173026323318481,-2.0397589206695557,-1.139201045036316,-0.16414900124073029,0.0,1.0,0.0,0.0,0.0,0.0
test,0.06474082916975021,0.38471412658691406,0.8348346948623657,3.1429171562194824,1.137527585029602,-0.06337525695562363,-2.420485496520996,0.8559168577194214,0.0,0.0,1.0,0.0,0.0,0.0
test,1.27718985080719,-3.6193764209747314,1.9855453968048096,2.741809368133545,0.4017505645751953,-1.719946026802063,-0.36043664813041687,-1.7027668952941895,0.0,0.0,0.0,1.0,0.0,0.0
test,2.1304831504821777,-2.1359264850616455,2.745952606201172,1.0248630046844482,0.5136734843254089,-2.123335838317871,-2.5472922325134277,2.40419602394104,0.0,0.0,0.0,0.0,1.0,0.0
test,2.0862486362457275,2.534050464630127,-0.9860658645629883,-1.9941248893737793,0.07102768123149872,-0.9039078950881958,-2.5635149478912354,-2.5537784099578857,0.0,0.0,0.0,0.0,0.0,1.0
test,1.2966305017471313,-0.8753402829170227,-0.2624317407608032,2.1181182861328125,1.1076799631118774,-1.6449905633926392,-1.1986455917358398,-0.3559613525867462,1.0,0.0,0.0,0.0,0.0,0.0
test,0.5541882514953613,-0.3809884488582611,1.1214604377746582,2.1102867126464844,1.062279224395752,-0.17910456657409668,-2.181136131286621,-0.4577485918998718,0.0,1.0,0.0,0.0,0.0,0.0
test,0.592827320098877,-0.4029448926448822,0.5154095888137817,0.10827445238828659,0.3783048987388611,-0.5336236357688904,-2.7530596256256104,-0.09995087236166,0.0,0.0,1.0,0.0,0.0,0.0
test,1.7077668905258179,0.3280135989189148,-1.9627206325531006,3.1425065994262695,0.447845458984375,1.2385571002960205,0.5032467842102051,-0.15350382030010223,0.0,0.0,0.0,1.0,0.0,0.0
test,0.2322763055562973,-4.051197528839111,0.022418968379497528,-0.5626693964004517,-0.7590089440345764,-0.5961382985115051,-2.2760238647460938,-1.0837798118591309,0.0,0.0,0.0,0.0,1.0,0.0
test,-2.9041948318481445,-1.7322758436203003,0.9188961386680603,2.8878109455108643,0.9715097546577454,-4.84752893447876,-1.6662722826004028,-2.145873546600342,0.0,0.0,0.0,0.0,0.0,1.0
test,1.7865923643112183,-1.0744916200637817,0.33507633209228516,2.8433995246887207,0.5348979830741882,-1.5364552736282349,-1.2501057386398315,-0.5891826152801514,1.0,0.0,0.0,0.0,0.0,0.0
test,1.4307795763015747,-1.5016512870788574,0.31977173686027527,2.2503459453582764,0.5435818433761597,-1.575325846672058,0.024120012298226357,-0.5239275693893433,0.0,1.0,0.0,0.0,0.0,0.0
test,2.3777246475219727,-1.7943873405456543,0.04682672396302223,4.091732025146484,-1.1341557502746582,-0.8680354356765747,-2.5030438899993896,-0.9291011691093445,0.0,0.0,1.0,0.0,0.0,0.0
test,2.073448657989502,0.6782565116882324,1.177449345588684,1.5593554973602295,0.38074907660484314,-2.1741366386413574,0.6390434503555298,-3.0064618587493896,0.0,0.0,0.0,1.0,0.0,0.0
test,3.3249988555908203,-2.6915578842163086,2.6471965312957764,-0.07050827145576477,0.523905873298645,-1.5437560081481934,-2.540945529937744,0.6312934756278992,0.0,0.0,0.0,0.0,1.0,0.0
test,3.313525438308716,1.9672033786773682,1.5936810970306396,5.014305591583252,-0.2682623267173767,-4.084230422973633,-4.05422830581665,0.18855807185173035,0.0,0.0,0.0,0.0,0.0,1.0
test,0.9576908349990845,-0.43666067719459534,0.24664254486560822,2.583235740661621,0.2279934138059616,-0.8201686143875122,-2.1680407524108887,-0.7092710733413696,1.0,0.0,0.0,0.0,0.0,0.0
test,0.6681584119796753,-0.02336874045431614,-0.7323571443557739,2.766906976699829,0.43929412961006165,0.07725892961025238,-2.5897696018218994,-1.040958285331726,0.0,1.0,0.0,0.0,0.0,0.0
test,1.8449877500534058,-1.6227807998657227,0.8918313980102539,3.9373250007629395,0.46342918276786804,-2.1466073989868164,-2.7442681789398193,-2.4276669025421143,0.0,0.0,1.0,0.0,0.0,0.0
test,-1.113200068473816,-2.3730010986328125,-1.1739588975906372,3.6055490970611572,-0.08141875267028809,-2.9816508293151855,-1.0843234062194824,-1.4048378467559814,0.0,0.0,0.0,1.0,0.0,0.0
test,5.043036937713623,-2.013540267944336,-2.2216036319732666,1.4813451766967773,-0.22679145634174347,-2.665654182434082,-0.7306706309318542,-0.10638710111379623,0.0,0.0,0.0,0.0,1.0,0.0
test,0.8383610248565674,0.5821455717086792,2.536329746246338,0.5551089644432068,1.6606330871582031,1.6365907192230225,-4.518459320068359,1.6926920413970947,0.0,0.0,0.0,0.0,0.0,1.0
test,1.7761410474777222,0.028323637321591377,-0.22604553401470184,2.4031450748443604,0.7148235440254211,-1.466301441192627,-1.683788776397705,-1.3124922513961792,1.0,0.0,0.0,0.0,0.0,0.0
test,1.8171712160110474,0.38742244243621826,-0.8326285481452942,2.7736663818359375,0.12750953435897827,-0.008127008564770222,-2.1367075443267822,-1.1810659170150757,0.0,1.0,0.0,0.0,0.0,0.0
test,1.6642065048217773,-1.292604923248291,1.8453630208969116,2.9425594806671143,0.3314230442047119,-1.3961284160614014,-3.7358179092407227,-0.866247296333313,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.08154727518558502,-0.22933527827262878,2.1482608318328857,0.011973175220191479,1.78683340549469,-2.165475368499756,-2.1409385204315186,-0.9213992953300476,0.0,0.0,0.0,1.0,0.0,0.0
test,3.713573932647705,-1.0868651866912842,-2.0662472248077393,2.3543195724487305,0.4838114082813263,1.9260010719299316,-3.8170671463012695,0.26382002234458923,0.0,0.0,0.0,0.0,1.0,0.0
test,-0.08307187259197235,0.2508777379989624,2.8455374240875244,5.522423267364502,1.825778603553772,-2.346341133117676,-3.867299795150757,1.9396458864212036,0.0,0.0,0.0,0.0,0.0,1.0
test,1.6883518695831299,-0.4923864006996155,0.37845736742019653,1.9295932054519653,1.0492254495620728,-1.3575174808502197,-1.592663288116455,-0.4026099741458893,1.0,0.0,0.0,0.0,0.0,0.0
test,1.3837229013442993,-1.6047269105911255,0.6541582942008972,3.40321683883667,0.8911121487617493,-0.1924496293067932,-1.1708264350891113,-1.4688389301300049,0.0,1.0,0.0,0.0,0.0,0.0
test,2.164487361907959,-1.2596584558486938,-2.4947354793548584,1.9786840677261353,0.35322704911231995,-1.68728506565094,-1.6361563205718994,-2.126487970352173,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.32090243697166443,0.11092304438352585,-1.297541618347168,4.516439914703369,3.227213144302368,-0.9013634324073792,-0.9909501075744629,-0.8274161219596863,0.0,0.0,0.0,1.0,0.0,0.0
test,0.6416566967964172,-0.9285063743591309,0.7292424440383911,1.8706732988357544,-1.0211195945739746,-4.264134407043457,1.1817231178283691,-2.4974758625030518,0.0,0.0,0.0,0.0,1.0,0.0
test,3.818540096282959,0.41955190896987915,1.3602317571640015,5.885101795196533,0.37214699387550354,-4.364336967468262,-2.722914695739746,1.1660288572311401,0.0,0.0,0.0,0.0,0.0,1.0
test,1.591539978981018,-1.4400867223739624,-0.4316498935222626,2.4846935272216797,0.9217351675033569,-0.8340091109275818,-1.5735105276107788,-1.0869174003601074,1.0,0.0,0.0,0.0,0.0,0.0
test,0.3235444724559784,0.010254643857479095,0.8071523904800415,2.634908437728882,0.541789174079895,-0.329399973154068,-0.9316993355751038,-1.3069102764129639,0.0,1.0,0.0,0.0,0.0,0.0
test,0.4620216190814972,-2.7285947799682617,-0.21079818904399872,2.555820941925049,-0.3318844437599182,-0.3085683286190033,-0.3105047345161438,-1.328924298286438,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.2598964273929596,0.42749693989753723,0.641879677772522,1.8220443725585938,1.7445213794708252,-2.2921414375305176,-3.7909786701202393,-2.8489763736724854,0.0,0.0,0.0,1.0,0.0,0.0
test,0.8794308304786682,3.7190427780151367,-0.1456737071275711,2.714611053466797,0.7101322412490845,-3.221977949142456,-2.7664456367492676,-1.0031477212905884,0.0,0.0,0.0,0.0,1.0,0.0
test,0.23034948110580444,1.1156121492385864,2.6000123023986816,7.159911155700684,0.4279719293117523,-0.6346728205680847,-1.8510642051696777,0.5700197815895081,0.0,0.0,0.0,0.0,0.0,1.0
test,1.2956866025924683,0.07328683882951736,-0.3036181628704071,2.1349775791168213,0.3893752694129944,-0.9163214564323425,-1.3329367637634277,-0.7595106363296509,1.0,0.0,0.0,0.0,0.0,0.0
test,2.012714385986328,-1.5383977890014648,0.030021782964468002,2.449101448059082,1.3819173574447632,-2.304734706878662,-2.2788567543029785,-1.6581920385360718,0.0,1.0,0.0,0.0,0.0,0.0
test,0.4626736044883728,0.3098408579826355,-0.6186471581459045,2.404496431350708,1.399894118309021,-0.3417544662952423,-1.5796834230422974,-3.1894924640655518,0.0,0.0,1.0,0.0,0.0,0.0
test,2.3220021724700928,0.020697399973869324,-0.5919202566146851,3.2289085388183594,-0.3628520369529724,-0.5482887625694275,-0.01348484680056572,2.3016748428344727,0.0,0.0,0.0,1.0,0.0,0.0
test,2.805433750152588,-3.7457146644592285,1.8201017379760742,3.4340031147003174,0.7855743169784546,-1.3033696413040161,-2.244809627532959,-3.7291243076324463,0.0,0.0,0.0,0.0,1.0,0.0
