split,feature_0,class_0,class_1,class_2,class_3,class_4,class_5,class_6
train,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,1.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,7.416200160980225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,5.416200160980225,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,9.416200637817383,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,0.4162003695964813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.5837996006011963,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,-3.5837996006011963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,4.416200160980225,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-0.5837996602058411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,6.416200160980225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-2.5837996006011963,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,8.416200637817383,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,-4.583799839019775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,3.4162003993988037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
