split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,class_0,class_1,class_2,class_3,class_4
train,-0.3866939842700958,-2.0315847396850586,0.11488043516874313,2.0717661380767822,0.28875166177749634,2.769599676132202,-4.672879219055176,0.0,0.0,0.0,1.0,0.0
train,2.1371726989746094,1.2029378414154053,0.8018092513084412,-0.06568064540624619,-1.3306238651275635,2.4860403537750244,0.12819920480251312,0.0,0.0,0.0,0.0,1.0
train,-1.6635767221450806,-0.5284081697463989,-0.48742052912712097,0.39635246992111206,-0.5311903953552246,1.389939785003662,-2.3179478645324707,1.0,0.0,0.0,0.0,0.0
train,-0.6186856627464294,-0.6651977896690369,-0.17397400736808777,-1.1347495317459106,-0.9003714323043823,1.3886977434158325,-2.427227735519409,0.0,1.0,0.0,0.0,0.0
train,-2.049283504486084,0.5829118490219116,-0.975365936756134,1.4523377418518066,0.4434525668621063,1.2031368017196655,0.1665402203798294,0.0,0.0,1.0,0.0,0.0
train,-0.9595199823379517,-1.7432562112808228,-2.665318012237549,2.254350423812866,1.4062564373016357,3.0735347270965576,-1.5925114154815674,0.0,0.0,0.0,1.0,0.0
train,-1.0385674238204956,-5.197550296783447,1.684013843536377,0.9998216032981873,1.8259379863739014,1.0003281831741333,-1.633573055267334,0.0,0.0,0.0,0.0,1.0
train,-0.8125694990158081,-0.5550340414047241,-0.31523311138153076,0.2918465733528137,-0.20567496120929718,1.6732735633850098,-2.2213399410247803,1.0,0.0,0.0,0.0,0.0
train,-1.5321425199508667,-1.6575486660003662,-0.8205588459968567,0.12400278449058533,-1.2774286270141602,2.5039501190185547,-2.4370174407958984,0.0,1.0,0.0,0.0,0.0
train,-2.590818166732788,-1.3757054805755615,-0.5796549916267395,1.655585765838623,-0.9319833517074585,3.2110190391540527,-0.49913740158081055,0.0,0.0,1.0,0.0,0.0
train,-1.6770761013031006,-0.029362138360738754,1.2636730670928955,0.40799006819725037,-1.8988633155822754,-1.6634267568588257,-1.1394325494766235,0.0,0.0,0.0,1.0,0.0
train,0.5398767590522766,-0.40100380778312683,-0.4054684042930603,-2.9743404388427734,1.3859943151474,-1.3768812417984009,-1.4785280227661133,0.0,0.0,0.0,0.0,1.0
val,-0.9813506007194519,-1.324260950088501,-0.4764602780342102,0.4091431200504303,0.2642510235309601,1.8929363489151,-1.2574938535690308,1.0,0.0,0.0,0.0,0.0
val,-2.9855270385742188,-1.2849382162094116,-0.7037109136581421,0.39686113595962524,-0.1502603441476822,2.4753315448760986,-1.8518644571304321,0.0,1.0,0.0,0.0,0.0
val,0.8887816667556763,-0.6521635055541992,-0.5575388669967651,0.3029375672340393,-0.7923106551170349,3.0318336486816406,-1.3876452445983887,0.0,0.0,1.0,0.0,0.0
val,-2.525873899459839,-3.779845714569092,-1.0976777076721191,1.0342553853988647,0.5734543800354004,0.9506171345710754,0.5744311809539795,0.0,0.0,0.0,1.0,0.0
val,-3.3091251850128174,-3.3410191535949707,2.2069382667541504,2.468912363052368,-2.2735683917999268,0.9226169586181641,-2.7577459812164307,0.0,0.0,0.0,0.0,1.0
val,-1.7015724182128906,-0.7873738408088684,0.13771717250347137,0.15418361127376556,-0.24646136164665222,2.0291926860809326,-2.2903056144714355,1.0,0.0,0.0,0.0,0.0
val,-1.945397973060608,-1.7375026941299438,-0.5944975018501282,0.206512451171875,-1.0285009145736694,-0.018502507358789444,-2.190253973007202,0.0,1.0,0.0,0.0,0.0
val,-2.8485140800476074,-0.796400785446167,-2.6057698726654053,0.6261780858039856,0.27263084053993225,1.5074986219406128,-2.4959349632263184,0.0,0.0,1.0,0.0,0.0
val,-2.678452491760254,0.3450227379798889,2.0560882091522217,-0.04292846843600273,2.5680956840515137,1.7988771200180054,-1.2449508905410767,0.0,0.0,0.0,1.0,0.0
val,-0.24176321923732758,-4.1821112632751465,-0.7375568151473999,-2.6038992404937744,-0.6509367227554321,-0.2130456268787384,-0.2489536702632904,0.0,0.0,0.0,0.0,1.0
val,-2.052541971206665,-1.3746229410171509,-0.4492775797843933,-0.07733598351478577,-0.5318342447280884,1.664414882659912,-1.6153278350830078,1.0,0.0,0.0,0.0,0.0
val,-1.7963831424713135,-2.1678013801574707,0.6467618346214294,0.017082534730434418,0.7962303757667542,2.4349215030670166,-1.561853051185608,0.0,1.0,0.0,0.0,0.0
val,-0.3299115002155304,-0.7111848592758179,0.510498046875,0.41278356313705444,1.2902566194534302,3.661794424057007,-2.0846943855285645,0.0,0.0,1.0,0.0,0.0
val,-0.7948154211044312,-0.7597038149833679,2.4667775630950928,2.4496359825134277,0.07433818280696869,0.02794371359050274,-3.2036542892456055,0.0,0.0,0.0,1.0,0.0
val,1.389291763305664,-1.373265266418457,2.073349714279175,1.0505441427230835,-2.985053062438965,3.159252405166626,-1.5966686010360718,0.0,0.0,0.0,0.0,1.0
val,-1.5388004779815674,-1.2110615968704224,-0.4901207983493805,0.460541695356369,-0.6976379156112671,1.5565683841705322,-2.381859540939331,1.0,0.0,0.0,0.0,0.0
val,-1.4244765043258667,-1.6921321153640747,-0.45067328214645386,-0.7441204190254211,-0.7883846759796143,2.5989835262298584,-1.0360429286956787,0.0,1.0,0.0,0.0,0.0
val,-0.411262571811676,-2.852924346923828,-0.1879594773054123,1.1154756546020508,-1.7816861867904663,0.5894776582717896,-2.500917673110962,0.0,0.0,1.0,0.0,0.0
val,-2.362779140472412,-3.921865463256836,0.056952103972435,0.8163694739341736,2.0372843742370605,2.324192523956299,-0.6448643803596497,0.0,0.0,0.0,1.0,0.0
val,-0.4588707387447357,-1.921596646308899,1.135973572731018,2.763791799545288,3.442579746246338,0.747211754322052,-0.10040006786584854,0.0,0.0,0.0,0.0,1.0
val,-2.012615203857422,-1.2766908407211304,-0.4521610736846924,-0.043009981513023376,-0.534406304359436,1.5538020133972168,-1.297325849533081,1.0,0.0,0.0,0.0,0.0
val,-1.8426214456558228,0.11231106519699097,0.17288832366466522,0.43883177638053894,-1.279298186302185,1.037198781967163,-2.6344950199127197,0.0,1.0,0.0,0.0,0.0
val,-2.6745827198028564,-0.34199947118759155,-1.8336466550827026,-0.8309803009033203,1.5580639839172363,1.171476125717163,-1.822497844696045,0.0,0.0,1.0,0.0,0.0
val,-2.8278157711029053,-1.1052058935165405,1.7035164833068848,3.117940664291382,-0.18252351880073547,-0.23296542465686798,-1.5120742321014404,0.0,0.0,0.0,1.0,0.0
val,-2.442152738571167,-1.3159493207931519,1.2008718252182007,2.6167728900909424,2.9969465732574463,1.6902414560317993,0.9293867349624634,0.0,0.0,0.0,0.0,1.0
test,-1.0500611066818237,-1.1558648347854614,-0.23745472729206085,0.30812910199165344,-0.04312460124492645,0.5242452621459961,-2.0220303535461426,1.0,0.0,0.0,0.0,0.0
test,-2.053619146347046,-0.5753140449523926,0.8620666265487671,1.2843585014343262,0.20802970230579376,0.2809459865093231,-1.996533751487732,0.0,1.0,0.0,0.0,0.0
test,-2.8682520389556885,-0.8173149824142456,0.6193994283676147,1.4712145328521729,-2.246039628982544,1.1980488300323486,-2.2450764179229736,0.0,0.0,1.0,0.0,0.0
test,0.11968841403722763,-0.8889566659927368,1.0653468370437622,1.677813172340393,2.901172637939453,2.4834892749786377,-1.7898023128509521,0.0,0.0,0.0,1.0,0.0
test,-1.0269157886505127,-0.11315616220235825,0.06001926586031914,-2.983661651611328,-2.2761902809143066,4.04320764541626,-2.884622812271118,0.0,0.0,0.0,0.0,1.0
test,-1.0335838794708252,-1.082682728767395,0.32420676946640015,1.0411219596862793,-0.18519259989261627,1.6168349981307983,-1.6082394123077393,1.0,0.0,0.0,0.0,0.0
test,-2.097280502319336,-1.7544761896133423,0.5441957116127014,1.814653992652893,-0.2828124165534973,1.5527347326278687,-1.2405986785888672,0.0,1.0,0.0,0.0,0.0
test,-0.030928879976272583,0.9625170826911926,-0.7701119184494019,0.3944225311279297,0.3656808137893677,1.973719835281372,-0.3071153163909912,0.0,0.0,1.0,0.0,0.0
test,-1.8414098024368286,-2.660646677017212,3.3737175464630127,0.5614725351333618,0.7894132137298584,1.5312049388885498,-1.673791527748108,0.0,0.0,0.0,1.0,0.0
test,-2.6016829013824463,-1.1830689907073975,-2.7937633991241455,-1.4413182735443115,2.8842689990997314,0.3021238446235657,0.13939827680587769,0.0,0.0,0.0,0.0,1.0
test,-1.4686328172683716,-1.7503547668457031,-0.6008213758468628,0.684533417224884,0.22665473818778992,1.5979089736938477,-1.8183590173721313,1.0,0.0,0.0,0.0,0.0
test,0.033444225788116455,-0.6672691702842712,-0.6862092614173889,0.08273560553789139,-0.6624799370765686,1.2583088874816895,-0.7062422633171082,0.0,1.0,0.0,0.0,0.0
test,-1.5277389287948608,-2.395566701889038,-2.233307361602783,0.3713366389274597,-0.29981812834739685,2.057391881942749,-3.2535593509674072,0.0,0.0,1.0,0.0,0.0
test,-1.5825769901275635,-1.3348397016525269,1.1405103206634521,-0.010130759328603745,0.3571494221687317,3.555302143096924,1.316642165184021,0.0,0.0,0.0,1.0,0.0
test,-6.08095121383667,-0.010444032028317451,0.38866737484931946,-0.05066433921456337,-0.36679327487945557,0.43367472290992737,-2.659193277359009,0.0,0.0,0.0,0.0,1.0
test,-1.089312195777893,-0.3252287805080414,-0.6597113013267517,0.16384796798229218,-0.1005399152636528,1.6100414991378784,-1.8526006937026978,1.0,0.0,0.0,0.0,0.0
test,-2.206475019454956,-0.3924891948699951,0.7070358395576477,-0.17758746445178986,1.0623573064804077,1.8040920495986938,-1.032274603843689,0.0,1.0,0.0,0.0,0.0
test,-1.568244218826294,-0.289283812046051,1.8155113458633423,1.203185796737671,0.8749783635139465,0.715732753276825,-0.19721326231956482,0.0,0.0,1.0,0.0,0.0
test,-0.07571817189455032,-0.022013183683156967,-3.378955364227295,0.655659556388855,1.1538200378417969,1.7632052898406982,-2.615358352661133,0.0,0.0,0.0,1.0,0.0
test,-0.1043926551938057,0.3573055863380432,-2.3429250717163086,-2.620900869369507,-0.8395718932151794,-0.6828150153160095,-3.471158742904663,0.0,0.0,0.0,0.0,1.0
test,-1.0202760696411133,-0.5312836766242981,-0.627203106880188,0.6393367052078247,-0.18850114941596985,0.9554758667945862,-1.6111886501312256,1.0,0.0,0.0,0.0,0.0
test,-2.14149808883667,-1.5661197900772095,-0.6561279892921448,0.7590929269790649,0.000800431240350008,-0.25978466868400574,-1.90461003780365,0.0,1.0,0.0,0.0,0.0
test,-0.5657042860984802,-1.381173849105835,-1.5106134414672852,0.9545712471008301,-0.3105972111225128,-0.7812790274620056,-0.6747751235961914,0.0,0.0,1.0,0.0,0.0
test,-0.9002682566642761,-0.001523424289189279,-0.3198380172252655,1.1937345266342163,-3.6119027137756348,2.362631320953369,-2.4257054328918457,0.0,0.0,0.0,1.0,0.0
test,-1.807557225227356,-4.40565824508667,1.0731323957443237,2.804072141647339,-1.9572522640228271,2.9474141597747803,-1.7581758499145508,0.0,0.0,0.0,0.0,1.0
test,-1.1716523170471191,-1.5695499181747437,-0.33861827850341797,0.6477342247962952,-0.41638004779815674,1.3899303674697876,-1.0833066701889038,1.0,0.0,0.0,0.0,0.0
test,-0.9571529626846313,-2.0002496242523193,1.1103965044021606,-0.4229382574558258,-0.6729012727737427,1.1762282848358154,-2.372255563735962,0.0,1.0,0.0,0.0,0.0
test,-1.6647522449493408,-1.431215524673462,1.4684467315673828,-0.9804750084877014,1.8257379531860352,0.48628225922584534,-1.509002685546875,0.0,0.0,1.0,0.0,0.0
test,-3.5695345401763916,-0.7349711656570435,2.2060630321502686,0.4773009717464447,2.189009428024292,2.045004367828369,-2.0215883255004883,0.0,0.0,0.0,1.0,0.0
test,-3.8583579063415527,-2.9622695446014404,2.264099597930908,-0.6093169450759888,-2.280998945236206,3.303110122680664,-1.0786854028701782,0.0,0.0,0.0,0.0,1.0
test,-0.7642149329185486,-1.0622179508209229,-0.16169342398643494,0.5952547788619995,-0.2427969127893448,1.327543020248413,-2.3923823833465576,1.0,0.0,0.0,0.0,0.0
test,-0.7548314332962036,0.43986067175865173,0.35524407029151917,0.381352961063385,-0.7097291350364685,2.2105045318603516,-1.7732806205749512,0.0,1.0,0.0,0.0,0.0
test,-0.8818292021751404,-1.1010910272598267,-1.1368510723114014,1.5197818279266357,1.1464945077896118,0.8406428098678589,0.3658776581287384,0.0,0.0,1.0,0.0,0.0
test,-2.4478445053100586,-2.9250524044036865,-0.9888831377029419,-0.09353160858154297,0.08504313975572586,-1.8285636901855469,-2.194767475128174,0.0,0.0,0.0,1.0,0.0
test,1.8658618927001953,-1.4147249460220337,2.4945545196533203,-2.1337220668792725,0.8522013425827026,0.9886232018470764,-1.9948946237564087,0.0,0.0,0.0,0.0,1.0
test,-0.9624102115631104,-0.9723986387252808,-0.4036376178264618,-0.12185459583997726,-6.810787454014644e-05,0.8364146947860718,-1.2587182521820068,1.0,0.0,0.0,0.0,0.0
test,-0.8115229606628418,-2.3271121978759766,-0.331807017326355,0.936302900314331,1.0056114196777344,1.9141459465026855,-1.4708945751190186,0.0,1.0,0.0,0.0,0.0
test,-2.17488431930542,0.6076616644859314,-1.233615756034851,0.6084113121032715,1.6727879047393799,2.1588027477264404,-2.532899856567383,0.0,0.0,1.0,0.0,0.0
test,-1.0651625394821167,-2.06317138671875,2.607915163040161,2.934509515762329,0.4643757939338684,1.5152934789657593,-1.69813871383667,0.0,0.0,0.0,1.0,0.0
test,-2.625905990600586,-0.1358151137828827,2.2561869621276855,3.1606876850128174,0.3679150938987732,2.8812620639801025,-4.238256454467773,0.0,0.0,0.0,0.0,1.0
test,-1.3736201524734497,-1.5836670398712158,-0.42289999127388,-0.29129940271377563,0.19014409184455872,0.9851975440979004,-1.9403451681137085,1.0,0.0,0.0,0.0,0.0
test,-2.982173204421997,-1.1733735799789429,-0.719768226146698,-0.7670091986656189,-0.151279017329216,1.6879156827926636,-1.611535668373108,0.0,1.0,0.0,0.0,0.0
test,-1.8758089542388916,0.17352335155010223,-2.402714967727661,-0.41741910576820374,-0.5355273485183716,0.2904553711414337,-2.2508842945098877,0.0,0.0,1.0,0.0,0.0
test,-3.0087521076202393,-1.9555848836898804,0.6435335874557495,1.8454495668411255,-0.3706700801849365,-0.24119941890239716,-4.361644744873047,0.0,0.0,0.0,1.0,0.0
test,1.482016682624817,-3.2116479873657227,-0.8827345967292786,1.5566465854644775,2.4243109226226807,0.10804156213998795,-3.0456035137176514,0.0,0.0,0.0,0.0,1.0
test,-1.5193284749984741,-0.7329747676849365,-0.7351205348968506,0.663852334022522,-0.4326564371585846,0.9254671931266785,-2.0064589977264404,1.0,0.0,0.0,0.0,0.0
test,-0.18436674773693085,-1.5459309816360474,-0.2631246745586395,-0.6507546305656433,0.4623222053050995,1.9270015954971313,-2.5549325942993164,0.0,1.0,0.0,0.0,0.0
test,-1.0495737791061401,-1.6005055904388428,1.560943603515625,-1.5629160404205322,0.1398584246635437,-0.05085505545139313,-1.9692103862762451,0.0,0.0,1.0,0.0,0.0
test,-2.4186513423919678,-0.8869214653968811,-1.7672914266586304,1.3664841651916504,-3.047254800796509,1.7137271165847778,-0.1678442358970642,0.0,0.0,0.0,1.0,0.0
test,-3.000553846359253,0.386430948972702,-1.9472588300704956,-2.184434652328491,1.4777159690856934,-0.7019670605659485,-3.7667336463928223,0.0,0.0,0.0,0.0,1.0
test,-2.1627321243286133,-1.0747740268707275,-0.01064322516322136,0.07924845814704895,0.23625050485134125,0.8737787008285522,-1.5926471948623657,1.0,0.0,0.0,0.0,0.0
test,-1.4258838891983032,-0.3142363727092743,0.9571447372436523,-0.02845107950270176,0.04661767929792404,1.8679356575012207,-0.3540624976158142,0.0,1.0,0.0,0.0,0.0
test,-0.3261294662952423,-1.0180110931396484,1.2304635047912598,0.17451027035713196,-0.2200702279806137,2.7624263763427734,0.26942774653434753,0.0,0.0,1.0,0.0,0.0
test,-0.9058831930160522,-0.9753996133804321,-1.1671298742294312,3.614293098449707,1.384734869003296,0.32382825016975403,-1.1377761363983154,0.0,0.0,0.0,1.0,0.0
test,-5.104615688323975,-1.417880654335022,0.022843776270747185,-0.07484064996242523,3.0579299926757812,1.3956438302993774,-0.6210305094718933,0.0,0.0,0.0,0.0,1.0
test,-0.9545674920082092,-1.205405831336975,-0.7720154523849487,0.21446943283081055,-0.18902307748794556,1.9552325010299683,-1.5767064094543457,1.0,0.0,0.0,0.0,0.0
test,-0.5064154267311096,0.050095297396183014,0.2512953579425812,0.3714064061641693,1.1142317056655884,1.0547568798065186,-2.1464741230010986,0.0,1.0,0.0,0.0,0.0
test,-1.465097427368164,0.7146451473236084,0.336302250623703,0.14882196485996246,0.4573359787464142,2.1051323413848877,-3.911543846130371,0.0,0.0,1.0,0.0,0.0
test,1.2191568613052368,-0.024167446419596672,-1.3073970079421997,2.3680429458618164,0.507358968257904,0.34673064947128296,-2.6380527019500732,0.0,0.0,0.0,1.0,0.0
test,0.37217745184898376,-3.2380051612854004,3.2498767375946045,0.44856759905815125,1.1934443712234497,1.2891039848327637,0.2187286764383316,0.0,0.0,0.0,0.0,1.0
test,-1.3577252626419067,-1.7508805990219116,-0.5516102910041809,0.23335178196430206,-0.038722071796655655,0.8094726800918579,-1.6620092391967773,1.0,0.0,0.0,0.0,0.0
test,-1.7065285444259644,-0.3324989080429077,0.2158898413181305,0.07244858145713806,-0.9865146279335022,1.3845229148864746,-3.2837743759155273,0.0,1.0,0.0,0.0,0.0
test,-0.5332469344139099,-1.6014721393585205,1.5453659296035767,-0.09468584507703781,0.5806517601013184,2.257492780685425,-3.6410930156707764,0.0,0.0,1.0,0.0,0.0
test,-2.1130895614624023,-2.699502468109131,-1.6655522584915161,-0.2243828922510147,0.3293132483959198,-0.8576871156692505,-3.9639315605163574,0.0,0.0,0.0,1.0,0.0
test,1.620862603187561,0.20384792983531952,-1.498913049697876,2.962646484375,-2.0285048484802246,0.4922545254230499,-2.5354559421539307,0.0,0.0,0.0,0.0,1.0
test,-0.8701844215393066,-1.137438416481018,-0.5271909236907959,0.12198130041360855,-0.20844285190105438,0.6878595352172852,-1.6876788139343262,1.0,0.0,0.0,0.0,0.0
test,-1.3514437675476074,-1.9121356010437012,-0.37261947989463806,0.3665519654750824,1.27501380443573,2.368466377258301,-2.3189809322357178,0.0,1.0,0.0,0.0,0.0
test,-3.256507158279419,-1.1819803714752197,-0.2009788453578949,-0.9442198276519775,-1.3028062582015991,0.7027661800384521,-0.24851608276367188,0.0,0.0,1.0,0.0,0.0
test,-2.3633952140808105,-3.343873977661133,-0.2549128830432892,-2.447176933288574,-0.6616073250770569,1.6558494567871094,-3.122373580932617,0.0,0.0,0.0,1.0,0.0
test,-3.5109241008758545,-2.347395181655884,3.4825382232666016,-0.4182775318622589,0.40360960364341736,1.4858242273330688,0.527175784111023,0.0,0.0,0.0,0.0,1.0
test,-1.9878047704696655,-0.9394100904464722,0.06783919781446457,0.521382212638855,-0.8438524603843689,1.245756983757019,-1.7987403869628906,1.0,0.0,0.0,0.0,0.0
test,-1.9041897058486938,-0.22269290685653687,-0.3613860011100769,0.05530237406492233,0.48036348819732666,1.002265453338623,-3.30121111869812,0.0,1.0,0.0,0.0,0.0
test,-2.555016279220581,-0.5017642378807068,2.0546562671661377,-0.7264799475669861,-1.1206008195877075,0.747949481010437,-1.4293891191482544,0.0,0.0,1.0,0.0,0.0
test,-3.577165365219116,-3.442333221435547,0.8478208780288696,1.2886615991592407,1.7763588428497314,1.1112160682678223,-2.0873258113861084,0.0,0.0,0.0,1.0,0.0
test,1.288364052772522,-1.5021154880523682,2.0478663444519043,-2.3798484802246094,0.11176605522632599,0.9566195011138916,0.5580020546913147,0.0,0.0,0.0,0.0,1.0
test,-1.3932141065597534,-0.5774730443954468,-0.4257245361804962,0.624818742275238,-0.7087684869766235,1.6580265760421753,-2.0984137058258057,1.0,0.0,0.0,0.0,0.0
test,-2.0344417095184326,-1.386328101158142,0.33002668619155884,-0.5203375220298767,0.0075694601982831955,0.2514188289642334,-0.5732231140136719,0.0,1.0,0.0,0.0,0.0
test,-0.30332693457603455,-1.91649329662323,-1.1223465204238892,-0.2420985996723175,0.7578072547912598,3.5336341857910156,-1.087959885597229,0.0,0.0,1.0,0.0,0.0
test,0.9469130635261536,0.2001529186964035,0.2585248053073883,-1.912627100944519,0.3830510973930359,1.5821781158447266,0.13411083817481995,0.0,0.0,0.0,1.0,0.0
test,0.5404528379440308,2.743466854095459,1.1857495307922363,2.4015252590179443,-0.4141676127910614,0.8072956800460815,-1.4855600595474243,0.0,0.0,0.0,0.0,1.0
test,-1.534808874130249,-0.2511522173881531,-0.4268125295639038,0.014363924041390419,-0.2861555814743042,1.0232810974121094,-1.6179022789001465,1.0,0.0,0.0,0.0,0.0
test,0.10641080141067505,-0.7469461560249329,0.683603048324585,-0.10725893080234528,-0.38242271542549133,2.035179853439331,-2.170992612838745,0.0,1.0,0.0,0.0,0.0
test,-1.5235741138458252,-0.29786694049835205,1.0749125480651855,-0.8913374543190002,-0.16837085783481598,1.9696944952011108,-3.998227596282959,0.0,0.0,1.0,0.0,0.0
test,-0.07855083048343658,-2.989872694015503,0.41012662649154663,-1.84282386302948,-0.8313313126564026,0.780874490737915,0.4302173852920532,0.0,0.0,0.0,1.0,0.0
test,-2.547236680984497,-1.922068476676941,0.900105357170105,-2.7441158294677734,0.19916246831417084,-1.6896723508834839,-3.4817779064178467,0.0,0.0,0.0,0.0,1.0
test,-0.8568629622459412,-0.8298145532608032,0.44689953327178955,0.1411547064781189,-0.17661941051483154,1.0456396341323853,-2.0773844718933105,1.0,0.0,0.0,0.0,0.0
test,-0.5332823395729065,-0.22308044135570526,0.0596502386033535,-0.4088447093963623,-0.6219120025634766,0.17999359965324402,-2.2034428119659424,0.0,1.0,0.0,0.0,0.0
test,-0.6676279306411743,-0.37116947770118713,-1.385612964630127,1.2824805974960327,-1.403084635734558,0.1482425183057785,-3.2097182273864746,0.0,0.0,1.0,0.0,0.0
test,1.416656732559204,-2.1939961910247803,1.593357801437378,1.5834951400756836,0.663662850856781,2.1976473331451416,-0.8855927586555481,0.0,0.0,0.0,1.0,0.0
test,-2.4953815937042236,1.9613388776779175,0.14437054097652435,2.926177978515625,1.8226590156555176,3.056018829345703,-2.860124349594116,0.0,0.0,0.0,0.0,1.0
test,-1.7706347703933716,-1.4666688442230225,-0.43266353011131287,-0.43231895565986633,0.1356913298368454,1.2038507461547852,-1.8108636140823364,1.0,0.0,0.0,0.0,0.0
test,-1.2984304428100586,-0.23759374022483826,0.5020118951797485,1.4888594150543213,-0.3440292179584503,0.40358665585517883,-1.0534316301345825,0.0,1.0,0.0,0.0,0.0
test,-2.473351240158081,-3.3209991455078125,-0.47875186800956726,1.5112097263336182,-0.18509578704833984,0.6116358041763306,-2.4917445182800293,0.0,0.0,1.0,0.0,0.0
test,-0.42264777421951294,0.7087954878807068,-0.6469293832778931,1.8472248315811157,-2.170374631881714,2.0576484203338623,0.39354726672172546,0.0,0.0,0.0,1.0,0.0
test,-1.2754473686218262,-1.6296055316925049,3.0283846855163574,0.568394660949707,1.874089241027832,-1.0545134544372559,0.43185970187187195,0.0,0.0,0.0,0.0,1.0
test,-0.8643417358398438,-0.9331194162368774,-0.5588980913162231,0.25566959381103516,0.0043210540898144245,1.538011908531189,-1.0469706058502197,1.0,0.0,0.0,0.0,0.0
test,-1.6434389352798462,-0.463368684053421,-1.0119268894195557,0.2562197744846344,0.34555742144584656,2.864755392074585,-1.0405614376068115,0.0,1.0,0.0,0.0,0.0
test,-2.385563373565674,-0.3329628109931946,-0.9254926443099976,2.2577788829803467,1.6013462543487549,1.854151964187622,-1.7535855770111084,0.0,0.0,1.0,0.0,0.0
test,0.36608073115348816,-2.908442974090576,-1.5329676866531372,2.3866124153137207,-0.6578282713890076,2.9514098167419434,-1.171454668045044,0.0,0.0,0.0,1.0,0.0
test,-3.107452392578125,-4.4519476890563965,-0.18022377789020538,-2.8253352642059326,-0.5145584940910339,2.1391942501068115,-2.118253469467163,0.0,0.0,0.0,0.0,1.0
test,-1.7839694023132324,-1.7204281091690063,0.050465524196624756,-0.07331739366054535,-0.273334801197052,1.6068819761276245,-2.147221565246582,1.0,0.0,0.0,0.0,0.0
test,-0.39968276023864746,-1.3384877443313599,-1.4108737707138062,0.3366733193397522,-0.5196492075920105,0.8621425032615662,-0.8286551237106323,0.0,1.0,0.0,0.0,0.0
test,-2.6569786071777344,-0.06686059385538101,-2.3753409385681152,0.640887439250946,-0.3695775270462036,0.2900320291519165,-1.3542568683624268,0.0,0.0,1.0,0.0,0.0
test,-1.3498461246490479,-0.4046078622341156,-1.0815566778182983,-1.2084678411483765,-0.1390189528465271,2.8903915882110596,1.462945580482483,0.0,0.0,0.0,1.0,0.0
test,-3.3526034355163574,1.4915380477905273,1.6864120960235596,-0.4699796140193939,-0.5008783340454102,0.21697139739990234,-4.7792558670043945,0.0,0.0,0.0,0.0,1.0
test,-1.2157450914382935,-1.444206953048706,-0.9525014758110046,0.17082831263542175,0.043540988117456436,1.2325283288955688,-1.4253345727920532,1.0,0.0,0.0,0.0,0.0
test,-1.9257246255874634,-0.541889488697052,1.1106374263763428,1.3651043176651,0.5884227156639099,1.316962480545044,-2.270613670349121,0.0,1.0,0.0,0.0,0.0
test,-0.06899329274892807,-0.9225011467933655,-1.0054969787597656,-1.0740525722503662,-1.85829496383667,1.4898372888565063,-2.909241199493408,0.0,0.0,1.0,0.0,0.0
