split,feature_0,feature_1,feature_2,feature_3,feature_4,class_0,class_1
test,-0.9778909087181091,1.8143095970153809,-0.21654251217842102,-1.0609363317489624,1.9508329629898071,0.0,1.0
test,-1.0124759674072266,-0.13501650094985962,0.397249311208725,-0.8571167588233948,1.385561227798462,1.0,0.0
test,0.6862931251525879,-0.5795227289199829,-0.27482056617736816,-0.08378562331199646,0.01726515404880047,0.0,1.0
test,-1.5181939601898193,0.13875775039196014,-0.8918231129646301,-1.068181037902832,1.0442208051681519,1.0,0.0
test,-1.7700934410095215,-0.36024388670921326,-0.4100009500980377,-2.2517614364624023,0.47154149413108826,0.0,1.0
test,-0.6107487678527832,-0.46492359042167664,0.24776023626327515,-0.5777631998062134,0.46644920110702515,1.0,0.0
test,-0.33483895659446716,-1.5047396421432495,0.1391606479883194,-0.6996184587478638,0.10544323921203613,0.0,1.0
test,-0.7021888494491577,0.0347595289349556,0.44145020842552185,-0.9713149666786194,0.3857789635658264,1.0,0.0
test,-0.37528547644615173,-0.23550282418727875,0.50730299949646,-2.1327009201049805,0.11237169802188873,0.0,1.0
test,-0.10178516060113907,-0.0740363821387291,-0.8559130430221558,-0.589481770992279,1.1205909252166748,1.0,0.0
test,-1.1431467533111572,0.8060612082481384,1.2728397846221924,-0.740811288356781,-0.13084951043128967,0.0,1.0
test,-1.0253900289535522,0.9850831031799316,-0.27793267369270325,-1.017967939376831,1.3071955442428589,1.0,0.0
test,-0.545447051525116,-0.706062376499176,-1.1522294282913208,-0.9022488594055176,2.37869930267334,0.0,1.0
test,-1.298787236213684,-0.5244581699371338,-0.3103928864002228,-0.14536605775356293,0.6277732253074646,1.0,0.0
test,-0.2707604765892029,-0.37796899676322937,0.7632598280906677,-2.0487048625946045,1.1024340391159058,0.0,1.0
test,-1.2465617656707764,0.24935905635356903,-0.29861024022102356,0.012733378447592258,1.5375235080718994,1.0,0.0
test,0.6991640329360962,1.0503959655761719,0.5571212768554688,-0.4084715247154236,1.053464651107788,0.0,1.0
test,-0.7708110809326172,-0.45462512969970703,0.12529343366622925,-0.9003409743309021,0.34446248412132263,1.0,0.0
test,0.3171238899230957,0.07620614767074585,-1.222822904586792,0.6567611694335938,1.2947258949279785,0.0,1.0
test,-0.5999890565872192,0.483852356672287,0.45567062497138977,-1.0334110260009766,1.1173231601715088,1.0,0.0
test,-1.9370108842849731,0.6008252501487732,-0.36280953884124756,0.5100200772285461,-0.331944078207016,0.0,1.0
test,-1.2223049402236938,0.13951775431632996,-0.20542065799236298,-0.27357444167137146,0.004096871707588434,1.0,0.0
test,0.33498838543891907,-0.07005859911441803,0.8151198029518127,0.3818991780281067,1.315088152885437,0.0,1.0
test,-1.7665601968765259,0.24943670630455017,-0.22564983367919922,-0.25193357467651367,0.6737164258956909,1.0,0.0
test,0.558908224105835,1.1896674633026123,0.03618152067065239,-1.541880488395691,0.7010602951049805,0.0,1.0
test,-0.44956129789352417,-0.5518447756767273,-0.39688464999198914,-1.1022146940231323,0.7548947930335999,1.0,0.0
test,-1.494088053703308,-0.2514697313308716,-0.16228225827217102,-1.4377140998840332,2.4974350929260254,0.0,1.0
test,-0.6976020336151123,0.5373548865318298,-0.774050235748291,-1.4101037979125977,0.6965693831443787,1.0,0.0
test,-1.0125371217727661,-1.288230061531067,0.17098866403102875,0.469434529542923,0.2910190522670746,0.0,1.0
test,-1.6210654973983765,0.719395101070404,-0.02359846979379654,-0.37456876039505005,0.7695264220237732,1.0,0.0
test,-1.22243070602417,-1.5491206645965576,-0.21540194749832153,0.2645689845085144,0.9318770170211792,0.0,1.0
test,-1.7897112369537354,0.32543709874153137,-0.06265973299741745,-0.38789620995521545,0.867927074432373,1.0,0.0
test,-0.49138951301574707,-0.007406851276755333,-1.4104410409927368,-0.8575649857521057,-0.7464690208435059,0.0,1.0
test,-1.0959712266921997,-0.1312287449836731,-0.40208351612091064,-0.5135027170181274,-0.04130921512842178,1.0,0.0
test,0.01312042772769928,1.344997763633728,-1.4865727424621582,-1.0953540802001953,1.4650496244430542,0.0,1.0
test,-0.9078845977783203,0.11230567842721939,0.4597265422344208,-0.39303359389305115,1.4286795854568481,1.0,0.0
test,-0.9474433660507202,-0.8818102478981018,-0.9900785684585571,-1.0198132991790771,2.344740629196167,0.0,1.0
test,-0.6134551167488098,0.3885425925254822,-1.0997278690338135,-0.911309003829956,0.3925827741622925,1.0,0.0
test,-1.166211485862732,0.06693166494369507,0.016520414501428604,0.43570688366889954,2.495575428009033,0.0,1.0
test,-0.9581121206283569,0.11887773871421814,-0.3794635236263275,0.3620402216911316,0.6830592751502991,1.0,0.0
test,0.5379152297973633,1.508193850517273,-0.7134461998939514,-0.3998664915561676,1.261270523071289,0.0,1.0
test,-1.2946189641952515,0.8597792983055115,-0.6612635254859924,-0.5964762568473816,0.33977624773979187,1.0,0.0
test,-1.8014124631881714,-1.2525737285614014,0.33545246720314026,-1.1434407234191895,1.3721165657043457,0.0,1.0
test,0.09512616693973541,0.16281616687774658,-0.4859335124492645,-0.6186482906341553,0.6119332909584045,1.0,0.0
test,-1.7879588603973389,0.7728137373924255,1.1234114170074463,0.0036169870290905237,1.4397345781326294,0.0,1.0
test,-0.6100090742111206,-0.42649391293525696,0.37795454263687134,-0.4113326072692871,0.8633440136909485,1.0,0.0
test,-1.1733222007751465,-1.0953439474105835,0.4931408762931824,-1.1447641849517822,-0.25652092695236206,0.0,1.0
test,-0.22732627391815186,-0.40636369585990906,-0.48639336228370667,-0.20194461941719055,0.6830835938453674,1.0,0.0
test,-0.9079130291938782,-0.58585125207901,1.2487366199493408,-0.16985423862934113,1.6927603483200073,0.0,1.0
test,-1.1897011995315552,0.5376133918762207,0.1883905827999115,-0.10385231673717499,1.3689196109771729,1.0,0.0
test,-0.7053422927856445,2.0520436763763428,0.32590606808662415,-0.6313600540161133,0.4811539351940155,0.0,1.0
test,-1.8328617811203003,0.22291068732738495,-0.18078631162643433,-0.46910560131073,0.9608614444732666,1.0,0.0
test,-1.9723254442214966,-0.17501501739025116,-1.5478929281234741,-1.410824179649353,0.16423708200454712,0.0,1.0
test,-0.7966955304145813,0.2401553839445114,-0.7133001685142517,-1.1601067781448364,0.12300344556570053,1.0,0.0
test,-1.737536072731018,-0.2713611125946045,-0.11689700931310654,-0.6445127129554749,-0.8577616214752197,0.0,1.0
test,-0.5874073505401611,-0.05271599441766739,0.3727070391178131,-0.25307121872901917,1.3518648147583008,1.0,0.0
test,-1.9128141403198242,1.0919067859649658,0.8068341016769409,-0.417454332113266,-0.02371782623231411,0.0,1.0
test,-0.5344280004501343,1.1081891059875488,-0.14582009613513947,-0.419281929731369,0.9709590077400208,1.0,0.0
test,-2.3189375400543213,1.1416864395141602,0.09700936079025269,-1.4811291694641113,0.6182491779327393,0.0,1.0
test,-1.3278120756149292,0.4408954381942749,-0.42854952812194824,-1.258294939994812,0.3161926567554474,1.0,0.0
test,-0.8816100358963013,0.11831504106521606,1.309964656829834,0.3369061350822449,0.21890267729759216,0.0,1.0
test,-0.9250885248184204,0.485725462436676,-0.6782974004745483,-0.4060397446155548,-0.006065295543521643,1.0,0.0
test,-1.916458010673523,0.5542786121368408,-1.020188331604004,-1.9935921430587769,0.25218746066093445,0.0,1.0
test,-1.38381028175354,-0.31849604845046997,0.1426646113395691,-0.27896466851234436,1.204249382019043,1.0,0.0
test,-1.3886799812316895,1.7724708318710327,-0.5572981238365173,-0.1305534988641739,1.8528447151184082,0.0,1.0
test,-0.758447527885437,0.6547701358795166,-0.4665888547897339,0.10383056104183197,1.368815541267395,1.0,0.0
test,-1.7868964672088623,0.5704039335250854,0.9453077912330627,0.12246609479188919,-0.06050623208284378,0.0,1.0
test,-0.67146897315979,0.6605319380760193,-0.33058881759643555,-0.9208799004554749,0.04682012274861336,1.0,0.0
test,-0.7578401565551758,0.3065876066684723,0.97624272108078,-1.165949821472168,2.266212224960327,0.0,1.0
test,-1.189867377281189,0.5379695892333984,-0.8851989507675171,-0.6971033215522766,1.5408127307891846,1.0,0.0
test,-0.5514302849769592,0.9772340059280396,0.4245794415473938,0.8313987255096436,0.046009499579668045,0.0,1.0
test,-1.1695544719696045,0.7709254622459412,-0.22475536167621613,-0.9168950915336609,0.16715127229690552,1.0,0.0
test,-2.4899022579193115,0.763333797454834,-0.8864186406135559,-0.6510053277015686,1.7074609994888306,0.0,1.0
test,-1.2568575143814087,-0.44740691781044006,-0.12157543748617172,-0.9551982283592224,1.3649060726165771,1.0,0.0
test,-0.5430711507797241,-0.2706317901611328,0.21449966728687286,-2.242884874343872,1.7085527181625366,0.0,1.0
test,-1.5241161584854126,-0.16422437131404877,-0.30335935950279236,-0.37703004479408264,0.2573002874851227,1.0,0.0
test,0.5726916790008545,0.7661788463592529,-0.5225400328636169,0.629243791103363,0.6186504364013672,0.0,1.0
test,-1.061570644378662,-0.7076379656791687,-0.05080309882760048,-0.8100513219833374,0.7751515507698059,1.0,0.0
test,0.4484732747077942,-0.6948871612548828,0.17217284440994263,-1.3928011655807495,1.6472437381744385,0.0,1.0
test,-1.1689506769180298,0.5038613080978394,0.31997278332710266,-0.09812676161527634,1.22657310962677,1.0,0.0
test,-2.380655527114868,0.9412080645561218,-0.051953405141830444,-0.8774945735931396,1.8607512712478638,0.0,1.0
test,-0.029072720557451248,0.19502414762973785,-0.30003872513771057,-0.1729714721441269,0.5180797576904297,1.0,0.0
test,0.16874724626541138,-0.2920595407485962,-0.3244033753871918,-1.459918737411499,-0.5442107915878296,0.0,1.0
test,-1.0520473718643188,0.2104935348033905,-0.015549719333648682,-0.6560776829719543,-0.06826311349868774,1.0,0.0
test,-0.6262549757957458,0.4697844386100769,1.5524792671203613,-0.28856682777404785,1.3509867191314697,0.0,1.0
test,-0.8433768153190613,-0.543678343296051,0.21406978368759155,-0.5372527241706848,1.2332723140716553,1.0,0.0
test,-1.8868796825408936,-1.0383906364440918,-0.28828904032707214,0.0986572802066803,1.8032580614089966,0.0,1.0
test,-0.4489326775074005,0.8701759576797485,0.1851394921541214,-0.9642756581306458,0.9312472343444824,1.0,0.0
test,-1.3383833169937134,-1.2585128545761108,-0.5349712371826172,-0.039786387234926224,-0.25832274556159973,0.0,1.0
test,-0.9955609440803528,0.2580895721912384,0.06424673646688461,0.29501211643218994,0.8000786304473877,1.0,0.0
test,-2.2668612003326416,0.1654098480939865,0.5420436859130859,-1.132891058921814,-0.1337079405784607,0.0,1.0
test,-1.2117360830307007,1.016139268875122,0.08677666634321213,-0.4379015564918518,0.9994533061981201,1.0,0.0
test,-0.9037600159645081,0.0040878551080822945,0.18894657492637634,-2.0568606853485107,-0.4045788645744324,0.0,1.0
test,-1.593232274055481,0.39142709970474243,-0.39212673902511597,-0.9783806800842285,1.3980302810668945,1.0,0.0
test,-0.6235698461532593,2.109524965286255,-0.3515232503414154,-1.170706033706665,0.7584799528121948,0.0,1.0
test,-0.34923526644706726,-0.17296232283115387,0.32303035259246826,-0.7495944499969482,1.2540295124053955,1.0,0.0
test,0.7266995906829834,0.3733077049255371,0.019640197977423668,0.5020840167999268,1.1723990440368652,0.0,1.0
test,-1.3623307943344116,0.009249637834727764,-0.9829116463661194,-0.11779818683862686,0.6776571869850159,1.0,0.0
test,-1.6549612283706665,0.81259685754776,-1.333821177482605,0.238654226064682,-0.26258039474487305,0.0,1.0
test,-1.3601354360580444,0.750935971736908,0.14236588776111603,-0.25095781683921814,1.1812726259231567,1.0,0.0
test,-0.48967984318733215,-0.5417546033859253,-1.2246544361114502,0.9255485534667969,1.2279832363128662,0.0,1.0
test,-0.8824107646942139,-0.34760963916778564,0.2493828535079956,-0.7700507640838623,1.4399117231369019,1.0,0.0
test,-0.6467514038085938,-0.9345839023590088,-1.1110962629318237,-1.0288876295089722,-0.5038973689079285,0.0,1.0
test,-1.4655681848526,0.6347528696060181,-0.43586838245391846,-1.2480047941207886,0.6818099021911621,1.0,0.0
test,-0.28324589133262634,-0.5949994921684265,-1.4125717878341675,-0.6138356328010559,-0.49790167808532715,0.0,1.0
test,-1.0530142784118652,-0.5946344137191772,-0.7448530793190002,-0.46977508068084717,0.5068590044975281,1.0,0.0
test,-2.215587615966797,0.2072824239730835,-1.539739966392517,-0.002894753823056817,1.4256561994552612,0.0,1.0
test,-0.8429477214813232,-0.19455572962760925,0.5011508464813232,-0.8472965359687805,0.5489946007728577,1.0,0.0
test,-1.8412119150161743,1.6929274797439575,-0.041304998099803925,0.24996617436408997,0.8090125918388367,0.0,1.0
test,-0.5178252458572388,0.7219545245170593,-0.034318555146455765,-0.24833135306835175,0.228396475315094,1.0,0.0
test,-1.9024906158447266,0.3430688977241516,-1.0235105752944946,-1.3145591020584106,2.2444584369659424,0.0,1.0
test,-0.845771074295044,-0.1646721214056015,0.16449439525604248,-1.2593607902526855,0.4130220115184784,1.0,0.0
test,-1.4380360841751099,-0.14209474623203278,-1.4408223628997803,0.38496026396751404,2.005427360534668,0.0,1.0
test,-1.285248875617981,-0.46106794476509094,-0.48097214102745056,-0.02106924168765545,0.8533744215965271,1.0,0.0
test,-0.7458935976028442,0.6726719737052917,-0.5240798592567444,0.7418770790100098,2.239281415939331,0.0,1.0
test,-0.9351778626441956,-0.27121633291244507,-0.866492748260498,-1.128132700920105,1.3171573877334595,1.0,0.0
test,-1.7397944927215576,1.4886622428894043,0.664680004119873,-1.21272611618042,1.3473198413848877,0.0,1.0
test,-1.1191011667251587,0.831655740737915,-0.45249125361442566,-0.8065235614776611,0.1625240594148636,1.0,0.0
test,0.2080521583557129,-0.1874849796295166,-0.20857568085193634,-2.0574185848236084,0.08567879348993301,0.0,1.0
test,-1.4373728036880493,0.3081603944301605,0.3964860439300537,-0.932663083076477,1.0312542915344238,1.0,0.0
test,0.15326392650604248,-1.0566655397415161,-1.2250268459320068,-0.03652610629796982,1.3527706861495972,0.0,1.0
test,-1.7173932790756226,0.36909550428390503,-0.07813473045825958,-1.001560926437378,0.709257960319519,1.0,0.0
test,-0.7235321998596191,-1.32864248752594,-1.4553489685058594,-1.1763941049575806,0.6819754242897034,0.0,1.0
test,-1.0616637468338013,-0.42994025349617004,-0.33255723118782043,-1.2503180503845215,0.4794235825538635,1.0,0.0
test,0.6065602898597717,-0.7298559546470642,-0.9939759969711304,-1.2713717222213745,0.5539297461509705,0.0,1.0
test,-1.339382529258728,-0.14340628683567047,-0.4214324653148651,0.04493936523795128,1.3159204721450806,1.0,0.0
test,-0.21903666853904724,0.10233291238546371,0.1717148721218109,0.5907910466194153,-0.5117590427398682,0.0,1.0
test,-1.5489561557769775,0.8385826945304871,-0.46112093329429626,-0.9157859086990356,0.7413479089736938,1.0,0.0
test,-1.7346912622451782,1.746858835220337,-0.25374770164489746,0.2784029543399811,0.6085759997367859,0.0,1.0
test,-1.374672532081604,-0.5285152196884155,-0.7044374346733093,-0.3969099223613739,0.9326223731040955,1.0,0.0
test,-1.175491213798523,1.795046329498291,-0.46210479736328125,0.4664994180202484,0.41794678568840027,0.0,1.0
test,-0.12961243093013763,0.2887040674686432,-0.815900981426239,-0.35900387167930603,0.4634615182876587,1.0,0.0
test,-0.30968937277793884,-1.1965219974517822,-1.213804841041565,0.35827985405921936,0.8178983926773071,0.0,1.0
test,-1.4787582159042358,0.47925451397895813,-0.5922513604164124,-1.0878151655197144,1.3557748794555664,1.0,0.0
test,-0.4245455861091614,1.775741457939148,0.6952157616615295,-1.0752031803131104,0.5620425939559937,0.0,1.0
test,-0.7412758469581604,-0.03179401159286499,-0.02943071350455284,-1.4951969385147095,0.6161934733390808,1.0,0.0
test,-1.2170096635818481,0.5653492212295532,-0.6345018744468689,-0.9262576103210449,2.7452287673950195,0.0,1.0
test,-1.171414852142334,0.6076100468635559,0.37986230850219727,-0.8866933584213257,1.2692108154296875,1.0,0.0
test,0.441083699464798,0.18934038281440735,1.1238223314285278,-1.0142161846160889,0.6555336117744446,0.0,1.0
test,-0.42697757482528687,0.9069153070449829,-0.8535635471343994,-0.7046278715133667,0.6689586639404297,1.0,0.0
test,-1.8065003156661987,1.4911980628967285,-0.45214036107063293,-0.2600792646408081,-0.28483399748802185,0.0,1.0
test,-0.5358114838600159,-0.349456787109375,0.4152131974697113,-0.7995699644088745,0.8663121461868286,1.0,0.0
test,-1.8805527687072754,0.40264227986335754,-1.1034624576568604,0.7897818684577942,0.2683485150337219,0.0,1.0
test,-1.0580964088439941,0.345106840133667,-1.22916841506958,-0.30013999342918396,0.6872682571411133,1.0,0.0
test,-0.4956023693084717,1.0022540092468262,-1.8212348222732544,0.38684457540512085,0.9324994683265686,0.0,1.0
test,-0.07165414094924927,-0.10900413990020752,-0.563903272151947,-0.9857747554779053,1.151084303855896,1.0,0.0
test,0.6688644886016846,-0.4469449520111084,-0.3742341995239258,-1.7034960985183716,1.069772720336914,0.0,1.0
test,-1.2320927381515503,0.32174769043922424,-0.5111432075500488,-1.4551563262939453,1.180837869644165,1.0,0.0
test,-1.5475760698318481,-1.4413988590240479,-1.1735581159591675,-0.38386404514312744,1.0642516613006592,0.0,1.0
test,-1.3345743417739868,-0.35602623224258423,-0.7972016930580139,-0.5677801370620728,0.3771584630012512,1.0,0.0
test,-1.034785270690918,1.9548436403274536,-0.6023958921432495,-1.5108391046524048,1.030411720275879,0.0,1.0
test,-0.012774265371263027,0.23436887562274933,-0.3825542628765106,-0.25119468569755554,0.4740050137042999,1.0,0.0
test,0.5923610329627991,-0.3591901361942291,-0.9333726763725281,0.38612598180770874,0.4032769501209259,0.0,1.0
test,-0.7259515523910522,0.3519655168056488,-1.112154245376587,-1.1983062028884888,0.8409757018089294,1.0,0.0
test,-2.1153299808502197,1.3361092805862427,-0.013134760782122612,-1.6311177015304565,0.9536892175674438,0.0,1.0
test,-0.4971234202384949,0.2668933570384979,0.0754164531826973,-1.3379205465316772,0.4417482018470764,1.0,0.0
test,-1.003364086151123,-1.3028852939605713,-0.8665364384651184,-1.7978556156158447,0.9067327976226807,0.0,1.0
test,-0.9252514839172363,0.5938403606414795,-0.5643718242645264,0.22555887699127197,1.1586575508117676,1.0,0.0
test,-0.6061159372329712,-0.7332552671432495,-1.147340178489685,-0.8612649440765381,-0.6610462665557861,0.0,1.0
test,-0.18137796223163605,0.19472475349903107,0.36403757333755493,-0.42956799268722534,0.6882967352867126,1.0,0.0
test,-1.9453845024108887,1.3298460245132446,-1.0256551504135132,-1.060062050819397,-0.071210578083992,0.0,1.0
test,-1.5098663568496704,0.20060265064239502,-0.38554900884628296,0.1394675374031067,0.9558046460151672,1.0,0.0
test,-1.1048495769500732,-0.7113136053085327,-1.7198916673660278,0.45354145765304565,1.009610652923584,0.0,1.0
test,-0.27908405661582947,0.17469850182533264,0.48167502880096436,-0.6186347007751465,0.9538065195083618,1.0,0.0
test,-1.2501044273376465,1.1693905591964722,-0.6253278851509094,-0.17872095108032227,2.4871764183044434,0.0,1.0
test,-1.6082321405410767,0.4424671530723572,-0.5772019624710083,-0.9859526753425598,0.43627458810806274,1.0,0.0
test,0.3860636055469513,1.4645930528640747,0.5707710385322571,-0.8136409521102905,1.0040607452392578,0.0,1.0
test,-0.42736107110977173,0.5478407740592957,-0.0668843686580658,-1.228170394897461,0.36174944043159485,1.0,0.0
test,-1.4778224229812622,0.12644390761852264,-0.4460817575454712,-2.3401737213134766,1.6413617134094238,0.0,1.0
test,-1.4232722520828247,1.0034013986587524,-0.3685184717178345,-0.4316234290599823,0.7476483583450317,1.0,0.0
test,-0.3335154354572296,-0.9940978288650513,0.1782824993133545,0.21588818728923798,-0.29719603061676025,0.0,1.0
test,-0.6024752855300903,-0.3710628151893616,0.37525755167007446,-0.9379682540893555,0.8342196941375732,1.0,0.0
test,-2.282778263092041,1.2837401628494263,0.021441901102662086,-1.3987058401107788,0.5921711921691895,0.0,1.0
test,-0.8496836423873901,-0.04024634137749672,-0.21118634939193726,-1.1764801740646362,0.08240129053592682,1.0,0.0
test,-1.645591139793396,0.665850043296814,1.0314158201217651,-0.8143337965011597,-0.2721658945083618,0.0,1.0
test,-0.6159698963165283,0.17901889979839325,0.11538691073656082,-0.07683232426643372,0.18407906591892242,1.0,0.0
test,-0.5208249688148499,0.21259437501430511,-1.8887813091278076,-1.0921164751052856,1.9635705947875977,0.0,1.0
test,-0.34056729078292847,-0.4520835876464844,-0.6490545272827148,-1.0340360403060913,0.7390660643577576,1.0,0.0
test,0.4454779624938965,-0.2727225422859192,-0.8650488257408142,-1.381553292274475,1.9500929117202759,0.0,1.0
test,-0.8247160911560059,0.3544863164424896,-0.9515014886856079,-0.022312134504318237,0.37165147066116333,1.0,0.0
test,-1.2096168994903564,-1.346374273300171,0.4143914580345154,0.3297401964664459,1.0326679944992065,0.0,1.0
test,-0.5860998630523682,0.21355463564395905,-1.176987886428833,-0.47938767075538635,0.4306420087814331,1.0,0.0
test,-1.2615615129470825,1.0405617952346802,0.3921494781970978,-2.226234197616577,0.7246216535568237,0.0,1.0
test,-1.629156470298767,-0.23273585736751556,-0.7176842093467712,-0.3781706988811493,0.9437146782875061,1.0,0.0
test,-0.7044358253479004,1.221572756767273,-0.5340907573699951,1.0645363330841064,0.5551120042800903,0.0,1.0
test,-0.9348209500312805,0.8979396820068359,-0.3181697130203247,0.07494081556797028,1.0732991695404053,1.0,0.0
test,-0.6784375905990601,0.27633872628211975,-1.5418825149536133,-0.3457382619380951,2.4154245853424072,0.0,1.0
origin,-0.8591459051631951,0.20669004315914521,-0.32694871459048824,-0.6116212788774844,0.8611608259019405,,
