split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8
train,-0.2724454700946808,-1.4989173412322998,2.1256232261657715,-0.5136751532554626,-1.8374978303909302,-0.6600219011306763,1.4509729146957397,-1.4952059984207153,-1.0898433923721313,1.2807607650756836,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.8459337949752808,-2.4932150840759277,0.9561129808425903,-0.15781469643115997,1.79555344581604,-2.65929913520813,-0.843482255935669,0.37765395641326904,2.5117709636688232,-3.061384677886963,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.7814000844955444,-3.857883930206299,2.590928554534912,0.173952117562294,-1.3696415424346924,-1.1640148162841797,-1.5884060859680176,1.5471224784851074,3.3286170959472656,1.7953227758407593,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-2.643488883972168,-3.568805694580078,3.455326795578003,-1.40316903591156,1.705025315284729,-2.382002830505371,-3.8433685302734375,1.17359459400177,-0.6579532027244568,-3.122921943664551,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-0.4042840301990509,5.132302284240723,-0.6763998866081238,1.939662218093872,-0.1748664379119873,-0.11985308676958084,1.2989023923873901,-0.9821509718894958,1.491703748703003,0.9422213435173035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-1.1221617460250854,1.5795196294784546,-0.6099720001220703,-6.655372142791748,1.7014331817626953,-1.566642165184021,-2.228492498397827,-2.0122196674346924,-0.9307360053062439,4.639618396759033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.1728050410747528,-1.557236909866333,1.1692430973052979,-0.1326601803302765,1.2078372240066528,-0.9710213541984558,0.4629857838153839,-0.5556079745292664,-0.12035322189331055,-0.4257616400718689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.483085960149765,-2.176318883895874,0.5215616822242737,-0.4085807800292969,2.083432674407959,-0.8419051766395569,-0.43577608466148376,-0.3821233808994293,1.464889645576477,0.9014250636100769,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.253876805305481,-1.5797942876815796,-0.28619420528411865,0.5041874051094055,0.6719256639480591,0.07565142959356308,1.788909912109375,-0.592115044593811,-0.39353641867637634,0.2850419878959656,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.7337586879730225,-0.8029659390449524,1.4833875894546509,-3.4838790893554688,0.2931961417198181,0.3365565836429596,-1.93011474609375,-0.3116370141506195,-0.19105026125907898,0.15025462210178375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.6954090595245361,-0.27265045046806335,-0.7438726425170898,-0.6250305771827698,-0.48928019404411316,1.4458481073379517,-2.178091526031494,0.39649882912635803,-1.218016505241394,-0.6861687302589417,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.5165712237358093,0.7484112977981567,-0.6550705432891846,0.2575366199016571,4.403427600860596,-0.7859364748001099,-3.6830663681030273,-1.1799821853637695,0.5881644487380981,0.3548024892807007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-1.7211507558822632,-1.7195382118225098,3.3072614669799805,-0.8501893877983093,-3.431983709335327,0.6527978777885437,-1.3718888759613037,-0.5117961764335632,-0.7609795331954956,-3.7833032608032227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-0.6673902273178101,0.0070701721124351025,-1.0905089378356934,3.3167316913604736,-3.6947970390319824,1.6188827753067017,2.582423448562622,-2.9139134883880615,-0.0730019211769104,-0.8275740742683411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-0.12251221388578415,-5.961666107177734,2.132291078567505,0.42213475704193115,4.288806438446045,-0.20147445797920227,4.785349369049072,0.5200158953666687,2.017573595046997,5.033830165863037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.5761780738830566,-1.5901765823364258,0.5842651724815369,-0.022959358990192413,1.1880894899368286,-0.5386031866073608,-0.25040996074676514,-0.9405247569084167,-0.06885407119989395,0.4138750433921814,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.13761325180530548,-1.6276050806045532,0.36725178360939026,-1.7745124101638794,1.5469954013824463,-0.5093027353286743,-0.6379446983337402,-0.2498617023229599,0.3521333932876587,-1.088795781135559,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.5115534663200378,-2.8982455730438232,0.4783480167388916,-1.3928191661834717,1.8929303884506226,-0.6859616637229919,-0.3409687578678131,-1.7972840070724487,1.4487072229385376,-1.5842463970184326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.0740532875061035,-3.5694339275360107,2.3167991638183594,-1.4488370418548584,2.738046169281006,-0.6023949384689331,-0.535681962966919,-0.7794660329818726,1.8393595218658447,-0.9583263993263245,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.534699559211731,-3.1310462951660156,1.270820140838623,1.962947964668274,0.13875578343868256,0.9471866488456726,-2.1003832817077637,-0.7282519340515137,2.22005295753479,-0.4687176048755646,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-2.460131883621216,-2.7437682151794434,2.166790723800659,-2.0262434482574463,2.528566837310791,-0.726708173751831,-2.0392675399780273,-3.207428216934204,-0.7979719638824463,-3.4886996746063232,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,0.4541412591934204,-4.759979248046875,2.324087142944336,-1.6191309690475464,1.136640191078186,-0.36732831597328186,4.792452335357666,-2.853935956954956,-1.6666841506958008,2.704989194869995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-0.5030691027641296,-0.8686009049415588,0.954953670501709,-1.5242805480957031,5.554070949554443,-1.2228612899780273,-2.6600289344787598,4.440507888793945,-1.2826024293899536,2.6868817806243896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-0.618381679058075,0.8724693655967712,2.5326321125030518,-1.2549506425857544,1.3237859010696411,-4.586104393005371,5.374129772186279,-0.8947898745536804,2.1516361236572266,-4.728277206420898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,0.004868671763688326,-1.5804469585418701,1.4924215078353882,-0.8966392278671265,0.9721523523330688,-0.9478031992912292,-0.4225141108036041,-0.6893272399902344,0.19129177927970886,0.2949129343032837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.2725295424461365,-1.6913386583328247,0.6354773640632629,-0.06483975052833557,0.592776894569397,-0.6232038140296936,1.0416282415390015,-1.7281712293624878,-0.035336993634700775,-0.8809216618537903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.8311112523078918,-1.1073830127716064,0.08881976455450058,-2.20621657371521,1.6399741172790527,1.1062859296798706,-0.3516823947429657,-1.6634304523468018,-0.032267533242702484,-0.4035153090953827,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.33872416615486145,1.3085074424743652,0.4923715591430664,-1.5666251182556152,-0.27295660972595215,-1.2706087827682495,-0.9638234376907349,-0.12526829540729523,0.5195851922035217,-0.9502943754196167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-1.5633630752563477,-2.986711025238037,0.5561800599098206,-1.9498794078826904,-0.6215558648109436,-2.2863965034484863,0.8843708038330078,2.686634063720703,0.5505093932151794,1.7076002359390259,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-2.506845474243164,0.5888803601264954,-0.9068224430084229,-0.7346699833869934,0.367326557636261,0.9452439546585083,-3.4917397499084473,-0.45692476630210876,-2.109738826751709,-0.5754662156105042,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-2.294219970703125,2.374290943145752,1.8155986070632935,1.0781139135360718,0.7094509601593018,2.0674898624420166,1.9214715957641602,-3.9609007835388184,0.4031314551830292,-0.8923723697662354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,2.7038991451263428,-0.8176441192626953,-2.179213762283325,-1.7694348096847534,4.516600131988525,1.5737203359603882,2.030034065246582,-0.5183231830596924,4.754782199859619,-1.284443974494934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-5.6106438636779785,-0.04979368671774864,-1.2403676509857178,-3.402064323425293,2.5807254314422607,-3.0871434211730957,3.020047903060913,-1.8063018321990967,2.1159238815307617,4.041202068328857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-0.1793118268251419,-1.5337316989898682,1.0866719484329224,-1.4050427675247192,1.118524432182312,-0.9600303769111633,0.3939785063266754,-0.677629828453064,-0.15342864394187927,0.2274261713027954,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.048919811844825745,-2.178253650665283,1.5311001539230347,0.03770262748003006,0.3372322916984558,0.5774415135383606,0.8159179091453552,-0.6562596559524536,0.10371527075767517,-0.27800071239471436,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-1.0582681894302368,-2.6940650939941406,3.037144899368286,-0.9308708310127258,1.3209871053695679,-0.5767621994018555,1.0182387828826904,-1.8111263513565063,-0.05714656785130501,0.8862125873565674,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.9124752283096313,-0.2952161729335785,3.110233783721924,1.4991334676742554,1.4909271001815796,-0.6370764374732971,0.6157273650169373,0.3753182888031006,-1.1022393703460693,0.8293424844741821,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-0.5554368495941162,0.3031494617462158,1.4447370767593384,0.019423404708504677,3.7975783348083496,-2.2184629440307617,-2.7673416137695312,-0.4438784122467041,1.471010446548462,0.42675480246543884,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-1.9180939197540283,-2.336204767227173,0.6130493879318237,-4.498542308807373,4.452442646026611,-1.137581467628479,0.28108105063438416,-2.7847094535827637,0.9935509562492371,1.3685634136199951,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-0.40828603506088257,-1.985882043838501,0.8626436591148376,-3.5803489685058594,0.057868100702762604,-1.6592320203781128,-1.5070664882659912,0.10226351767778397,-5.32819938659668,2.368098020553589,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,2.4344193935394287,-4.660488128662109,-2.855557680130005,2.8117005825042725,-1.0491563081741333,0.1088188886642456,-2.709332227706909,-1.165856957435608,-0.4487464129924774,3.1315996646881104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,0.066224604845047,2.0420444011688232,4.3703532218933105,6.012529373168945,3.606790542602539,-1.3030667304992676,-0.8734659552574158,0.4817332923412323,0.3466610014438629,0.8071469068527222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-0.038337528705596924,-2.0734198093414307,0.5416606068611145,-1.0214513540267944,0.7150596976280212,-0.6287232637405396,-0.2821197807788849,-0.7523649334907532,0.07386325299739838,0.6524235010147095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.6261720061302185,-1.619684100151062,1.2091115713119507,-0.2514784634113312,0.9812673926353455,0.6849849820137024,1.1690655946731567,-0.03715500608086586,-0.04061349853873253,0.1266072541475296,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.529316782951355,-3.091214418411255,1.1533252000808716,-0.756492018699646,-0.592355489730835,-1.7885277271270752,1.176689624786377,-1.5253558158874512,0.4034513831138611,0.8969548344612122,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.8284711837768555,-2.5312671661376953,1.5070971250534058,1.06313955783844,-0.5204350352287292,-0.8365092873573303,0.17334039509296417,-2.1741526126861572,1.18117094039917,1.430856466293335,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,1.0860304832458496,-1.3927209377288818,-0.5031316876411438,-2.3839969635009766,-0.03466032072901726,-3.172006607055664,2.3407301902770996,-1.1474167108535767,0.5702804327011108,2.376364231109619,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,0.5922744274139404,-1.9321495294570923,-2.559419631958008,1.8319472074508667,3.809204339981079,1.334795594215393,-2.239091634750366,-0.34245777130126953,0.7291578650474548,0.5425349473953247,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-2.089270830154419,2.7038753032684326,-0.282322496175766,2.717573404312134,0.18582430481910706,-2.0005345344543457,2.128141403198242,-0.9271984100341797,-2.097334623336792,-0.6340579390525818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,1.8915021419525146,-0.21379004418849945,-1.8929035663604736,0.2891184687614441,3.169252872467041,0.9262588024139404,3.0536839962005615,1.9327727556228638,-4.260473251342773,-2.4624009132385254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-2.229374647140503,-2.459277868270874,-1.02873957157135,1.790844202041626,-1.4012893438339233,-0.5730282664299011,6.3802170753479,2.579965591430664,-2.517472505569458,-1.8366605043411255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-0.8577505946159363,-2.1352157592773438,1.1455081701278687,-0.9623140096664429,1.4507296085357666,-1.0638277530670166,0.024443311616778374,-0.5475890636444092,-0.1890234798192978,-0.06077384948730469,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.9667313694953918,-2.689051628112793,0.09755593538284302,0.10649951547384262,0.5639262795448303,-0.7740241885185242,-0.7247600555419922,-0.7483291625976562,-0.013855046592652798,0.8815127611160278,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.1789159774780273,-1.7720197439193726,1.6766448020935059,-0.15993230044841766,2.7292168140411377,0.06292662024497986,0.14291957020759583,-1.829214096069336,1.23848295211792,0.7028511166572571,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-1.013516902923584,-4.3998613357543945,0.34149405360221863,-0.3354477882385254,-0.3795056641101837,-2.5027523040771484,0.050914302468299866,-0.09631270170211792,1.497283697128296,-0.8469751477241516,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-0.681064248085022,-2.3014986515045166,0.14801476895809174,1.4768249988555908,0.5494577884674072,-1.2587884664535522,-2.2144649028778076,0.9943587779998779,3.018347978591919,1.7109973430633545,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-2.9941771030426025,0.19366376101970673,0.3827083110809326,-0.3246533274650574,3.8700101375579834,-1.9231576919555664,-3.341615676879883,-1.3413269519805908,1.7906349897384644,0.24740375578403473,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,2.3676624298095703,-6.238551139831543,-1.3753187656402588,-0.7933326363563538,3.388988971710205,-0.10079430788755417,0.8939540386199951,1.057863712310791,0.23233063519001007,3.065434694290161,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,3.5785956382751465,-2.155071973800659,-3.9659857749938965,3.049079418182373,0.8141766786575317,0.31145378947257996,1.108054518699646,-0.4104257822036743,0.6158450245857239,-3.0297234058380127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-1.0700719356536865,-1.6755982637405396,2.770171642303467,3.8799221515655518,6.42718505859375,0.9898563623428345,4.306950569152832,-1.8793460130691528,2.6448328495025635,0.09546441584825516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-0.3001503050327301,-1.6185742616653442,0.8163771629333496,-1.0324345827102661,0.4405551552772522,-1.0336099863052368,-0.16324709355831146,-0.6403051614761353,0.4872901141643524,0.09549728035926819,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.30835965275764465,-0.7155482769012451,0.7192089557647705,-0.6171422004699707,0.695375382900238,-0.8101747035980225,0.2481294721364975,-2.023005485534668,-0.3759542405605316,-0.05800042301416397,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.4929009675979614,-2.399775981903076,2.4176456928253174,-0.7441423535346985,1.3841428756713867,1.17351496219635,0.14136174321174622,-0.6240469813346863,-1.4082770347595215,0.570073127746582,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.49622154235839844,-3.5003347396850586,1.1544790267944336,1.3499031066894531,3.157634735107422,-0.535990834236145,0.47403037548065186,-1.2844892740249634,-0.5083861947059631,2.140639066696167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,1.827972173690796,-4.4284892082214355,0.03280065953731537,-2.156151533126831,1.6105564832687378,-1.0599836111068726,-0.26684945821762085,-0.6373547911643982,3.033079147338867,-1.3724554777145386,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,2.518008232116699,-0.4899396598339081,0.8303537964820862,0.43855270743370056,-1.7152869701385498,0.8076571226119995,3.2695820331573486,-0.15285660326480865,-0.7909100651741028,2.013498067855835,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,0.09667059779167175,0.6952357888221741,2.87865948677063,3.5162413120269775,1.3176698684692383,-3.670837879180908,-2.7122623920440674,-1.4290088415145874,2.0091655254364014,0.6624106764793396,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-2.9830524921417236,-3.7804532051086426,-2.0094122886657715,-2.4012508392333984,2.94101619720459,-3.38460111618042,3.9261279106140137,-1.797757863998413,2.757591962814331,-2.78007173538208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,5.153092384338379,-3.884779691696167,2.5399386882781982,-0.9859493970870972,0.034490086138248444,3.72245192527771,-2.3511831760406494,-0.45013004541397095,-3.935117244720459,1.1738612651824951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.6882054209709167,-1.8730547428131104,1.1270811557769775,-0.2994546890258789,1.618868350982666,-0.3681509494781494,0.18236485123634338,-0.21079804003238678,-0.060874905437231064,-0.0747433453798294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-1.1039674282073975,-2.2599570751190186,-0.17234370112419128,-1.5112320184707642,1.2144190073013306,-0.7788451313972473,0.6725972294807434,-1.021381139755249,-0.7483260631561279,-0.02289923094213009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.04446631669998169,-2.147433280944824,2.6599764823913574,-0.49693232774734497,1.1689695119857788,-2.7954814434051514,-0.25952810049057007,-1.6132711172103882,0.4862678050994873,0.48386824131011963,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1.5298373699188232,-2.518294334411621,0.3414779603481293,-0.5273478031158447,1.026922345161438,-2.3494138717651367,-0.6659330725669861,1.6099194288253784,1.608702301979065,1.3080840110778809,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.6163949966430664,-2.37469482421875,0.9308484792709351,2.9622278213500977,1.7471013069152832,-2.6721606254577637,-0.5240921974182129,-0.8224934339523315,2.4202539920806885,-0.22315895557403564,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,-1.0509527921676636,1.2988024950027466,1.2551045417785645,0.33354830741882324,-0.8585254549980164,-0.2237471640110016,-1.4727635383605957,-2.158396005630493,3.469148874282837,-1.9793182611465454,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
test,-0.6273272633552551,0.8803501725196838,0.96490478515625,-1.6993581056594849,5.025472164154053,0.06740328669548035,-0.4083797037601471,-4.014686107635498,-0.1864810585975647,3.699305534362793,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test,4.880321502685547,-0.4885454773902893,-0.1908290684223175,-4.327420234680176,1.973668098449707,0.708381175994873,-3.614419460296631,-2.4797134399414062,-0.9033191204071045,0.41885918378829956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,2.118278741836548,-4.651706695556641,3.607194185256958,-5.313202381134033,-1.6414903402328491,-4.760690212249756,1.0798577070236206,-2.67838454246521,-2.6173033714294434,1.2880737781524658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test,-0.13851298391819,-2.1931257247924805,0.9651747345924377,-0.909815788269043,1.1923688650131226,-0.7124688029289246,-0.272339791059494,-1.0867931842803955,-0.42437687516212463,0.4867214262485504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-0.23694396018981934,-1.7540582418441772,-0.3919135332107544,-0.34289100766181946,1.113068699836731,-1.4984848499298096,-0.609663724899292,-1.2007180452346802,-0.5604261755943298,-0.543363630771637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.2335100173950195,-2.3497397899627686,0.9726143479347229,-1.7950104475021362,1.2487027645111084,0.47573167085647583,-0.1455279290676117,-0.20214909315109253,1.3680988550186157,-0.4354240596294403,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,-2.408071517944336,-2.1616361141204834,0.625769317150116,-0.6144700646400452,1.3585586547851562,0.04366375505924225,-2.3110976219177246,-1.3321324586868286,0.6273898482322693,2.1264116764068604,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test,1.7156907320022583,-4.402467250823975,-0.02711501345038414,1.3865361213684082,-0.776268720626831,-0.4121839702129364,0.6203444004058838,-2.680572986602783,1.2242693901062012,0.7855366468429565,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,1.4267866611480713,2.1804327964782715,-1.6300570964813232,-2.123356819152832,1.9962007999420166,-1.6459792852401733,2.0753588676452637,-1.2780489921569824,0.5477463006973267,-1.4421865940093994,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
